name,games,minutes,fg,fga,3p,ft,fta,reb,ast,stl,blk,to,pts,year
Tariq Abdul-Wahad,61,1578,274,646,3,146,193,291,98,59,28,106,697,2000
Shareef Abdur-Rahim,82,3223,594,1277,29,446,551,825,271,89,87,249,1663,2000
Cory Alexander,29,329,28,98,9,17,22,42,58,24,2,28,82,2000
Ray Allen*,82,3070,642,1411,172,353,398,359,308,110,19,183,1809,2000
Rafer Alston,27,361,27,95,3,3,4,23,70,12,0,29,60,2000
John Amaechi,80,1684,306,700,1,223,291,266,95,35,37,139,836,2000
Derek Anderson,64,2201,377,860,55,271,309,258,220,90,11,167,1080,2000
Kenny Anderson,82,2593,434,986,85,196,253,225,420,139,8,130,1149,2000
Nick Anderson,72,2094,306,782,132,37,76,339,123,94,16,95,781,2000
Shandon Anderson,82,2700,368,778,79,194,253,384,239,96,32,194,1009,2000
Chris Anstey,73,1007,161,364,1,116,147,280,65,29,25,80,439,2000
Greg Anthony,82,1548,169,416,88,88,114,133,208,59,9,85,514,2000
B.J. Armstrong,27,583,83,186,13,22,25,47,78,7,1,40,201,2000
Darrell Armstrong,82,2590,484,1119,137,225,247,270,501,169,9,248,1330,2000
Chucky Atkins,82,1626,314,741,57,97,133,126,306,52,3,142,782,2000
Stacey Augmon,59,692,83,175,0,37,55,116,53,27,11,38,203,2000
Isaac Austin,59,1173,151,352,1,94,137,282,74,17,38,107,397,2000
Anthony Avent,49,377,29,96,0,23,32,74,11,16,15,24,81,2000
William Avery,59,484,56,181,18,24,36,40,88,14,2,42,154,2000
Toby Bailey,46,449,58,140,2,45,65,72,30,13,4,24,163,2000
Vin Baker,79,2849,514,1129,2,281,412,605,148,47,66,213,1311,2000
Charles Barkley*,20,620,106,222,6,71,110,209,63,14,4,44,289,2000
Dana Barros,72,1139,196,435,59,66,76,99,133,31,4,66,517,2000
Brent Barry,80,2726,327,707,164,127,157,372,291,103,31,142,945,2000
Drew Barry,16,159,15,33,7,4,5,12,33,2,0,13,41,2000
Jon Barry,62,1281,161,346,66,107,116,159,150,75,7,85,495,2000
Tony Battie,82,1505,219,459,1,102,151,410,63,47,70,67,541,2000
Jonathan Bender,24,130,23,70,2,16,24,21,3,1,5,7,64,2000
Benoit Benjamin,3,8,1,3,0,0,0,1,0,0,1,0,2,2000
Corey Benjamin,48,862,145,350,31,49,82,88,54,31,22,74,370,2000
Mario Bennett,1,3,0,3,0,0,0,2,0,0,0,0,0,2000
Travis Best,82,1691,271,561,35,156,190,142,272,76,5,107,733,2000
Mike Bibby,82,3155,459,1031,77,195,250,306,665,132,15,247,1190,2000
Chauncey Billups,13,305,34,101,7,37,44,34,39,10,2,24,112,2000
Mookie Blaylock,73,2459,327,837,101,67,95,270,489,146,22,143,822,2000
Corie Blount,38,446,44,89,0,19,33,113,10,15,7,28,107,2000
Muggsy Bogues,80,1731,157,358,17,79,87,135,299,65,4,59,410,2000
Etdrick Bohannon,13,118,7,13,0,15,24,31,5,2,6,10,29,2000
Calvin Booth,11,143,16,46,0,10,14,32,7,3,14,6,42,2000
Lazaro Borrell,17,167,28,63,0,6,11,40,10,6,3,6,62,2000
Cal Bowdler,46,423,49,115,0,24,38,85,14,14,9,21,122,2000
Bruce Bowen,69,878,72,194,27,25,43,96,34,23,15,19,196,2000
Ryan Bowen,52,589,46,117,1,38,53,114,20,39,13,14,131,2000
Ira Bowman,11,20,2,2,0,1,2,2,1,1,0,1,5,2000
Earl Boykins,26,261,56,116,8,18,23,26,48,12,1,17,138,2000
Shawn Bradley,77,1901,266,555,1,114,149,497,60,71,190,74,647,2000
A.J. Bramlett,8,61,4,21,0,0,0,22,0,1,0,3,8,2000
Elton Brand,81,2999,630,1306,0,367,536,810,155,66,132,228,1627,2000
Terrell Brandon,71,2587,486,1042,53,187,208,238,629,134,30,184,1212,2000
Chucky Brown,63,1096,148,328,2,36,52,167,66,20,18,45,334,2000
Dee Brown,38,673,93,258,67,11,16,54,86,24,5,39,264,2000
Marcus Brown,6,45,4,14,0,2,2,7,3,0,0,3,10,2000
P.J. Brown,80,2302,322,671,0,120,159,600,145,65,61,100,764,2000
Randy Brown,59,1625,157,435,3,62,84,144,202,61,15,105,379,2000
Rick Brunson,37,289,29,70,2,11,18,27,49,9,1,31,71,2000
Kobe Bryant*,66,2524,554,1183,46,331,403,416,323,106,62,182,1485,2000
Mark Bryant,75,1712,174,346,0,76,94,352,61,31,31,87,424,2000
Greg Buckner,48,923,111,233,10,43,63,174,55,38,20,36,275,2000
Jud Buechler,58,657,55,156,18,2,7,91,33,25,16,13,130,2000
Rodney Buford,34,386,62,151,7,16,22,48,21,10,8,9,147,2000
Matt Bullard,56,1024,139,340,79,25,30,138,63,19,13,36,382,2000
Scott Burrell,74,1336,165,419,82,39,50,256,72,67,44,38,451,2000
Jason Caffey,71,2159,323,675,0,206,345,482,119,62,20,170,852,2000
Michael Cage,20,242,12,24,0,3,3,81,9,8,8,4,27,2000
Marcus Camby,59,1548,226,471,1,148,221,461,49,43,116,72,601,2000
Elden Campbell,78,2538,370,829,0,247,358,590,129,56,150,127,987,2000
Antoine Carr,21,221,28,64,0,11,14,32,7,3,6,9,67,2000
Chris Carr,57,1166,196,496,32,107,125,173,84,30,15,117,531,2000
Anthony Carter,79,1859,201,509,3,93,124,199,378,93,5,173,498,2000
Vince Carter,82,3126,788,1696,95,436,551,476,322,110,92,178,2107,2000
Sam Cassell,81,2899,545,1170,26,390,445,301,729,102,8,267,1506,2000
Kelvin Cato,65,1581,216,402,0,135,208,389,26,33,124,71,567,2000
Duane Causwell,25,185,20,37,0,26,38,47,2,2,16,10,66,2000
Cedric Ceballos,69,2064,447,1002,44,209,248,462,90,56,24,125,1147,2000
John Celestand,16,185,15,45,2,5,6,11,20,7,0,16,37,2000
Rex Chapman,53,957,124,320,41,59,78,80,62,22,1,38,348,2000
Calbert Cheaney,67,1309,120,273,18,9,21,138,80,44,14,46,267,2000
Pete Chilcutt,56,601,53,127,6,8,8,131,27,15,10,20,120,2000
Chris Childs,71,1675,146,357,37,47,59,147,285,36,4,105,376,2000
Doug Christie,73,2264,311,764,99,182,216,285,321,102,43,144,903,2000
Keon Clark,81,1850,286,528,1,121,176,505,71,45,114,125,694,2000
Keith Closs,57,820,96,197,0,46,78,179,25,13,73,34,238,2000
Derrick Coleman,74,2347,446,979,51,296,377,632,175,34,130,173,1239,2000
Bimbo Coles,80,1924,276,607,8,85,104,172,290,58,11,103,645,2000
Marty Conlon,3,9,1,2,0,0,0,2,0,0,0,0,2,2000
Tyrone Corbin,54,941,88,247,10,33,39,165,60,36,5,29,219,2000
Chris Crawford,55,668,91,229,7,63,81,99,33,17,16,37,252,2000
Austin Croshere,81,1885,288,653,63,196,231,516,89,44,60,121,835,2000
John Crotty,69,937,106,251,33,80,93,75,128,27,5,54,325,2000
Terry Cummings,22,398,76,177,0,32,39,107,21,13,8,27,184,2000
Vonteego Cummings,75,1793,265,655,49,127,169,184,247,91,13,132,706,2000
Bill Curley,28,309,29,68,0,18,25,50,14,13,4,21,76,2000
Dell Curry,67,1095,194,454,95,24,32,100,89,32,9,40,507,2000
Michael Curry,82,1611,182,379,1,141,168,104,87,33,5,73,506,2000
Erick Dampier,21,495,70,173,0,27,51,134,19,8,15,29,167,2000
Antonio Daniels,68,1195,163,344,22,72,101,86,177,55,5,58,420,2000
Kornél Dávid,32,474,67,157,0,45,56,81,17,17,3,33,179,2000
Antonio Davis,79,2479,313,712,0,284,371,696,105,38,100,121,910,2000
Baron Davis,82,1523,182,433,25,97,153,165,309,97,19,140,486,2000
Ben Davis,5,22,2,6,0,0,0,9,2,1,1,3,4,2000
Dale Davis,74,2127,302,602,0,139,203,729,64,52,94,91,743,2000
Emanual Davis,54,701,80,220,31,26,38,100,70,38,5,44,217,2000
Hubert Davis,79,1817,217,464,82,67,77,134,141,24,3,70,583,2000
Mark Davis,23,464,56,137,0,31,47,84,38,25,4,40,143,2000
Ricky Davis,48,570,94,187,0,39,51,83,62,30,8,46,227,2000
Todd Day,58,941,130,330,64,72,108,129,65,44,22,50,396,2000
Andrew DeClercq,82,1831,225,443,0,94,160,439,58,63,66,108,544,2000
Vinny Del Negro,67,1211,153,325,8,35,39,107,160,36,0,48,349,2000
Tony Delk,46,682,120,279,9,47,59,88,55,35,5,32,296,2000
Derrick Dial,8,95,17,46,3,3,5,26,5,1,1,6,40,2000
Michael Dickerson,82,3103,554,1270,119,269,324,279,208,116,45,165,1496,2000
Vlade Divac*,82,2374,384,764,7,230,333,656,244,103,103,190,1005,2000
Michael Doleac,81,1335,242,535,1,80,95,334,63,29,34,65,565,2000
Sherman Douglas,20,309,45,90,5,25,28,29,34,17,0,24,120,2000
Bryce Drew,72,1293,158,413,59,45,53,103,162,41,1,66,420,2000
