name,games,minutes,fg,fga,3p,ft,fta,reb,ast,stl,blk,to,pts,year
Shareef Abdur-Rahim,72,1961,332,632,5,218,278,357,149,48,42,108,887,2006
Alex Acker,5,35,4,16,1,0,0,5,4,1,0,4,9,2006
Malik Allen,54,701,121,247,1,23,38,140,20,14,16,34,266,2006
Ray Allen*,78,3022,681,1500,269,324,359,332,286,105,16,188,1955,2006
Tony Allen,51,978,129,274,11,100,134,111,67,51,18,67,369,2006
Rafer Alston,63,2431,280,738,102,99,143,255,425,101,15,157,761,2006
Chris Andersen,32,570,56,98,0,49,103,155,6,8,41,26,161,2006
Alan Anderson,36,564,75,181,24,33,41,70,32,11,4,32,207,2006
Derek Anderson,43,1047,108,303,40,93,111,143,101,23,6,54,349,2006
Shandon Anderson,48,638,54,126,5,13,18,81,30,17,6,24,126,2006
Martynas Andriuškevičius,6,9,0,1,0,0,0,4,0,2,0,0,0,2006
Carmelo Anthony,80,2941,756,1572,37,573,709,394,216,88,42,218,2122,2006
Rafael Araújo,52,601,53,145,0,15,28,144,15,24,6,42,121,2006
Gilbert Arenas,80,3384,746,1668,199,655,799,280,484,161,25,297,2346,2006
Trevor Ariza,57,999,93,226,1,77,127,218,61,57,11,62,264,2006
Darrell Armstrong,62,622,43,128,11,33,42,81,86,27,3,58,130,2006
Carlos Arroyo,77,1194,168,378,7,106,137,130,232,38,4,83,449,2006
Chucky Atkins,71,1713,226,573,97,129,163,120,198,43,2,87,678,2006
Stacey Augmon,36,385,25,73,0,21,30,53,23,12,6,11,71,2006
Vin Baker,8,85,7,15,0,13,18,19,4,4,4,9,27,2006
Marcus Banks,58,1497,219,468,22,118,147,135,220,54,11,119,578,2006
Leandro Barbosa,57,1592,273,567,87,111,147,150,158,48,6,89,744,2006
Matt Barnes,56,631,70,140,3,32,47,121,28,20,7,30,175,2006
Andre Barrett,19,282,38,104,2,9,12,25,52,10,0,15,87,2006
Earl Barron,8,45,5,16,0,3,4,10,0,0,0,5,13,2006
Brent Barry,74,1259,156,345,80,39,59,159,123,39,27,52,431,2006
Jon Barry,20,342,25,65,12,24,29,31,26,13,1,22,86,2006
Eddie Basden,19,141,15,37,1,8,10,28,8,9,2,9,39,2006
Brandon Bass,29,268,28,70,0,12,19,68,3,3,7,11,68,2006
Esteban Batista,57,495,34,80,0,33,53,144,7,15,11,38,101,2006
Tony Battie,82,2215,280,552,0,89,134,457,49,46,69,88,649,2006
Shane Battier,81,2839,303,621,65,147,208,429,136,92,114,90,818,2006
Lonny Baxter,41,400,45,104,0,28,35,117,4,11,8,20,118,2006
Charlie Bell,59,1283,180,410,71,63,89,120,130,59,5,41,494,2006
Raja Bell,79,2959,425,930,197,115,146,253,207,76,22,89,1162,2006
Jonathan Bender,2,21,4,5,0,2,2,4,2,0,1,0,10,2006
Mike Bibby,82,3167,597,1382,192,342,403,240,444,82,10,199,1728,2006
Andris Biedriņš,68,1000,118,185,0,22,72,283,24,23,47,34,258,2006
Chauncey Billups,81,2925,423,1012,184,465,520,252,699,71,8,170,1495,2006
Steve Blake,68,1781,206,470,76,72,91,146,306,42,5,83,560,2006
Andray Blatche,29,175,26,67,3,10,12,38,10,5,7,12,65,2006
Mark Blount,81,2240,373,734,0,168,222,365,99,40,76,194,914,2006
Keith Bogans,72,1912,215,544,65,127,186,255,128,71,9,90,622,2006
Andrew Bogut,82,2348,323,606,0,122,194,573,192,49,68,125,768,2006
Matt Bonner,78,1710,209,467,102,63,76,284,56,49,31,32,583,2006
Calvin Booth,33,250,20,47,1,5,9,52,12,9,9,8,46,2006
Carlos Boozer,33,1025,219,399,0,99,137,285,88,30,8,69,537,2006
Chris Bosh,70,2751,549,1087,0,474,581,647,181,50,79,157,1572,2006
Bruce Bowen,82,2755,232,536,104,51,84,320,126,79,30,67,619,2006
Ryan Bowen,68,652,37,124,3,11,14,88,24,21,6,13,88,2006
Earl Boykins,60,1542,271,661,62,152,174,81,230,48,4,83,756,2006
Michael Bradley,46,367,32,79,1,2,3,107,17,5,7,19,67,2006
Elton Brand,79,3099,756,1435,1,440,568,790,208,81,201,173,1953,2006
Primož Brezec,79,2165,409,791,0,164,224,440,45,19,32,85,982,2006
Devin Brown,81,1711,207,527,39,158,212,207,104,44,14,99,611,2006
Kwame Brown,72,1978,204,388,0,128,235,473,72,27,46,100,536,2006
P.J. Brown,75,2380,269,583,0,139,168,547,90,46,50,90,677,2006
Rick Brunson,27,246,21,54,5,7,12,22,35,8,1,22,54,2006
Kobe Bryant*,80,3277,978,2173,180,696,819,425,360,147,30,250,2832,2006
Greg Buckner,73,1758,181,417,86,43,55,209,127,87,20,52,491,2006
Pat Burke,42,346,63,127,2,13,21,73,16,6,13,33,141,2006
Antonio Burks,57,570,51,144,1,10,23,37,76,20,0,36,113,2006
Kevin Burleson,39,340,22,88,10,16,17,26,48,26,2,25,70,2006
Caron Butler,75,2708,494,1086,41,289,332,466,186,127,18,175,1318,2006
Jackie Butler,55,740,117,215,0,58,77,183,25,17,31,62,292,2006
