name,games,minutes,fg,fga,3p,ft,fta,reb,ast,stl,blk,to,pts,year
Shareef Abdur-Rahim,54,1867,337,670,15,220,254,392,111,49,26,117,909,2005
Cory Alexander,16,201,16,49,8,9,12,29,37,9,1,19,49,2005
Malik Allen,36,519,84,177,0,26,28,99,18,9,22,18,194,2005
Ray Allen*,78,3064,640,1494,209,378,428,347,289,84,5,171,1867,2005
Tony Allen,77,1262,184,387,12,112,152,221,64,76,24,77,492,2005
Rafer Alston,80,2717,403,974,139,191,258,279,514,118,7,170,1136,2005
Chris Andersen,67,1430,191,358,0,131,190,410,71,14,100,64,513,2005
Derek Anderson,47,1239,152,391,58,70,87,128,143,36,4,70,432,2005
Kenny Anderson,43,743,85,201,6,27,37,88,103,33,0,49,203,2005
Shandon Anderson,66,1171,98,217,5,54,66,191,70,40,14,50,255,2005
Carmelo Anthony,75,2608,530,1230,42,456,573,426,194,68,30,224,1558,2005
Rafael Araújo,59,736,76,175,1,43,55,185,16,21,8,52,196,2005
Gilbert Arenas,80,3274,656,1523,205,521,640,378,411,139,23,242,2038,2005
Trevor Ariza,80,1382,172,389,3,121,174,242,85,70,18,73,468,2005
Darrell Armstrong,66,988,89,277,28,58,68,115,178,45,8,67,264,2005
Carlos Arroyo,70,1448,167,429,8,119,149,104,280,44,4,107,461,2005
Chucky Atkins,82,2903,388,910,176,163,203,197,358,73,2,151,1115,2005
Stacey Augmon,55,663,68,167,0,57,77,99,36,23,8,31,193,2005
Maurice Baker,5,19,0,1,0,0,0,2,1,1,0,1,0,2005
Vin Baker,27,204,13,42,0,9,17,39,10,2,4,17,35,2005
Marcus Banks,81,1145,115,286,21,121,163,126,155,63,13,79,372,2005
Leandro Barbosa,63,1087,168,354,51,55,69,130,126,30,7,87,442,2005
Matt Barnes,43,715,62,151,5,35,58,133,57,30,7,45,164,2005
Andre Barrett,38,483,45,124,14,14,19,40,69,19,1,27,118,2005
Brent Barry,81,1742,194,459,100,113,135,190,178,39,20,64,601,2005
Jon Barry,69,1505,161,368,71,62,71,159,167,60,9,67,455,2005
Tony Battie,81,1894,163,354,0,68,94,452,42,30,81,81,394,2005
Shane Battier,80,2516,271,613,70,180,228,413,126,91,77,75,792,2005
Lonny Baxter,4,36,3,11,0,0,2,8,0,0,0,4,6,2005
Raja Bell,63,1790,303,667,54,112,150,201,91,44,8,79,772,2005
Jonathan Bender,7,93,16,40,1,3,6,14,4,1,2,10,36,2005
Travis Best,76,1461,190,452,26,108,122,107,143,66,9,67,514,2005
Mike Bibby,80,3084,560,1264,131,320,413,332,541,124,30,203,1571,2005
Andris Biedriņš,30,384,45,78,0,19,40,118,12,12,24,12,109,2005
Chauncey Billups,80,2866,404,913,165,343,382,271,464,81,9,180,1316,2005
Steve Blake,44,648,61,186,36,33,41,71,69,13,0,39,191,2005
Mark Blount,82,2130,327,618,0,117,164,397,129,33,64,158,771,2005
Tony Bobbitt,2,12,2,5,1,0,0,3,0,0,0,0,5,2005
Keith Bogans,74,1791,262,688,57,133,183,226,135,68,8,122,714,2005
Matt Bonner,82,1553,247,463,39,56,71,285,48,39,19,40,589,2005
Calvin Booth,51,451,49,108,0,26,32,107,8,15,28,16,124,2005
Carlos Boozer,51,1772,361,693,0,187,268,457,144,41,24,137,909,2005
Curtis Borchardt,67,859,74,172,0,52,71,224,49,10,32,52,200,2005
Chris Bosh,81,3017,473,1005,3,412,542,718,153,76,113,187,1361,2005
Bruce Bowen,82,2627,251,598,102,71,112,285,126,55,39,57,675,2005
Ryan Bowen,66,604,47,111,3,14,21,76,18,23,5,7,111,2005
Earl Boykins,82,2162,340,824,56,279,303,143,372,78,12,121,1015,2005
Michael Bradley,18,119,15,24,0,3,8,28,5,1,2,5,33,2005
Shawn Bradley,77,885,84,186,0,43,63,214,15,25,63,33,211,2005
Torraye Braggs,7,24,3,7,0,0,0,12,0,0,0,2,6,2005
Elton Brand,81,3001,629,1251,0,364,484,770,208,62,169,183,1622,2005
Jamison Brewer,18,185,11,37,3,6,13,22,12,8,1,13,31,2005
Primož Brezec,72,2276,387,756,0,164,220,531,86,33,55,106,938,2005
Damone Brown,14,152,23,62,4,4,9,28,14,1,6,15,54,2005
Devin Brown,67,1238,173,409,45,103,130,176,92,39,12,53,494,2005
Kedrick Brown,8,55,2,6,0,8,10,11,4,3,1,5,12,2005
Kwame Brown,42,908,109,237,0,74,129,206,39,25,15,67,292,2005
P.J. Brown,82,2817,338,758,0,210,243,737,178,74,50,101,886,2005
Tierre Brown,76,1066,124,348,26,59,75,93,155,32,1,74,333,2005
Rick Brunson,80,1945,166,442,48,57,74,187,410,82,7,125,437,2005
Kobe Bryant*,66,2689,573,1324,131,542,664,392,398,86,53,270,1819,2005
