name,games,minutes,fg,fga,3p,ft,fta,reb,ast,stl,blk,to,pts,year
Mahmoud Abdul-Rauf,41,486,120,246,4,22,29,25,76,9,1,26,266,2001
Tariq Abdul-Wahad,29,420,43,111,4,21,36,59,22,14,13,34,111,2001
Shareef Abdur-Rahim,81,3241,604,1280,12,443,531,735,250,90,77,231,1663,2001
Cory Alexander,26,227,18,56,4,12,18,25,36,16,0,25,52,2001
Courtney Alexander,65,1382,239,573,17,123,150,143,62,45,5,75,618,2001
Ray Allen*,82,3129,628,1309,202,348,392,428,374,124,20,204,1806,2001
Rafer Alston,37,288,30,84,8,9,13,31,68,13,0,20,77,2001
John Amaechi,82,1710,237,592,0,176,279,268,74,28,29,124,650,2001
Derek Anderson,82,2859,413,993,101,342,402,363,301,120,14,165,1269,2001
Kenny Anderson,33,849,88,227,11,59,71,73,134,44,2,52,246,2001
Nick Anderson,21,169,14,57,10,0,0,25,13,10,4,7,38,2001
Shandon Anderson,82,2396,263,590,46,138,188,333,189,82,40,131,710,2001
Greg Anthony,58,856,97,253,65,23,35,61,82,40,3,43,282,2001
Darrell Armstrong,75,2767,413,1002,143,220,249,343,524,135,13,200,1189,2001
Chucky Atkins,81,2363,380,952,121,90,130,173,330,67,5,149,971,2001
Stacey Augmon,66,1182,127,266,0,57,87,159,98,48,21,48,311,2001
Isaac Austin,52,845,96,270,6,28,40,222,58,20,23,54,226,2001
William Avery,55,463,55,144,16,28,36,29,75,13,4,45,154,2001
Dalibor Bagarić,35,259,17,65,0,13,28,56,10,9,16,21,47,2001
Vin Baker,76,2129,347,822,1,232,321,430,90,38,73,158,927,2001
Erick Barkley,8,38,8,22,3,0,0,3,6,2,0,5,19,2001
Dana Barros,60,1079,183,412,44,68,80,94,110,30,2,60,478,2001
Brent Barry,67,1778,198,401,109,84,103,211,225,80,14,86,589,2001
Jon Barry,62,1010,103,255,46,64,73,94,130,28,6,53,316,2001
Tony Battie,40,845,108,201,0,44,69,233,16,27,60,37,260,2001
Raja Bell,5,30,2,7,1,0,0,1,0,1,0,2,5,2001
Jonathan Bender,59,574,66,186,11,50,68,74,32,7,28,42,193,2001
Corey Benjamin,65,857,115,302,21,56,83,100,69,28,16,63,307,2001
David Benoit,49,446,71,147,5,31,39,81,22,6,6,28,178,2001
Travis Best,77,2457,347,788,37,187,226,222,473,110,11,127,918,2001
Mike Bibby,82,3190,525,1157,108,143,188,304,685,107,12,248,1301,2001
Chauncey Billups,77,1790,248,587,73,144,171,158,260,51,11,111,713,2001
Mookie Blaylock,69,2352,317,801,73,53,76,272,462,163,20,128,760,2001
Corie Blount,68,1305,130,294,2,51,83,400,59,42,22,73,313,2001
Mark Blount,64,1098,101,200,0,46,66,231,32,39,76,62,248,2001
Muggsy Bogues,3,34,0,2,0,0,0,3,5,2,0,4,0,2001
Etdrick Bohannon,6,19,2,4,0,4,4,7,0,0,2,1,8,2001
Calvin Booth,55,933,120,252,0,53,78,246,42,29,111,53,293,2001
Cal Bowdler,44,375,53,114,1,33,40,77,4,10,21,11,140,2001
Bruce Bowen,82,2685,211,581,103,98,161,245,132,83,53,74,623,2001
Ryan Bowen,57,696,80,144,4,27,44,113,30,37,12,24,191,2001
Ira Bowman,3,19,0,2,0,0,0,2,7,0,0,1,0,2001
Earl Boykins,10,149,25,63,1,14,17,11,32,5,0,9,65,2001
Shawn Bradley,82,2001,219,447,1,140,178,608,38,36,228,88,579,2001
Elton Brand,74,2906,578,1215,0,334,472,746,240,71,118,219,1490,2001
Terrell Brandon,78,2821,511,1134,33,195,224,298,583,161,21,155,1250,2001
Chucky Brown,26,339,40,95,0,22,34,54,11,9,7,8,102,2001
Dee Brown,7,155,16,44,12,4,5,11,12,4,0,7,48,2001
P.J. Brown,80,2811,249,561,0,178,209,742,127,78,92,108,676,2001
Randy Brown,54,1238,100,237,0,23,40,99,154,62,10,56,223,2001
Rick Brunson,22,208,18,54,2,8,15,21,31,8,1,17,46,2001
