name,games,minutes,fg,fga,3p,ft,fta,reb,ast,stl,blk,to,pts,year
Shareef Abdur-Rahim,6,51,3,14,0,4,4,10,4,1,0,1,10,2008
Arron Afflalo,75,970,99,241,10,68,87,137,52,31,8,34,276,2008
Maurice Ager,26,165,21,65,3,6,12,13,8,0,1,6,51,2008
Blake Ahearn,12,177,15,57,10,30,31,19,19,6,0,16,70,2008
LaMarcus Aldridge,76,2649,561,1160,1,227,298,578,122,55,94,126,1350,2008
Malik Allen,73,1096,157,327,1,23,25,196,44,19,31,45,338,2008
Ray Allen*,73,2624,439,986,180,215,237,268,225,65,16,127,1273,2008
Tony Allen,75,1373,169,389,18,138,181,168,114,62,21,109,494,2008
Lance Allred,3,10,1,4,0,1,2,1,0,0,0,0,3,2008
Morris Almond,9,39,4,15,1,4,6,2,3,1,0,2,13,2008
Rafer Alston,74,2526,364,924,143,98,137,260,392,98,18,160,969,2008
Lou Amundson,16,64,8,16,0,2,7,12,0,1,1,2,18,2008
Chris Andersen,5,34,2,7,0,2,4,9,0,0,4,1,6,2008
Derek Anderson,28,396,47,125,19,28,38,52,44,12,1,25,141,2008
Carmelo Anthony,77,2806,728,1481,58,464,590,571,259,98,39,253,1978,2008
Joel Anthony,24,498,28,60,0,29,49,93,3,9,31,17,85,2008
Gilbert Arenas,13,425,78,196,22,74,96,51,66,23,1,49,252,2008
Trevor Ariza,35,546,69,136,5,49,75,108,44,31,11,23,192,2008
Darrell Armstrong,50,549,40,110,23,20,30,67,73,28,2,41,123,2008
Hilton Armstrong,65,732,67,148,0,44,70,163,23,15,34,59,178,2008
Carlos Arroyo,62,1269,157,348,29,87,102,113,219,26,2,77,430,2008
Chucky Atkins,24,352,42,122,25,4,9,31,47,9,1,10,113,2008
James Augustine,25,149,18,34,0,4,8,30,2,5,2,6,40,2008
Kelenna Azubuike,81,1732,261,587,71,99,138,324,75,45,34,58,692,2008
Renaldo Balkman,65,952,91,186,1,41,95,216,40,44,30,37,224,2008
Marcus Banks,36,569,86,191,40,27,35,45,61,14,13,37,239,2008
Leandro Barbosa,82,2421,472,1021,164,175,213,231,216,75,18,117,1283,2008
J.J. Barea,44,460,71,170,21,28,35,47,58,14,1,35,191,2008
Andrea Bargnani,78,1861,280,725,90,142,169,288,89,23,37,88,792,2008
Matt Barnes,73,1414,187,442,53,59,79,324,139,48,36,85,486,2008
Andre Barrett,4,25,2,5,1,1,2,1,7,0,0,1,6,2008
Earl Barron,46,889,132,327,1,61,87,198,29,19,8,48,326,2008
Brent Barry,31,554,77,160,48,19,20,55,54,17,3,18,221,2008
Brandon Bass,79,1557,246,493,0,162,197,347,58,22,48,82,654,2008
Maceo Baston,15,103,17,25,0,7,10,26,3,2,4,4,41,2008
Shane Battier,80,2907,265,619,139,75,101,407,155,77,90,78,744,2008
Marco Belinelli,33,241,36,93,16,7,9,14,15,5,0,12,95,2008
Charlie Bell,68,1628,185,486,74,70,87,167,210,52,2,76,514,2008
Raja Bell,75,2646,317,753,176,79,91,274,168,54,27,65,889,2008
Mike Bibby,48,1573,248,603,93,78,100,160,290,54,4,119,667,2008
Andris Biedriņš,76,2078,340,543,0,116,187,744,75,56,94,85,796,2008
Chauncey Billups,78,2522,393,877,137,401,437,212,529,101,17,160,1324,2008
Steve Blake,81,2424,261,640,121,49,64,195,413,55,4,113,692,2008
Andray Blatche,82,1675,254,536,3,107,154,425,92,53,114,112,618,2008
Mark Blount,69,1542,238,515,17,88,138,263,41,33,34,70,581,2008
Keith Bogans,82,2198,241,588,148,81,110,266,104,59,10,53,711,2008
Andrew Bogut,78,2720,465,910,0,189,322,763,199,64,135,172,1119,2008
Matt Bonner,68,853,121,291,46,38,44,192,32,14,17,39,326,2008
Josh Boone,70,1773,238,434,0,99,217,509,55,36,61,68,575,2008
Calvin Booth,31,204,9,27,0,6,10,38,8,6,18,4,24,2008
Carlos Boozer,81,2827,709,1297,0,290,393,844,233,100,41,210,1708,2008
Chris Bosh,67,2425,507,1027,10,472,559,583,171,63,67,153,1496,2008
Bruce Bowen,81,2448,174,428,90,45,69,234,91,54,22,46,483,2008
Ryan Bowen,53,660,49,100,0,16,29,100,25,32,11,15,114,2008
Earl Boykins,36,577,61,172,14,49,59,34,96,13,0,41,185,2008
Elton Brand,8,274,52,114,0,37,47,64,16,3,15,17,141,2008
Corey Brewer,79,1803,182,486,7,88,110,292,111,76,25,89,459,2008
Ronnie Brewer,76,2088,354,634,11,195,257,218,134,129,19,69,914,2008
Primož Brezec,50,475,44,94,0,24,40,81,11,3,7,24,112,2008
Aaron Brooks,51,608,93,225,36,42,49,56,87,13,5,44,264,2008
Andre Brown,33,286,39,78,0,22,49,92,8,7,4,14,100,2008
Devin Brown,78,1762,217,531,45,107,142,263,175,52,7,99,586,2008
Kwame Brown,38,713,72,142,0,40,98,188,45,22,23,51,184,2008
P.J. Brown,18,209,14,41,0,11,16,68,10,5,8,10,39,2008
Shannon Brown,21,240,44,126,9,17,29,20,17,11,3,24,114,2008
Kobe Bryant*,82,3192,775,1690,150,623,742,517,441,151,40,257,2323,2008
Greg Buckner,31,520,45,117,15,19,22,65,39,21,2,29,124,2008
Caron Butler,58,2314,439,943,66,236,262,388,284,128,20,150,1180,2008
Rasual Butler,51,875,91,260,44,26,31,100,36,15,21,10,252,2008
Andrew Bynum,35,1008,189,297,0,82,118,356,61,12,72,52,460,2008
José Calderón,82,2484,367,707,79,109,120,236,678,87,6,126,922,2008
Marcus Camby,79,2758,286,635,6,143,202,1037,259,85,285,118,721,2008
Brian Cardinal,37,440,43,126,25,13,19,96,22,10,2,23,124,2008
Rodney Carney,70,1039,158,392,38,55,81,149,32,39,23,34,409,2008
Matt Carroll,80,2016,252,589,105,111,138,226,73,46,19,58,720,2008
Anthony Carter,70,1960,218,476,45,64,85,200,388,107,28,124,545,2008
Vince Carter,76,2959,587,1287,98,350,429,453,389,93,33,181,1622,2008
Sam Cassell,55,1274,233,532,23,127,144,136,214,37,6,97,616,2008
Tyson Chandler,79,2783,377,605,0,175,295,928,81,45,84,136,929,2008
Wilson Chandler,35,685,106,242,9,34,54,127,33,15,16,27,255,2008
Josh Childress,76,2274,327,573,22,222,275,373,117,71,43,98,898,2008
Jarron Collins,70,702,36,82,0,46,74,116,37,10,6,22,118,2008
Jason Collins,74,1172,53,113,0,34,74,178,25,23,25,48,140,2008
Mardy Collins,46,634,57,175,8,23,38,75,89,24,8,56,145,2008
Nick Collison,78,2223,322,641,0,123,167,730,113,47,60,118,767,2008
Mike Conley,53,1381,189,442,30,90,123,139,222,44,2,89,498,2008
Brian Cook,51,629,88,234,43,19,21,109,27,13,12,39,238,2008
Daequan Cook,59,1441,196,514,79,47,57,177,75,23,9,63,518,2008
Jamal Crawford,80,3190,570,1391,176,329,381,207,398,81,17,192,1645,2008
Javaris Crittenton,50,679,98,233,10,72,104,110,51,19,2,55,278,2008
Austin Croshere,44,457,61,137,22,29,32,104,30,8,6,22,173,2008
Eddy Curry,59,1530,297,544,0,187,300,275,32,14,29,126,781,2008
Samuel Dalembert,82,2724,339,661,0,186,263,849,45,40,192,155,864,2008
Erick Dampier,72,1755,178,277,0,84,146,539,63,24,106,80,440,2008
Antonio Daniels,71,2161,205,447,17,170,219,203,340,69,2,91,597,2008
Marquis Daniels,74,1546,241,561,27,97,139,212,137,79,18,112,606,2008
Jermareo Davidson,38,322,51,125,0,18,28,62,13,7,15,17,120,2008
Baron Davis,82,3196,650,1526,173,318,424,385,623,191,43,232,1791,2008
Glen Davis,69,940,107,221,0,99,150,208,28,31,20,65,313,2008
Paul Davis,22,194,24,65,0,6,10,47,10,6,6,9,54,2008
Ricky Davis,82,2963,420,971,135,155,197,353,276,87,14,191,1130,2008
Carlos Delfino,82,1928,251,632,120,116,156,359,145,69,11,75,738,2008
Luol Deng,63,2128,429,896,8,204,265,394,155,57,29,120,1070,2008
Boris Diaw,82,2308,308,646,13,96,129,378,317,61,39,155,725,2008
Yakhouba Diawara,54,542,55,134,21,22,31,62,37,8,3,16,153,2008
Guillermo Díaz,6,18,1,4,0,3,5,2,1,0,0,0,5,2008
Dan Dickau,67,1040,124,296,36,68,82,97,172,32,3,55,352,2008
Kaniel Dickens,5,12,1,3,0,0,0,1,1,0,1,0,2,2008
Travis Diener,66,1356,159,430,74,64,71,115,251,35,4,55,456,2008
Ike Diogu,30,305,64,134,0,40,47,85,10,7,3,20,168,2008
DeSagana Diop,79,1295,94,180,0,38,70,392,40,26,88,58,226,2008
Juan Dixon,53,668,106,258,30,21,26,75,97,21,2,54,263,2008
Michael Doleac,24,257,28,63,0,1,2,49,7,10,10,12,57,2008
Keyon Dooling,72,1334,198,423,22,163,193,101,133,36,5,61,581,2008
Quincy Douby,74,876,132,335,42,48,52,83,53,30,12,59,354,2008
Jared Dudley,73,1384,163,348,9,87,118,286,81,55,10,50,422,2008
Chris Duhon,66,1490,133,344,54,65,80,116,263,48,2,71,385,2008
Tim Duncan*,78,2651,585,1178,0,338,463,881,218,56,152,178,1508,2008
Mike Dunleavy,82,2953,532,1117,165,336,403,424,288,86,31,190,1565,2008
Ronald Dupree,5,21,1,3,0,2,2,8,1,1,0,0,4,2008
Kevin Durant,80,2768,587,1366,59,391,448,348,192,78,75,232,1624,2008
Monta Ellis,81,3071,652,1227,12,320,417,404,315,124,27,173,1636,2008
Francisco Elson,63,813,92,236,0,26,37,200,24,15,20,47,210,2008
Melvin Ely,52,621,85,180,0,32,58,145,22,7,18,42,202,2008
Maurice Evans,75,1720,262,545,81,59,83,218,81,46,10,40,664,2008
Reggie Evans,81,1879,152,346,1,120,257,611,65,86,8,108,425,2008
Jordan Farmar,82,1690,291,631,114,53,78,183,225,77,5,108,749,2008
Nick Fazekas,26,269,46,82,0,15,22,89,11,8,11,13,107,2008
Raymond Felton,79,2972,412,997,56,260,325,236,583,96,12,213,1140,2008
Kyrylo Fesenko,9,70,6,16,0,2,4,25,2,0,3,8,14,2008
Michael Finley,82,2204,315,761,132,64,80,254,114,29,10,56,826,2008
Derek Fisher,82,2249,339,777,112,166,188,170,239,86,3,90,956,2008
T.J. Ford,51,1199,246,524,15,110,125,100,313,54,0,102,617,2008
Jeff Foster,77,1884,205,373,0,86,145,668,129,56,32,62,496,2008
Randy Foye,39,1259,198,462,61,53,65,128,164,36,3,79,510,2008
Adonal Foyle,82,774,70,153,0,16,34,208,18,16,45,32,156,2008
Richie Frahm,10,163,20,54,7,0,2,14,8,2,0,6,47,2008
Steve Francis,10,199,19,57,4,13,23,23,30,9,5,14,55,2008
Channing Frye,78,1342,221,453,3,85,109,354,57,29,27,55,530,2008
Dan Gadzuric,51,534,64,154,0,33,63,144,11,20,24,34,161,2008
