name,games,minutes,fg,fga,3p,ft,fta,reb,ast,stl,blk,to,pts,year
Alaa Abdelnaby,71,934,178,361,0,76,101,260,30,25,16,66,432,1992
Mahmoud Abdul-Rauf,81,1538,356,845,31,94,108,114,192,44,4,117,837,1992
Mark Acres,68,926,78,151,1,51,67,252,22,25,15,33,208,1992
Michael Adams,78,2795,485,1233,125,313,360,310,594,145,9,212,1408,1992
Rafael Addison,76,1175,187,432,14,56,76,165,68,28,28,46,444,1992
Mark Aguirre,75,1582,339,787,15,158,230,236,126,51,11,105,851,1992
Danny Ainge,81,1595,299,676,78,108,131,148,202,73,13,70,784,1992
Victor Alexander,80,1350,243,459,0,103,149,336,32,45,62,91,589,1992
Greg Anderson,82,2793,389,854,0,167,268,941,78,88,65,201,945,1992
Kenny Anderson,64,1086,187,480,3,73,98,127,203,67,9,97,450,1992
Nick Anderson,60,2203,482,1042,30,202,303,384,163,97,33,126,1196,1992
Ron Anderson,82,2432,469,1008,42,143,163,278,135,86,11,109,1123,1992
Willie Anderson,57,1889,312,685,13,107,138,300,302,54,51,140,744,1992
Michael Ansley,10,45,8,18,0,5,6,6,2,0,0,3,21,1992
Greg Anthony,82,1510,161,435,8,117,158,136,314,59,9,98,447,1992
B.J. Armstrong,82,1875,335,697,35,104,129,145,266,46,5,94,809,1992
Vincent Askew,80,1496,193,379,1,111,160,233,188,47,23,84,498,1992
Keith Askins,59,843,84,205,25,26,37,142,38,40,15,47,219,1992
Stacey Augmon,82,2505,440,899,1,213,320,420,201,124,27,181,1094,1992
Isaac Austin,31,112,21,46,0,19,30,35,5,2,2,8,61,1992
Miloš Babić,9,35,6,13,0,6,8,11,6,1,0,5,18,1992
John Bagley,73,1742,223,506,10,68,95,161,480,57,4,148,524,1992
Thurl Bailey,84,2104,368,836,0,215,270,485,78,35,117,108,951,1992
Charles Barkley*,75,2881,622,1126,32,454,653,830,308,136,44,235,1730,1992
Dana Barros,75,1331,238,493,83,60,79,81,125,51,4,56,619,1992
John Battle,76,1637,316,659,2,145,171,112,159,36,5,91,779,1992
Kenny Battle,16,92,11,17,0,10,12,16,4,2,2,4,32,1992
William Bedford,32,363,50,121,0,14,22,63,12,6,18,15,114,1992
Benoit Benjamin,63,1941,354,740,0,171,249,513,76,39,118,175,879,1992
Winston Bennett,54,833,80,211,0,35,50,162,38,19,9,33,195,1992
David Benoit,77,1161,175,375,3,81,100,296,34,19,44,71,434,1992
Larry Bird*,45,1662,353,758,52,150,162,434,306,42,33,125,908,1992
Rolando Blackman,75,2527,535,1161,65,239,266,239,204,50,22,153,1374,1992
Lance Blanks,43,189,25,55,6,8,11,22,19,14,1,14,64,1992
Mookie Blaylock,72,2548,429,993,12,126,177,269,492,170,40,152,996,1992
