name,games,minutes,fg,fga,3p,ft,fta,reb,ast,stl,blk,to,pts,year
Steven Adams,63,1680,283,478,1,117,201,583,146,51,67,94,684,2020
Bam Adebayo,72,2417,440,790,2,264,382,735,368,82,93,204,1146,2020
LaMarcus Aldridge,53,1754,391,793,61,158,191,392,129,36,87,74,1001,2020
Kyle Alexander,2,13,1,2,0,0,0,3,0,0,0,1,2,2020
Nickeil Alexander-Walker,47,591,98,266,46,25,37,84,89,17,8,54,267,2020
Grayson Allen,38,718,117,251,57,39,45,85,52,10,2,33,330,2020
Jarrett Allen,70,1852,302,465,0,171,270,671,110,40,92,77,775,2020
Kadeem Allen,10,117,19,44,5,7,11,9,21,5,2,8,50,2020
Al-Farouq Aminu,18,380,25,86,9,19,29,87,21,18,8,17,78,2020
Justin Anderson,10,107,10,38,6,2,4,21,8,0,6,4,28,2020
Kyle Anderson,67,1330,157,331,24,52,78,285,162,54,37,66,390,2020
Ryan Anderson,2,14,2,7,1,0,0,7,2,1,0,1,5,2020
Giannis Antetokounmpo,63,1917,685,1238,89,398,629,856,354,61,66,230,1857,2020
Kostas Antetokounmpo,5,20,3,3,0,1,2,3,2,0,0,1,7,2020
Thanasis Antetokounmpo,20,129,24,48,0,7,17,24,15,7,2,12,55,2020
Carmelo Anthony,58,1902,336,782,87,136,161,368,85,49,27,100,895,2020
OG Anunoby,69,2066,286,566,89,72,102,364,108,96,45,79,733,2020
Ryan Arcidiacono,58,930,90,220,54,27,38,110,96,27,3,37,261,2020
Trevor Ariza,53,1493,142,324,77,62,74,246,91,69,15,56,423,2020
D.J. Augustin,57,1420,184,461,70,161,181,122,262,34,1,86,599,2020
Deandre Ayton,38,1236,310,568,3,67,89,436,72,26,58,80,690,2020
Dwayne Bacon,39,687,85,244,19,35,53,100,52,23,2,37,224,2020
Marvin Bagley III,13,334,78,167,4,25,31,97,10,6,12,18,185,2020
Lonzo Ball,63,2025,277,687,148,43,76,383,438,88,38,193,745,2020
Mo Bamba,62,878,132,286,37,31,46,302,42,23,86,42,332,2020
J.J. Barea,29,450,85,207,32,20,22,53,112,5,2,38,222,2020
Harrison Barnes,72,2482,365,793,102,214,267,355,159,43,12,88,1046,2020
RJ Barrett,56,1704,292,727,63,156,254,279,143,55,17,124,803,2020
Will Barton,58,1916,332,738,108,102,133,365,212,61,29,88,874,2020
Keita Bates-Diop,44,744,100,234,34,54,75,127,30,19,24,17,288,2020
Nicolas Batum,22,505,28,81,14,9,10,100,66,17,8,22,79,2020
Aron Baynes,42,934,183,381,59,56,75,237,67,10,23,50,481,2020
Kent Bazemore,68,1688,200,534,84,113,147,294,93,74,40,91,597,2020
Darius Bazley,61,1130,125,317,49,43,62,246,41,23,41,45,342,2020
Bradley Beal,57,2053,593,1303,170,385,457,242,347,71,23,194,1741,2020
Malik Beasley,55,1209,227,534,107,54,66,148,75,40,8,57,615,2020
Marco Belinelli,57,883,123,314,67,48,58,99,69,12,1,19,361,2020
Jordan Bell,29,256,35,67,4,19,31,81,16,3,10,21,93,2020
DeAndre' Bembry,43,915,104,228,15,26,48,152,81,55,19,60,249,2020
Dragan Bender,16,286,41,92,15,10,14,73,28,4,9,21,107,2020
Dāvis Bertāns,54,1583,265,610,200,104,122,245,92,37,33,59,834,2020
Patrick Beverley,51,1342,147,341,80,31,47,266,183,54,25,66,405,2020
Khem Birch,48,922,73,143,0,66,101,220,50,20,23,31,212,2020
Goga Bitadze,54,471,70,150,8,24,33,106,23,10,37,28,172,2020
Bismack Biyombo,53,1029,151,278,0,91,151,308,50,10,49,48,393,2020
Nemanja Bjelica,72,2011,314,653,134,69,84,458,203,62,40,99,831,2020
Eric Bledsoe,61,1646,334,703,74,169,214,282,328,57,26,148,911,2020
Bogdan Bogdanović,61,1766,337,766,164,86,116,207,207,64,15,102,924,2020
Bojan Bogdanović,63,2083,418,935,189,250,277,259,131,34,7,159,1275,2020
Bol Bol,7,87,14,28,4,8,10,19,6,2,6,10,40,2020
Jonah Bolden,7,47,4,11,0,2,4,9,0,3,2,2,10,2020
Jordan Bone,10,53,5,20,2,0,0,4,8,1,0,2,12,2020
Isaac Bonga,66,1250,118,234,25,69,85,222,76,45,22,58,330,2020
Devin Booker,70,2512,627,1283,141,468,509,297,456,49,18,264,1863,2020
Chris Boucher,62,819,141,299,38,91,116,277,26,22,61,28,411,2020
Brian Bowen,6,31,3,10,0,0,0,7,0,0,1,1,6,2020
Ky Bowman,45,1015,134,321,33,34,41,121,131,44,10,70,335,2020
Avery Bradley,49,1186,170,383,63,20,24,115,63,43,5,47,423,2020
Tony Bradley,58,663,126,189,3,30,46,267,23,14,33,30,285,2020
Jarrell Brantley,9,96,10,28,3,1,2,20,11,3,5,7,24,2020
Ignas Brazdeikis,9,53,6,22,1,4,5,5,4,0,1,2,17,2020
Corey Brewer,5,33,2,4,0,1,3,8,2,4,0,2,5,2020
Mikal Bridges,73,2042,247,484,70,103,122,292,129,102,46,73,667,2020
Miles Bridges,65,1995,319,753,99,106,131,362,114,40,48,95,843,2020
Oshae Brissett,19,135,13,36,3,8,10,26,7,4,1,7,37,2020
Ryan Broekhoff,17,180,22,59,20,7,8,43,11,5,4,6,71,2020
Malcolm Brogdon,54,1666,326,744,75,166,186,262,381,35,10,131,893,2020
Dillon Brooks,73,2112,435,1068,147,164,203,243,150,63,27,124,1181,2020
Bruce Brown,58,1634,198,447,33,88,119,274,230,63,29,100,517,2020
