name,games,minutes,fg,fga,3p,ft,fta,reb,ast,stl,blk,to,pts,year
Mahmoud Abdul-Rauf,75,2131,411,924,94,115,136,122,189,56,6,119,1031,1997
Shareef Abdur-Rahim,80,2802,550,1214,7,387,519,555,175,79,79,225,1494,1997
Rafael Addison,41,355,49,122,8,22,28,45,34,8,3,17,128,1997
Cory Alexander,80,1454,194,490,94,95,129,123,254,82,16,146,577,1997
Jerome Allen,76,943,78,221,30,42,72,98,152,31,4,69,228,1997
Ray Allen*,82,2532,390,908,117,205,249,326,210,75,10,149,1102,1997
Derrick Alston,2,11,0,5,0,0,2,4,0,0,0,0,0,1997
Ashraf Amaya,31,144,12,40,1,15,28,52,3,7,3,10,40,1997
Greg Anderson,82,1659,130,262,0,62,93,448,34,63,67,73,322,1997
Kenny Anderson,82,3081,485,1137,132,334,435,363,584,162,15,193,1436,1997
Nick Anderson,63,2163,288,725,143,38,94,304,182,120,32,86,757,1997
Shandon Anderson,65,1066,147,318,24,68,99,179,49,27,8,73,386,1997
Willie Anderson,28,303,29,64,8,17,20,42,34,14,4,19,83,1997
Greg Anthony,65,1863,199,507,88,130,178,184,407,129,4,129,616,1997
B.J. Armstrong,49,1020,148,327,25,68,79,74,126,25,2,53,389,1997
Darrell Armstrong,67,1010,132,345,55,92,106,76,175,61,9,99,411,1997
Vincent Askew,43,838,81,186,7,70,88,98,90,17,6,46,239,1997
Keith Askins,78,1773,138,319,69,39,58,271,75,53,19,59,384,1997
Stacey Augmon,60,942,105,220,0,69,97,138,56,42,17,64,279,1997
Isaac Austin,82,1881,321,639,0,150,226,478,101,45,43,161,792,1997
Vin Baker,78,3159,632,1251,15,358,521,804,211,81,112,245,1637,1997
Charles Barkley*,53,2009,335,692,58,288,415,716,248,69,25,151,1016,1997
Dana Barros,24,708,110,253,43,37,43,48,81,26,6,39,300,1997
Brent Barry,59,1094,155,379,56,76,93,110,154,51,15,76,442,1997
Jon Barry,58,965,100,246,48,37,46,99,115,55,3,59,285,1997
Benoit Benjamin,4,44,5,12,0,3,4,9,1,1,0,2,13,1997
Elmer Bennett,9,75,6,19,3,7,10,4,11,4,0,10,22,1997
Travis Best,76,2064,274,620,57,149,197,166,318,98,5,153,754,1997
Mookie Blaylock,78,3056,501,1159,221,131,174,413,463,212,20,185,1354,1997
Corie Blount,58,1009,92,179,1,56,83,276,35,22,26,50,241,1997
Muggsy Bogues,65,1880,204,443,60,54,64,141,469,82,2,108,522,1997
Dexter Boney,8,48,6,19,1,6,8,6,0,2,1,1,19,1997
Melvin Booker,21,430,46,105,12,18,20,29,53,3,2,27,122,1997
Donnie Boyce,22,154,21,63,2,11,22,15,13,10,4,16,55,1997
Shawn Bradley,73,2288,406,905,0,149,228,611,52,40,248,134,961,1997
Mark Bradtke,36,251,25,58,0,9,13,68,7,5,5,9,59,1997
Terrell Brandon,78,2868,575,1313,101,268,297,301,490,138,30,178,1519,1997
Frank Brickowski,17,255,32,73,7,10,14,34,15,5,4,19,81,1997
Scott Brooks,38,251,19,39,5,14,15,18,29,21,0,17,57,1997
Chucky Brown,70,757,78,154,1,47,70,148,28,9,22,19,204,1997
Dee Brown,21,522,61,166,20,18,22,48,67,31,7,24,160,1997
Marcus Brown,21,184,28,70,13,13,19,15,20,8,2,13,82,1997
Mike Brown,6,83,5,12,0,6,10,25,5,1,1,2,16,1997
P.J. Brown,80,2592,300,656,0,161,220,670,92,85,98,113,761,1997
