name,games,minutes,fg,fga,3p,ft,fta,reb,ast,stl,blk,to,pts,year
Tariq Abdul-Wahad,24,441,55,147,1,24,33,84,24,20,10,27,135,2002
Shareef Abdur-Rahim,77,2980,598,1297,21,419,523,696,239,98,81,250,1636,2002
Courtney Alexander,56,1325,223,474,5,98,121,148,86,35,7,60,549,2002
Victor Alexander,15,97,18,51,0,4,8,29,6,0,1,5,40,2002
Malik Allen,12,161,22,51,0,8,10,38,5,3,8,2,52,2002
Ray Allen*,69,2525,530,1148,229,214,245,312,271,88,18,159,1503,2002
Rafer Alston,50,600,66,191,27,18,29,72,143,32,2,40,177,2002
John Amaechi,54,586,54,166,0,67,105,109,29,7,10,55,175,2002
Chris Andersen,24,262,25,74,0,22,28,76,7,7,28,13,72,2002
Derek Anderson,70,1860,247,612,85,178,208,189,216,68,8,87,757,2002
Kenny Anderson,76,2430,312,716,9,98,132,275,403,141,10,119,731,2002
Nick Anderson,15,219,21,76,13,5,9,33,14,6,6,14,60,2002
Shandon Anderson,82,1596,149,373,39,74,107,249,76,48,15,97,411,2002
Greg Anthony,60,1514,183,475,48,60,91,132,282,77,5,94,474,2002
Gilbert Arenas,47,1155,174,384,39,124,160,132,174,69,11,97,511,2002
Brandon Armstrong,35,196,27,85,5,5,10,16,8,7,1,8,64,2002
Darrell Armstrong,82,2730,347,828,139,182,205,319,453,157,10,175,1015,2002
Carlos Arroyo,37,371,49,111,0,13,18,40,70,11,1,23,111,2002
Chucky Atkins,79,2285,368,790,138,83,120,158,263,72,11,128,957,2002
Stacey Augmon,77,1319,140,328,0,77,101,225,103,56,12,54,357,2002
Isaac Austin,21,307,36,92,0,4,4,71,13,9,5,11,76,2002
William Avery,28,258,26,90,6,13,19,24,36,7,0,19,71,2002
Dalibor Bagarić,50,638,72,178,0,41,70,162,23,17,24,46,185,2002
Vin Baker,55,1710,315,649,1,143,226,350,72,22,36,127,774,2002
Erick Barkley,19,228,24,68,1,9,10,18,34,17,1,12,58,2002
Dana Barros,29,582,74,192,24,21,27,57,78,14,2,33,193,2002
Brent Barry,81,3040,401,790,164,198,234,441,426,147,37,165,1164,2002
Jon Barry,82,1985,255,522,121,108,116,234,274,94,20,111,739,2002
