name,games,minutes,fg,fga,3p,ft,fta,reb,ast,stl,blk,to,pts,year
Quincy Acy,68,1287,152,331,18,76,97,301,68,27,22,60,398,2015
Jordan Adams,30,248,35,86,10,14,23,28,16,16,7,14,94,2015
Steven Adams,70,1771,217,399,0,103,205,523,66,38,86,99,537,2015
Jeff Adrien,17,215,19,44,0,22,38,77,15,4,9,9,60,2015
Arron Afflalo,78,2502,375,884,118,167,198,247,129,41,7,116,1035,2015
Alexis Ajinça,68,957,181,329,0,81,99,315,47,21,51,69,443,2015
Furkan Aldemir,41,540,40,78,0,13,27,176,28,17,16,17,93,2015
Cole Aldrich,61,976,144,301,0,50,64,338,75,37,65,59,338,2015
LaMarcus Aldridge,71,2512,659,1415,37,306,362,726,124,48,68,122,1661,2015
Lavoy Allen,63,1070,141,299,0,33,47,323,73,15,42,40,315,2015
Tony Allen,63,1648,225,455,10,79,126,280,86,129,30,86,539,2015
Al-Farouq Aminu,74,1366,147,357,34,84,118,342,59,70,62,55,412,2015
Lou Amundson,53,937,109,255,0,41,87,268,70,22,52,62,259,2015
Chris Andersen,60,1132,120,207,4,76,114,299,43,26,61,40,320,2015
Alan Anderson,74,1744,195,440,73,82,101,204,83,56,5,60,545,2015
Kyle Anderson,33,358,31,89,3,9,14,72,28,15,7,10,74,2015
Ryan Anderson,61,1675,291,729,122,129,151,295,55,33,20,62,833,2015
Giannis Antetokounmpo,81,2541,383,780,7,257,347,542,207,73,85,173,1030,2015
Carmelo Anthony,40,1428,358,806,61,189,237,264,122,40,17,89,966,2015
Joel Anthony,49,406,36,62,0,15,22,93,5,12,49,12,87,2015
Pero Antić,63,1037,108,296,52,88,123,189,49,18,14,49,356,2015
Trevor Ariza,82,2930,366,910,194,122,143,459,209,152,17,141,1048,2015
Darrell Arthur,58,988,155,384,26,46,59,171,57,48,26,47,382,2015
Ömer Aşık,76,1982,213,412,0,131,225,748,72,29,54,95,557,2015
D.J. Augustin,82,1964,258,647,83,178,205,161,353,49,3,145,777,2015
Jeff Ayres,51,383,55,95,0,27,36,117,14,8,8,26,137,2015
Luke Babbitt,63,830,92,192,59,13,19,111,24,17,11,26,256,2015
Cameron Bairstow,18,64,3,14,0,4,5,8,1,2,1,3,10,2015
Leandro Barbosa,66,982,183,386,43,58,74,91,99,41,8,44,467,2015
J.J. Barea,77,1362,225,536,54,76,94,134,263,33,1,70,580,2015
Andrea Bargnani,29,785,164,361,15,87,107,127,46,2,27,42,430,2015
Harrison Barnes,82,2318,316,656,87,108,150,453,116,61,19,71,827,2015
Matt Barnes,76,2271,277,624,136,74,95,302,114,67,50,87,764,2015
Earl Barron,16,143,12,39,2,6,12,28,5,4,2,5,32,2015
Will Barton,58,983,150,353,23,74,94,162,81,48,19,61,397,2015
Brandon Bass,82,1929,344,683,9,169,214,398,104,41,32,83,866,2015
Nicolas Batum,71,2380,240,600,100,84,98,416,341,78,40,132,664,2015
Jerryd Bayless,77,1717,220,516,37,121,137,211,233,59,12,133,598,2015
Aron Baynes,70,1122,185,327,1,90,104,318,35,16,22,65,461,2015
Kent Bazemore,75,1324,141,331,48,60,100,222,78,52,33,73,390,2015
Bradley Beal,63,2107,363,851,106,130,166,241,194,76,18,123,962,2015
Michael Beasley,24,505,92,212,8,20,26,89,32,15,13,37,212,2015
Marco Belinelli,62,1388,199,470,86,84,99,157,94,31,3,61,568,2015
Anthony Bennett,57,894,125,297,7,41,64,216,48,27,16,36,298,2015
Patrick Beverley,56,1727,204,532,115,45,60,237,192,59,23,83,568,2015
Sim Bhullar,3,3,1,2,0,0,0,1,1,0,1,0,2,2015
Bismack Biyombo,64,1243,101,186,0,102,175,407,16,18,99,52,304,2015
Tarik Black,63,1196,157,273,0,65,118,368,42,19,24,48,379,2015
DeJuan Blair,29,180,26,57,0,4,6,56,3,7,1,13,56,2015
Steve Blake,81,1529,122,327,77,29,41,137,288,41,5,104,350,2015
Eric Bledsoe,81,2800,468,1046,88,353,441,423,493,127,45,274,1377,2015
Vander Blue,2,74,9,30,2,2,5,9,8,3,0,6,22,2015
Bojan Bogdanović,78,1854,261,576,91,87,106,213,68,34,9,78,700,2015
Andrew Bogut,67,1583,200,355,0,22,42,543,180,39,113,106,422,2015
Matt Bonner,72,935,94,230,46,30,37,115,47,10,12,11,264,2015
Trevor Booker,79,1564,226,464,29,86,148,397,83,43,41,88,567,2015
Carlos Boozer,71,1692,371,743,0,94,150,482,95,41,12,92,836,2015
Chris Bosh,44,1556,343,745,63,179,232,310,95,41,25,95,928,2015
Avery Bradley,77,2428,434,1012,124,79,100,241,135,82,15,109,1071,2015
Elton Brand,36,486,42,95,0,12,23,100,22,17,25,18,96,2015
Corey Brewer,80,2087,343,805,63,168,226,297,173,114,19,131,917,2015
Aaron Brooks,82,1885,344,817,121,145,174,166,261,54,15,157,954,2015
Jabari Brown,19,568,70,170,23,64,85,36,40,12,2,32,227,2015
Lorenzo Brown,29,549,52,122,6,12,19,70,90,28,6,30,122,2015
Markel Brown,47,781,76,210,17,47,57,107,39,31,12,27,216,2015
Shannon Brown,5,89,7,19,3,3,4,1,3,4,0,4,20,2015
Kobe Bryant*,35,1207,266,713,54,196,241,199,197,47,7,128,782,2015
Chase Budinger,67,1286,169,390,52,67,81,198,64,44,10,49,457,2015
Reggie Bullock,36,338,24,70,15,6,9,50,8,10,4,8,69,2015
Trey Burke,76,2288,370,1005,124,109,145,204,328,65,15,124,973,2015
Alec Burks,27,899,121,300,26,106,129,114,82,17,5,52,374,2015
Caron Butler,78,1623,161,396,83,55,61,196,79,43,4,49,460,2015
Jimmy Butler,65,2513,421,912,73,386,463,379,212,114,36,93,1301,2015
Rasual Butler,75,1505,218,517,91,53,67,197,63,29,22,48,580,2015
Dwight Buycks,6,123,18,40,7,9,10,12,14,3,0,12,52,2015
Will Bynum,7,67,10,31,0,2,4,6,18,1,1,8,22,2015
Bruno Caboclo,8,23,4,12,2,0,0,2,0,0,1,4,10,2015
Nick Calathes,58,838,104,247,11,24,45,106,146,63,5,61,243,2015
José Calderón,42,1270,147,354,59,29,32,124,198,31,0,75,382,2015
Kentavious Caldwell-Pope,82,2587,390,972,153,110,158,255,109,93,18,94,1043,2015
Isaiah Canaan,47,938,146,378,91,49,60,87,98,29,3,62,432,2015
Clint Capela,12,90,14,29,0,4,23,36,2,1,9,5,32,2015
DeMarre Carroll,70,2189,318,653,120,127,181,372,118,94,17,75,883,2015
