name,games,minutes,fg,fga,3p,ft,fta,reb,ast,stl,blk,to,pts,year
Alaa Abdelnaby,13,159,24,55,0,16,25,46,3,2,3,17,64,1994
Mahmoud Abdul-Rauf,80,2617,588,1279,42,219,229,168,362,82,10,151,1437,1994
Michael Adams,70,2337,285,698,55,224,270,183,480,96,6,167,849,1994
Mark Aguirre,39,859,163,348,37,50,72,116,104,21,8,70,413,1994
Danny Ainge,68,1555,224,537,80,78,94,131,180,57,8,81,606,1994
Gary Alexander,11,55,8,14,0,3,9,15,2,3,0,8,19,1994
Victor Alexander,69,1318,266,502,2,68,129,308,66,28,32,86,602,1994
Eric Anderson,11,39,7,17,2,5,14,17,2,0,1,2,21,1994
Greg Anderson,77,1624,201,370,1,88,154,571,51,55,68,94,491,1994
Kenny Anderson,82,3135,576,1381,40,346,423,322,784,158,15,266,1538,1994
Nick Anderson,81,2811,504,1054,101,168,250,476,294,134,33,165,1277,1994
Ron Anderson,21,356,35,86,7,19,23,53,17,8,3,10,96,1994
Willie Anderson,80,2488,394,837,22,145,171,242,347,71,46,153,955,1994
Greg Anthony,80,1994,225,571,48,130,168,189,365,114,13,127,628,1994
B.J. Armstrong,82,2770,479,1007,60,194,227,170,323,80,9,131,1212,1994
Vincent Askew,80,1690,273,567,6,175,211,184,194,73,19,70,727,1994
Keith Askins,37,319,36,88,4,9,10,82,13,11,1,21,85,1994
Stacey Augmon,82,2605,439,861,1,333,436,394,187,149,45,147,1212,1994
Isaac Austin,14,201,29,66,0,14,23,69,17,5,10,17,72,1994
Anthony Avent,74,1371,150,398,0,89,123,338,65,33,31,85,389,1994
John Bagley,3,13,0,2,0,2,2,1,3,0,0,0,2,1994
Thurl Bailey,79,1297,232,455,0,119,149,215,54,20,58,58,583,1994
Vin Baker,82,2560,435,869,1,234,411,621,163,60,114,162,1105,1994
Charles Barkley*,65,2298,518,1046,48,318,452,727,296,101,37,206,1402,1994
Dana Barros,81,2519,412,878,135,116,145,196,424,107,5,167,1075,1994
Jon Barry,72,1242,158,382,32,97,122,146,168,102,17,83,445,1994
John Battle,51,814,130,273,5,73,97,39,83,22,1,41,338,1994
Benoit Benjamin,77,1817,283,589,0,152,214,499,44,35,90,97,718,1994
Tony Bennett,74,983,105,263,27,11,15,90,163,39,1,40,248,1994
David Benoit,55,1070,139,361,12,68,88,260,23,23,37,37,358,1994
Rolando Blackman,55,969,161,369,30,48,53,93,76,25,6,44,400,1994
Mookie Blaylock,81,2915,444,1079,114,116,159,424,789,212,44,196,1118,1994
Corie Blount,67,690,76,174,0,46,75,194,56,19,33,52,198,1994
Muggsy Bogues,77,2746,354,751,2,125,155,313,780,133,2,171,835,1994
Manute Bol,14,116,4,19,0,0,0,18,1,2,16,5,8,1994
Walter Bond,56,559,63,156,19,31,40,61,31,16,12,17,176,1994
Anthony Bonner,73,1402,162,288,0,50,105,344,88,76,13,89,374,1994
