name,games,minutes,fg,fga,3p,ft,fta,reb,ast,stl,blk,to,pts,year
Arron Afflalo,82,2221,272,585,108,72,98,252,138,46,30,74,724,2010
Alexis Ajinça,6,30,5,10,0,0,1,4,0,1,1,2,10,2010
LaMarcus Aldridge,78,2922,579,1169,5,230,304,627,160,67,48,104,1393,2010
Joe Alexander,8,29,1,6,0,2,3,5,2,1,1,0,4,2010
Malik Allen,51,456,46,116,1,12,13,82,16,11,5,22,105,2010
Ray Allen*,80,2819,464,973,145,231,253,253,210,64,25,129,1304,2010
Tony Allen,54,889,129,253,0,72,119,145,72,59,19,66,330,2010
Rafer Alston,52,1421,155,446,58,59,81,129,176,50,10,95,427,2010
Lou Amundson,79,1168,152,276,0,67,123,346,31,24,73,57,371,2010
Chris Andersen,76,1695,142,251,0,164,236,483,33,42,143,59,448,2010
David Andersen,63,891,147,340,27,46,67,208,44,15,12,37,367,2010
Antonio Anderson,1,15,1,3,0,0,0,1,0,0,0,1,2,2010
Ryan Anderson,63,911,169,388,78,71,82,202,37,25,14,56,487,2010
Carmelo Anthony,69,2634,688,1502,59,508,612,454,222,88,30,209,1943,2010
Joel Anthony,80,1322,76,159,0,66,92,249,12,20,109,45,218,2010
Gilbert Arenas,32,1169,253,616,63,153,207,133,230,41,9,117,722,2010
Trevor Ariza,72,2629,394,999,136,148,228,403,276,126,40,161,1072,2010
Hilton Armstrong,33,335,28,79,0,15,32,81,21,15,12,22,71,2010
Carlos Arroyo,72,1585,178,375,7,76,90,130,225,36,6,54,439,2010
Darrell Arthur,32,457,63,146,0,17,30,110,15,14,14,22,143,2010
Chucky Atkins,40,644,57,157,22,25,27,29,91,17,0,32,161,2010
D.J. Augustin,80,1472,168,435,70,102,131,97,193,45,5,74,508,2010
Jeff Ayres,39,405,43,65,0,18,20,98,1,7,16,12,104,2010
Kelenna Azubuike,9,231,48,88,10,19,28,41,10,5,9,7,125,2010
Renaldo Balkman,13,91,6,18,0,2,6,23,7,8,2,6,14,2010
Marcus Banks,22,244,39,73,7,24,29,23,26,12,2,20,109,2010
Leandro Barbosa,44,786,155,365,44,64,73,69,64,23,12,46,418,2010
J.J. Barea,78,1546,232,527,56,76,90,146,258,35,6,102,596,2010
Andrea Bargnani,80,2799,537,1143,121,181,234,493,93,25,111,120,1376,2010
Matt Barnes,81,2097,271,557,66,108,146,445,134,59,30,112,716,2010
