name,games,minutes,fg,fga,3p,ft,fta,reb,ast,stl,blk,to,pts,year
Mahmoud Abdul-Rauf,31,530,103,273,5,16,16,37,58,16,1,19,227,1998
Tariq Abdul-Wahad,59,959,144,357,4,84,125,116,51,35,13,65,376,1998
Shareef Abdur-Rahim,82,2950,653,1347,21,502,640,581,213,89,76,257,1829,1998
Cory Alexander,60,1298,171,400,66,80,102,146,209,70,11,112,488,1998
Ray Allen*,82,3287,563,1315,134,342,391,405,356,111,12,263,1602,1998
Derek Anderson,66,1839,239,586,17,275,315,187,227,86,13,128,770,1998
Greg Anderson,50,398,36,81,0,16,41,118,15,19,10,17,88,1998
Kenny Anderson,61,1858,268,674,57,153,194,173,345,87,1,143,746,1998
Nick Anderson,58,1701,343,754,77,127,199,297,119,72,23,85,890,1998
Shandon Anderson,82,1602,269,500,7,136,185,227,89,66,18,91,681,1998
Chris Anstey,41,680,92,231,3,53,74,157,35,31,27,41,240,1998
Greg Anthony,80,1021,150,349,66,53,80,111,205,64,3,91,419,1998
B.J. Armstrong,66,831,105,213,9,42,50,76,150,29,0,42,261,1998
Darrell Armstrong,48,1236,156,380,25,105,123,159,236,58,5,112,442,1998
Vincent Askew,30,443,19,54,0,28,39,68,38,19,5,35,66,1998
Keith Askins,46,681,39,122,21,12,19,101,29,27,12,26,111,1998
Stacey Augmon,71,1445,154,372,1,94,156,235,88,57,32,81,403,1998
Isaac Austin,78,2266,406,871,0,243,363,557,175,61,56,206,1055,1998
Vin Baker,82,2944,631,1164,1,311,526,656,152,91,86,174,1574,1998
Charles Barkley*,68,2243,361,744,18,296,397,794,217,71,28,147,1036,1998
Dana Barros,80,1686,281,609,100,122,144,153,286,83,6,107,784,1998
Brent Barry,58,1600,213,506,90,115,134,171,153,64,27,104,631,1998
Drew Barry,27,256,18,38,9,11,13,35,49,10,1,30,56,1998
Jon Barry,49,374,38,104,18,27,29,37,51,24,3,22,121,1998
Tony Battie,65,1506,234,525,3,73,104,351,60,54,69,98,544,1998
Corey Beck,59,738,73,159,2,43,59,90,98,33,7,70,191,1998
Benoit Benjamin,14,197,22,41,0,19,30,53,3,4,4,12,63,1998
Mario Bennett,45,354,80,135,1,16,44,126,18,19,11,21,177,1998
David Benoit,77,1123,152,408,55,61,74,203,25,35,20,52,420,1998
Travis Best,82,1547,201,480,21,112,131,122,281,85,5,111,535,1998
Chauncey Billups,80,2216,280,749,107,226,266,190,314,107,4,174,893,1998
Mookie Blaylock,70,2700,368,938,90,95,134,341,469,183,21,176,921,1998
Corie Blount,70,1029,107,187,0,39,78,298,37,29,25,51,253,1998
Muggsy Bogues,61,1570,141,323,4,61,68,132,331,67,3,105,347,1998
Etdrick Bohannon,5,11,0,4,0,0,0,6,1,0,2,3,0,1998
Keith Booth,6,17,2,6,0,6,6,4,1,0,0,3,10,1998
Bruce Bowen,61,1305,122,298,20,76,122,174,81,87,29,52,340,1998
Anthony Bowie,27,224,32,59,3,8,9,26,11,6,2,7,75,1998
Shawn Bradley,64,1822,300,711,1,130,180,518,60,51,214,96,731,1998
