name,games,minutes,fg,fga,3p,ft,fta,reb,ast,stl,blk,to,pts,year
Jeff Adrien,8,63,7,16,0,7,12,22,1,0,2,2,21,2012
Arron Afflalo,62,2086,329,699,88,197,247,197,149,36,13,85,943,2012
Blake Ahearn,4,30,4,14,2,0,0,2,1,0,0,5,10,2012
Solomon Alabi,14,122,13,36,0,7,8,47,3,2,9,5,33,2012
Cole Aldrich,26,173,22,42,0,13,14,48,3,8,16,9,57,2012
LaMarcus Aldridge,55,1994,483,943,2,223,274,442,134,51,45,111,1191,2012
Lavoy Allen,41,624,79,167,0,11,14,171,34,13,18,20,169,2012
Ray Allen*,46,1565,226,493,106,97,106,142,109,49,8,68,655,2012
Tony Allen,58,1525,210,448,8,140,175,233,79,104,33,94,568,2012
Morris Almond,4,67,6,17,1,1,3,8,2,7,0,1,14,2012
Al-Farouq Aminu,66,1477,150,365,13,86,114,308,66,59,34,91,399,2012
Lou Amundson,60,753,89,207,0,35,82,222,14,27,44,45,213,2012
Chris Andersen,32,486,59,108,0,50,82,148,6,19,46,17,168,2012
Alan Anderson,17,461,55,142,24,29,34,34,26,5,3,25,163,2012
James Anderson,51,603,66,174,19,39,52,79,41,8,2,30,190,2012
Ryan Anderson,61,1964,332,757,166,150,171,471,54,50,26,57,980,2012
Carmelo Anthony,55,1876,441,1025,68,295,367,344,200,62,24,144,1245,2012
Joel Anthony,64,1349,85,152,0,49,71,250,9,36,84,45,219,2012
Gilbert Arenas,17,211,26,64,13,7,10,18,18,11,1,12,72,2012
Trevor Ariza,41,1350,168,403,29,79,102,215,135,69,25,76,444,2012
Ömer Aşık,66,971,79,156,0,47,103,350,32,30,68,68,205,2012
D.J. Augustin,48,1408,183,487,61,105,120,109,307,36,1,110,532,2012
Gustavo Ayón,54,1088,140,261,0,39,63,265,74,53,46,46,319,2012
Jeff Ayres,20,106,15,36,0,4,7,33,4,3,2,2,34,2012
Kelenna Azubuike,3,18,3,8,1,0,0,0,0,1,0,4,7,2012
Luke Babbitt,40,537,71,173,43,17,20,95,16,10,4,27,202,2012
Renaldo Balkman,14,115,16,32,2,8,11,26,5,4,3,6,42,2012
Leandro Barbosa,64,1382,271,637,65,101,124,128,96,56,7,94,708,2012
J.J. Barea,41,1032,167,418,53,76,98,114,232,21,0,103,463,2012
Andrea Bargnani,31,1032,209,484,34,151,173,172,61,18,15,69,603,2012
Matt Barnes,63,1440,175,387,46,95,128,344,126,35,48,73,491,2012
Earl Barron,2,9,2,4,0,0,0,1,0,0,0,0,4,2012
Brandon Bass,59,1868,303,632,0,132,163,365,55,34,54,65,738,2012
Tony Battie,27,295,19,51,0,4,4,67,16,4,6,4,42,2012
