name,games,minutes,fg,fga,3p,ft,fta,reb,ast,stl,blk,to,pts,year
Reggie Lewis,79,2878,598,1219,1,281,340,410,201,98,85,147,1478,1991
Marcus Liberty,76,1171,216,513,17,58,92,221,64,48,19,71,507,1991
Todd Lichti,29,860,166,378,14,59,69,112,72,46,8,33,405,1991
Alton Lister,77,1552,188,393,0,115,202,483,93,20,90,106,491,1991
Ian Lockhart,1,2,1,1,0,2,2,0,0,0,0,0,4,1991
Brad Lohaus,81,1219,179,415,33,37,54,217,75,50,74,60,428,1991
Grant Long,80,2514,276,561,1,181,230,568,176,119,43,156,734,1991
John Long,25,256,35,85,2,24,25,32,18,9,2,14,96,1991
Rick Mahorn,80,2439,261,559,0,189,240,621,118,79,56,127,711,1991
Dan Majerle,77,2281,397,821,30,227,298,418,216,106,40,114,1051,1991
Jeff Malone,69,2466,525,1034,1,231,252,206,143,50,6,108,1282,1991
Karl Malone*,82,3302,847,1608,4,684,888,967,270,89,79,244,2382,1991
Moses Malone*,82,1912,280,598,0,309,372,667,68,30,74,137,869,1991
Danny Manning,73,2197,470,905,0,219,306,426,196,117,62,188,1159,1991
Šarūnas Marčiulionis*,50,987,183,365,1,178,246,118,85,62,4,75,545,1991
Jeff Martin,74,1334,214,507,27,68,100,131,65,37,31,49,523,1991
Anthony Mason,3,21,2,4,0,6,8,5,0,1,0,0,10,1991
Tony Massenburg,35,161,27,60,0,28,45,58,4,4,9,13,82,1991
Vernon Maxwell,82,2870,504,1247,172,217,296,238,303,127,15,171,1397,1991
Travis Mays,64,2145,294,724,72,255,331,178,253,81,11,159,915,1991
George McCloud,74,1070,131,351,43,38,49,118,150,40,11,91,343,1991
Tim McCormick,56,689,93,187,0,66,90,165,32,11,14,45,252,1991
Rodney McCray,74,2561,336,679,13,159,198,560,259,70,51,129,844,1991
Xavier McDaniel,81,2634,590,1186,0,193,267,557,187,76,46,184,1373,1991
Kevin McHale*,68,2067,504,912,15,228,275,480,126,25,146,140,1251,1991
Derrick McKey,73,2503,438,847,4,235,278,423,169,91,56,158,1115,1991
Nate McMillan,78,1434,132,305,17,57,93,251,371,104,20,122,338,1991
Mark McNamara,2,13,0,1,0,0,0,4,0,0,0,0,0,1991
Scott Meents,13,53,7,28,1,2,4,10,8,7,4,6,17,1991
Reggie Miller*,82,2972,596,1164,112,551,600,281,331,109,13,163,1855,1991
Terry Mills,55,819,134,288,0,47,66,229,33,35,29,43,315,1991
Sam Mitchell,82,3121,445,1010,0,307,396,520,133,66,57,104,1197,1991
Paul Mokeski,36,257,21,59,3,12,15,67,9,8,3,7,57,1991
Sidney Moncrief*,72,1096,117,240,21,82,105,128,104,50,9,66,337,1991
Chris Morris,79,2553,409,962,45,179,244,521,220,138,96,167,1042,1991
John Morton,66,1207,120,274,4,113,139,103,243,61,18,107,357,1991
Chris Mullin*,82,3315,777,1449,40,513,580,443,329,173,63,245,2107,1991
Chris Munk,11,29,3,7,0,7,12,14,1,1,2,5,13,1991
Tod Murphy,52,1063,90,227,1,70,105,255,60,25,20,32,251,1991
Jerrod Mustaf,62,825,106,228,0,56,87,169,36,15,14,61,268,1991
Pete Myers,8,103,10,23,0,9,11,18,14,3,3,14,29,1991
Larry Nance,80,2927,635,1211,2,265,330,686,237,66,200,131,1537,1991
Craig Neal,10,125,14,35,3,13,22,16,37,4,0,19,44,1991
