name,games,minutes,fg,fga,3p,ft,fta,reb,ast,stl,blk,to,pts,year
Alaa Abdelnaby,75,1311,245,473,0,88,116,337,27,25,26,97,578,1993
Mahmoud Abdul-Rauf,81,2710,633,1407,70,217,232,225,344,84,8,187,1553,1993
Mark Acres,18,269,26,49,1,11,16,67,5,3,6,13,64,1993
Michael Adams,70,2499,365,831,68,237,277,240,526,100,4,175,1035,1993
Rafael Addison,68,1164,182,411,7,57,70,132,53,23,11,64,428,1993
Mark Aguirre,51,1056,187,422,30,99,129,152,105,16,7,68,503,1993
Danny Ainge,80,2163,337,730,150,123,145,214,260,69,8,113,947,1993
Victor Alexander,72,1753,344,667,10,111,162,420,93,34,53,120,809,1993
Eric Anderson,16,44,5,18,0,11,13,14,3,3,1,5,21,1993
Kenny Anderson,55,2010,370,850,7,180,232,226,449,96,11,153,927,1993
Nick Anderson,79,2920,594,1324,88,298,402,477,265,128,56,164,1574,1993
Ron Anderson,69,1263,225,544,39,72,89,184,93,31,5,63,561,1993
Willie Anderson,38,560,80,186,1,22,28,57,79,14,6,44,183,1993
Greg Anthony,70,1699,174,419,4,107,159,170,398,113,12,104,459,1993
B.J. Armstrong,82,2492,408,818,63,130,151,149,330,66,6,83,1009,1993
Vincent Askew,73,1129,152,309,2,105,149,161,122,40,19,69,411,1993
Keith Askins,69,935,88,213,22,29,40,198,31,31,29,37,227,1993
Stacey Augmon,73,2112,397,792,0,227,307,287,170,91,18,157,1021,1993
Isaac Austin,46,306,50,112,0,29,44,79,6,8,14,23,129,1993
Anthony Avent,82,2285,347,802,0,112,172,512,91,57,73,140,806,1993
John Bagley,10,97,9,25,0,5,6,7,20,2,0,17,23,1993
Thurl Bailey,70,1276,203,446,0,119,142,215,61,20,47,60,525,1993
Steve Bardo,23,175,19,62,1,12,17,37,29,8,3,17,51,1993
Charles Barkley*,76,2859,716,1376,67,445,582,928,385,119,74,233,1944,1993
Dana Barros,69,1243,214,474,64,49,59,107,151,63,3,58,541,1993
Jon Barry,47,552,76,206,21,33,49,43,68,35,3,42,206,1993
John Battle,41,497,83,200,1,56,72,29,54,9,5,22,223,1993
