name,games,minutes,fg,fga,3p,ft,fta,reb,ast,stl,blk,to,pts,year
Tariq Abdul-Wahad,14,204,27,58,0,3,6,40,21,6,3,7,57,2003
Shareef Abdur-Rahim,81,3087,566,1183,21,455,541,677,242,87,38,212,1608,2003
Courtney Alexander,66,1360,193,505,19,118,146,118,79,31,6,68,523,2003
Malik Allen,80,2318,335,790,0,97,121,425,54,37,78,128,767,2003
Ray Allen*,76,2880,598,1363,201,316,345,381,334,103,14,198,1713,2003
Rafer Alston,47,980,139,335,51,37,54,107,192,38,15,86,366,2003
John Amaechi,50,474,37,118,0,25,52,77,21,14,7,34,99,2003
Chris Andersen,59,907,114,285,0,77,140,274,32,30,60,60,305,2003
Derek Anderson,76,2556,355,832,116,231,269,264,325,90,16,128,1057,2003
Kenny Anderson,61,1135,163,382,1,45,57,132,198,58,5,75,372,2003
Shandon Anderson,82,1731,248,537,52,139,190,254,87,73,20,114,687,2003
Robert Archibald,12,72,6,20,0,7,18,17,3,0,3,7,19,2003
Gilbert Arenas,82,2866,509,1180,109,370,468,386,514,124,17,290,1497,2003
Brandon Armstrong,17,69,9,27,1,5,6,4,2,3,1,5,24,2003
Darrell Armstrong,82,2350,263,643,78,165,188,295,323,135,13,160,769,2003
Carlos Arroyo,44,287,50,109,3,18,22,26,53,12,1,30,121,2003
Chucky Atkins,65,1398,168,465,86,40,49,96,175,27,4,77,462,2003
Stacey Augmon,70,862,79,192,0,54,72,119,69,27,9,40,212,2003
Dalibor Bagarić,10,76,8,26,0,3,4,20,4,3,3,5,19,2003
Vin Baker,52,942,99,207,0,72,107,198,29,22,30,61,270,2003
Brent Barry,75,2480,264,577,118,128,161,301,384,113,15,142,774,2003
Jon Barry,80,1473,191,424,87,86,100,180,206,63,14,81,555,2003
Maceo Baston,16,106,15,25,0,10,12,23,0,4,11,6,40,2003
Mengke Bateer,12,46,4,17,1,0,2,10,4,0,0,6,9,2003
Mike Batiste,75,1248,197,467,18,69,88,257,52,42,16,69,481,2003
Tony Battie,67,1683,199,369,1,88,118,433,49,33,81,48,487,2003
Shane Battier,78,2383,275,569,86,120,145,345,105,102,88,68,756,2003
Lonny Baxter,55,682,96,206,0,70,103,165,16,9,22,46,262,2003
Raja Bell,75,1173,93,211,21,23,34,145,57,52,8,43,230,2003
Jonathan Bender,46,819,112,254,19,60,84,133,42,8,56,42,303,2003
Corey Benjamin,9,152,13,43,2,12,16,31,10,1,2,6,40,2003
Travis Best,72,1807,231,583,36,105,123,147,255,44,7,106,603,2003
Mike Bibby,55,1835,329,700,56,161,187,147,285,72,8,127,875,2003
Chauncey Billups,74,2327,366,870,149,318,362,273,287,63,15,134,1199,2003
Corie Blount,50,836,65,134,0,20,35,205,50,33,19,43,150,2003
Mark Blount,81,1403,150,347,0,101,139,308,56,42,68,103,401,2003
Calvin Booth,47,575,52,119,0,34,47,109,12,11,33,22,138,2003
Carlos Boozer,81,2049,331,618,0,148,192,609,106,59,50,103,810,2003
Ruben Boumtje-Boumtje,2,5,0,1,0,0,0,1,1,1,0,0,0,2003
Bruce Bowen,82,2566,223,479,101,36,89,239,113,66,42,72,583,2003
Ryan Bowen,62,996,97,197,2,27,41,157,54,65,29,43,223,2003
Earl Boykins,68,1321,199,464,29,173,200,88,221,38,4,73,600,2003
Michael Bradley,67,1314,151,314,1,35,67,409,67,16,32,76,338,2003
Shawn Bradley,81,1731,201,375,0,141,175,476,54,65,170,67,543,2003
Elton Brand,62,2454,451,899,0,244,356,703,157,71,158,161,1146,2003
J.R. Bremer,64,1503,171,464,101,85,111,145,164,38,3,59,528,2003
Jamison Brewer,10,80,9,17,0,4,9,9,18,2,1,6,22,2003
Primož Brezec,22,111,15,38,0,12,20,23,4,2,4,7,42,2003
Damone Brown,5,115,11,35,0,6,8,15,3,1,0,6,28,2003
Devin Brown,10,93,12,35,0,6,8,18,7,4,1,9,30,2003
Kedrick Brown,51,666,61,171,3,20,32,140,20,34,13,23,145,2003
Kwame Brown,80,1773,224,502,0,145,217,426,58,50,80,110,593,2003
P.J. Brown,78,2609,319,601,0,194,232,701,147,67,80,98,832,2003
Randy Brown,32,262,16,43,0,9,12,26,35,17,2,17,41,2003
Tierre Brown,15,168,27,59,0,11,14,30,39,13,0,22,65,2003
Rick Brunson,17,196,23,50,4,10,12,19,36,10,3,17,60,2003
Kobe Bryant*,82,3401,868,1924,124,601,713,564,481,181,67,288,2461,2003
Mark Bryant,16,100,5,19,0,3,4,20,4,1,1,7,13,2003
Greg Buckner,75,1514,185,398,15,65,81,216,96,72,16,62,450,2003
Pat Burke,62,783,113,296,1,40,58,146,23,19,25,47,267,2003
Caron Butler,78,2858,429,1032,34,309,375,397,213,137,31,192,1201,2003
Rasual Butler,72,1514,207,572,50,76,104,186,93,21,43,77,540,2003
Jason Caffey,51,894,113,248,0,69,106,176,38,19,15,56,295,2003
Marcus Camby,29,616,93,227,2,33,50,208,47,20,40,27,221,2003
Elden Campbell,56,869,117,295,0,109,136,181,51,33,39,50,343,2003
Brian Cardinal,5,15,1,4,0,2,2,5,1,0,0,1,4,2003
Anthony Carter,49,912,83,233,0,33,50,83,203,45,5,81,199,2003
Vince Carter,43,1471,355,760,45,129,160,188,143,48,41,74,884,2003
Sam Cassell,78,2700,546,1162,59,385,447,342,450,88,14,177,1536,2003
Kelvin Cato,73,1247,133,256,0,66,124,428,20,38,85,56,332,2003
Tyson Chandler,75,1827,257,484,0,177,291,514,76,37,106,135,691,2003
Calbert Cheaney,81,2351,325,651,10,40,69,284,163,65,13,108,700,2003
Chris Childs,12,106,6,20,1,2,3,5,16,8,1,6,15,2003
Doug Christie,80,2710,267,557,73,141,174,342,376,180,37,144,748,2003
Keon Clark,80,1780,226,451,0,84,128,451,80,38,150,94,536,2003
Speedy Claxton,30,471,67,145,0,39,57,56,75,22,7,35,173,2003
Mateen Cleaves,12,55,6,23,1,3,4,8,10,2,0,14,16,2003
Derrick Coleman,64,1742,223,498,22,134,171,450,87,53,69,96,602,2003
Bimbo Coles,35,691,56,168,7,35,42,59,72,17,4,28,154,2003
Jason Collier,13,104,17,36,0,2,2,29,1,2,1,2,36,2003
Jarron Collins,22,421,38,86,0,44,62,60,14,5,6,19,120,2003
Jason Collins,81,1900,140,338,0,180,236,368,87,47,44,85,460,2003
Chris Crawford,5,38,8,13,1,7,8,7,1,2,3,2,24,2003
Jamal Crawford,80,1992,334,808,86,104,129,185,334,77,25,134,858,2003
Austin Croshere,49,633,86,209,27,53,65,155,56,6,13,28,252,2003
John Crotty,12,180,14,41,4,9,15,15,29,3,0,9,41,2003
Eddy Curry,81,1571,335,573,0,179,287,353,37,18,62,137,849,2003
Michael Curry,78,1555,92,229,16,36,45,127,104,44,4,43,236,2003
Erick Dampier,82,1978,259,522,0,155,222,543,58,27,154,112,673,2003
Antonio Daniels,67,872,84,186,18,65,76,72,85,33,9,32,251,2003
Antonio Davis,53,1894,261,641,0,216,280,437,131,23,62,118,738,2003
Baron Davis,50,1889,332,798,99,93,131,186,320,91,22,140,856,2003
Dale Davis,78,2282,237,438,0,105,166,564,94,51,70,71,579,2003
Emanual Davis,24,340,32,88,7,17,22,43,36,12,2,25,88,2003
Hubert Davis,43,328,31,79,12,5,6,36,29,5,0,11,79,2003
Ricky Davis,79,3131,602,1470,74,348,465,390,436,125,36,277,1626,2003
Andrew DeClercq,77,1327,149,279,0,67,104,339,52,39,36,84,365,2003
Tony Delk,67,1873,233,560,120,68,87,232,146,72,10,69,654,2003
Dan Dickau,50,515,70,170,22,21,26,43,85,14,2,53,183,2003
Michael Dickerson,6,87,10,24,4,5,5,6,8,5,1,6,29,2003
DeSagana Diop,80,943,54,154,0,11,30,215,43,33,81,56,119,2003
Vlade Divac*,80,2384,305,655,6,179,251,574,274,83,105,152,795,2003
Juan Dixon,42,647,104,271,25,37,46,72,40,26,3,42,270,2003
Michael Doleac,75,1041,146,343,0,36,46,219,42,16,16,49,328,2003
Keyon Dooling,55,969,128,329,50,44,57,72,89,24,6,60,350,2003
Bryce Drew,13,79,8,27,3,0,0,13,11,2,0,3,19,2003
Predrag Drobnjak,82,1984,325,789,30,91,115,320,86,48,38,65,771,2003
Chris Dudley,3,11,0,1,0,0,0,2,0,0,0,0,0,2003
Tim Duncan*,81,3181,714,1392,6,450,634,1043,316,55,237,248,1884,2003
Mike Dunleavy,82,1305,168,417,52,78,100,214,106,53,19,86,466,2003
Howard Eisley,82,2243,262,628,131,89,105,186,444,71,9,149,744,2003
LaPhonso Ellis,55,784,100,262,27,50,66,157,15,15,15,31,277,2003
Melvin Ely,52,802,92,186,0,52,74,174,15,10,32,50,236,2003
Evan Eschmeyer,17,135,7,19,0,3,4,29,6,10,7,6,17,2003
Reggie Evans,67,1365,66,140,0,80,154,445,34,38,11,52,212,2003
Danny Ferry,64,601,44,124,21,10,13,75,21,7,9,27,119,2003
Michael Finley,69,2642,507,1193,119,198,230,402,205,76,21,114,1331,2003
Derek Fisher,82,2829,339,775,85,100,125,239,298,93,15,94,863,2003
Marcus Fizer,38,809,178,383,1,88,134,216,48,14,17,57,445,2003
Alton Ford,11,31,3,9,0,1,3,6,1,0,0,2,7,2003
Joseph Forte,17,86,10,35,0,4,6,11,11,4,0,10,24,2003
Danny Fortson,17,223,20,54,0,19,29,73,12,9,0,15,59,2003
Greg Foster,29,539,47,122,1,26,32,102,13,1,9,30,121,2003
Jeff Foster,77,802,64,178,0,34,63,279,51,28,21,34,162,2003
Tremaine Fowlkes,37,573,56,128,2,50,59,103,23,25,2,20,164,2003
Rick Fox,76,2181,262,621,105,52,69,323,253,69,14,121,681,2003
Adonal Foyle,82,1787,185,345,0,70,104,490,37,40,205,73,440,2003
Steve Francis,81,3318,571,1312,85,476,595,499,502,141,41,299,1703,2003
Lawrence Funderburke,27,229,32,72,0,10,17,55,8,1,11,6,74,2003
Dan Gadzuric,49,760,70,145,0,29,56,197,9,22,52,27,169,2003
Kevin Garnett*,82,3321,743,1481,20,377,502,1102,495,113,129,229,1883,2003
Pat Garrity,81,2584,312,744,161,83,100,306,121,62,20,77,868,2003
Pau Gasol,82,2948,569,1116,1,416,565,720,229,34,148,213,1555,2003
Devean George,71,1613,180,461,49,83,105,286,92,56,38,65,492,2003
Kendall Gill,82,2068,286,677,19,123,161,248,156,78,15,108,714,2003
