name,games,minutes,fg,fga,3p,ft,fta,reb,ast,stl,blk,to,pts,year
Álex Abrines,75,1134,115,291,84,39,46,114,28,38,8,25,353,2018
Quincy Acy,70,1359,130,365,102,49,60,257,57,33,29,60,411,2018
Steven Adams,76,2487,448,712,0,160,286,685,88,92,78,128,1056,2018
Bam Adebayo,69,1368,174,340,0,129,179,381,101,32,41,66,477,2018
Arron Afflalo,53,682,65,162,27,22,26,66,30,4,9,21,179,2018
Cole Aldrich,21,49,5,15,0,2,6,15,3,2,1,1,12,2018
LaMarcus Aldridge,75,2509,687,1347,27,334,399,635,152,43,90,111,1735,2018
Jarrett Allen,72,1441,234,397,5,114,147,388,49,28,88,82,587,2018
Kadeem Allen,18,107,6,22,0,7,9,11,12,3,2,9,19,2018
Tony Allen,22,273,44,91,4,11,21,47,9,11,3,19,103,2018
Al-Farouq Aminu,69,2072,230,582,125,59,80,525,84,79,40,79,644,2018
Justin Anderson,38,519,87,202,34,28,38,93,25,15,7,16,236,2018
Kyle Anderson,74,1978,231,438,19,104,146,396,202,115,60,94,585,2018
Ryan Anderson,66,1725,207,480,131,72,93,331,60,24,21,42,617,2018
Ike Anigbogu,11,30,4,9,0,5,6,9,0,1,3,2,13,2018
Giannis Antetokounmpo,75,2756,742,1402,43,487,641,753,361,109,106,223,2014,2018
Carmelo Anthony,78,2501,472,1168,169,148,193,453,103,47,49,99,1261,2018
OG Anunoby,74,1481,163,346,73,39,62,184,55,52,14,45,438,2018
Ryan Arcidiacono,24,304,17,41,9,5,6,25,35,13,0,13,48,2018
Trevor Ariza,67,2269,268,651,170,76,89,294,105,98,13,52,782,2018
Darrell Arthur,19,141,22,47,8,2,3,15,9,8,3,15,54,2018
Jamel Artis,15,279,31,79,8,7,12,38,18,2,3,8,77,2018
Ömer Aşık,18,182,9,22,0,4,13,47,3,2,4,9,22,2018
D.J. Augustin,75,1760,244,540,114,164,189,160,287,54,0,123,766,2018
Luke Babbitt,50,715,91,215,60,17,22,96,31,8,7,19,259,2018
Dwayne Bacon,53,713,72,192,11,20,25,124,38,16,2,23,175,2018
Ron Baker,29,385,20,59,11,20,26,30,47,26,6,18,71,2018
Wade Baldwin,7,80,14,21,4,6,10,8,5,2,1,4,38,2018
Lonzo Ball,52,1780,203,564,90,32,71,360,376,88,43,136,528,2018
J.J. Barea,69,1603,303,690,115,80,102,201,434,35,3,143,801,2018
Harrison Barnes,77,2634,537,1208,119,259,313,468,152,49,14,118,1452,2018
Will Barton,81,2683,465,1028,156,182,226,409,331,82,52,149,1268,2018
Nicolas Batum,64,1981,270,650,92,108,130,306,349,65,23,131,740,2018
Jerryd Bayless,39,925,109,262,54,35,44,80,54,23,6,46,307,2018
Aron Baynes,81,1485,210,446,3,59,78,434,93,22,51,80,482,2018
Kent Bazemore,65,1789,284,676,108,160,201,248,228,100,45,157,836,2018
Bradley Beal,82,2977,683,1484,199,292,369,363,373,96,36,214,1857,2018
Malik Beasley,62,583,73,178,28,22,33,71,31,15,7,24,196,2018
Michael Beasley,74,1653,409,807,34,124,159,414,123,36,43,143,976,2018
Marco Belinelli,80,1947,337,764,149,148,163,151,148,66,12,94,971,2018
Jordan Bell,57,809,116,185,0,30,44,207,102,35,56,51,262,2018
DeAndre' Bembry,26,455,53,128,11,19,33,72,49,21,12,47,136,2018
Dragan Bender,82,2069,187,484,118,39,51,361,130,22,53,112,531,2018
Dāvis Bertāns,77,1086,161,366,94,40,49,153,74,26,28,36,456,2018
Patrick Beverley,11,334,48,119,24,14,17,45,32,19,5,25,134,2018
Khem Birch,42,578,68,126,0,42,61,180,34,15,21,21,178,2018
Jabari Bird,13,115,15,26,3,6,13,19,8,3,1,8,39,2018
Bismack Biyombo,82,1495,183,352,0,102,157,468,66,21,95,84,468,2018
Nemanja Bjelica,67,1371,171,371,76,36,45,274,86,50,16,52,454,2018
Tarik Black,51,536,75,127,1,29,63,163,13,21,30,35,180,2018
Antonio Blakeney,19,314,53,143,15,30,39,33,20,7,1,11,151,2018
Eric Bledsoe,74,2322,468,989,125,252,317,284,370,149,42,216,1313,2018
Vander Blue,5,45,1,5,0,1,2,1,3,1,0,3,3,2018
Bogdan Bogdanović,78,2175,344,772,129,100,119,223,258,72,16,125,917,2018
Bojan Bogdanović,80,2464,404,852,155,178,205,270,119,55,8,106,1141,2018
Andrew Bogut,24,216,17,25,0,2,2,78,15,4,13,19,36,2018
Joel Bolomboy,6,38,3,6,0,3,6,10,0,2,0,2,9,2018
Devin Booker,54,1865,455,1054,147,289,329,244,253,47,14,194,1346,2018
Trevor Booker,68,1158,177,343,8,66,93,318,82,28,21,59,428,2018
Chris Boucher,1,1,0,1,0,0,0,1,0,0,0,0,0,2018
Avery Bradley,46,1433,259,625,75,63,82,116,94,51,8,101,656,2018
Tony Bradley,9,29,3,11,0,2,2,11,1,0,0,0,8,2018
Corey Brewer,72,1208,142,316,31,65,90,154,65,79,14,49,380,2018
Malcolm Brogdon,48,1436,244,503,62,75,85,156,152,41,13,66,625,2018
Aaron Brooks,32,189,28,69,11,8,11,17,20,6,0,11,75,2018
Dillon Brooks,82,2350,340,772,94,124,166,257,135,73,17,124,898,2018
MarShon Brooks,7,193,51,102,19,20,23,21,25,11,3,16,141,2018
Anthony Brown,1,4,1,1,1,0,0,0,1,0,0,0,3,2018
Bobby Brown,20,115,19,58,11,1,2,7,11,4,0,9,50,2018
Jaylen Brown,70,2152,373,803,121,150,233,346,114,70,26,124,1017,2018
Lorenzo Brown,14,139,14,34,2,2,2,15,13,5,0,3,32,2018
Markel Brown,4,31,2,7,1,0,0,5,2,0,0,2,5,2018
Sterling Brown,54,776,82,205,32,21,24,143,25,31,13,25,217,2018
