name,games,minutes,fg,fga,3p,ft,fta,reb,ast,stl,blk,to,pts,year
Álex Abrines,31,588,56,157,41,12,13,48,20,17,6,14,165,2019
Quincy Acy,10,123,4,18,2,7,10,25,8,1,4,4,17,2019
Jaylen Adams,34,428,38,110,25,7,9,60,65,14,5,28,108,2019
Steven Adams,80,2669,481,809,0,146,292,760,124,117,76,135,1108,2019
Bam Adebayo,82,1913,280,486,3,166,226,597,184,71,65,121,729,2019
Deng Adel,19,194,11,36,6,4,4,19,5,1,4,6,32,2019
DeVaughn Akoon-Purcell,7,22,3,10,0,1,2,4,6,2,0,2,7,2019
LaMarcus Aldridge,81,2687,684,1319,10,349,412,744,194,43,107,144,1727,2019
Rawle Alkins,10,120,13,39,3,8,12,26,13,1,0,8,37,2019
Grayson Allen,38,416,67,178,32,45,60,23,25,6,6,33,211,2019
Jarrett Allen,80,2096,335,568,6,197,278,672,110,43,120,103,873,2019
Kadeem Allen,19,416,65,141,17,42,54,51,76,16,4,26,189,2019
Al-Farouq Aminu,81,2292,257,593,96,150,173,610,104,68,33,72,760,2019
Justin Anderson,48,463,64,157,24,26,35,84,23,22,13,23,178,2019
Kyle Anderson,43,1281,150,276,9,37,64,251,128,54,37,58,346,2019
Ryan Anderson,25,322,21,69,9,12,16,54,19,4,1,14,63,2019
Ike Anigbogu,3,6,0,3,0,0,0,3,1,0,1,1,0,2019
Giannis Antetokounmpo,72,2358,721,1247,52,500,686,898,424,92,110,268,1994,2019
Kostas Antetokounmpo,2,11,0,3,0,2,4,1,0,2,0,1,2,2019
Carmelo Anthony,10,294,49,121,21,15,22,54,5,4,7,8,134,2019
OG Anunoby,67,1352,183,404,67,36,62,197,47,46,22,55,469,2019
Ryan Arcidiacono,81,1961,187,418,81,89,102,219,269,65,4,63,544,2019
Trevor Ariza,69,2349,294,736,145,130,164,371,252,91,21,106,863,2019
D.J. Augustin,81,2269,318,677,131,181,209,203,426,52,4,128,948,2019
Deandre Ayton,71,2183,509,870,0,141,189,729,125,61,67,126,1159,2019
Dwayne Bacon,43,759,122,257,38,34,46,89,47,12,5,18,316,2019
Marvin Bagley III,62,1567,356,706,30,181,262,471,62,33,59,98,923,2019
Ron Baker,15,152,4,20,1,5,6,11,15,6,1,5,14,2019
Wade Baldwin,16,94,10,33,2,8,11,15,12,1,2,14,30,2019
Lonzo Ball,47,1423,185,456,75,20,48,251,255,69,19,103,465,2019
Mo Bamba,47,766,117,243,21,37,63,233,39,13,64,43,292,2019
J.J. Barea,38,752,161,385,38,55,78,95,211,22,1,72,415,2019
Harrison Barnes,77,2533,431,1027,174,229,278,361,115,50,13,98,1265,2019
Will Barton,43,1189,185,460,67,57,74,199,124,18,22,65,494,2019
Keita Bates-Diop,30,503,60,142,13,18,28,83,17,18,14,14,151,2019
Nicolas Batum,75,2354,253,562,116,77,89,390,247,71,43,117,699,2019
Jerryd Bayless,34,657,82,230,29,16,28,62,119,18,2,32,209,2019
Aron Baynes,51,821,105,223,21,53,62,240,57,12,34,40,284,2019
Kent Bazemore,67,1643,278,691,96,127,175,261,152,89,42,121,779,2019
Bradley Beal,82,3028,764,1609,209,362,448,411,448,121,58,224,2099,2019
Malik Beasley,81,1879,349,737,163,56,66,200,97,55,10,55,917,2019
Michael Beasley,26,277,75,153,3,28,39,60,25,9,10,27,181,2019
Marco Belinelli,79,1815,285,690,147,112,124,198,132,35,8,72,829,2019
Jordan Bell,68,788,99,192,0,25,41,184,76,20,51,42,223,2019
DeAndre' Bembry,82,1931,275,616,50,87,136,358,202,105,41,142,687,2019
Dragan Bender,46,826,88,197,22,32,54,183,56,18,22,37,230,2019
Dairis Bertāns,12,167,12,47,10,0,0,9,10,1,0,2,34,2019
Dāvis Bertāns,76,1632,204,453,145,53,60,264,100,35,33,43,606,2019
Patrick Beverley,78,2137,194,477,112,96,123,388,300,67,43,85,596,2019
Khem Birch,50,643,91,151,0,58,83,190,38,18,29,20,240,2019
Bismack Biyombo,54,783,89,156,0,58,91,247,33,11,41,34,236,2019
Nemanja Bjelica,77,1788,284,593,103,70,92,444,147,54,56,82,741,2019
