name,games,minutes,fg,fga,3p,ft,fta,reb,ast,stl,blk,to,pts,year
Quincy Acy,63,847,66,141,4,35,53,216,28,23,26,30,171,2014
Steven Adams,81,1197,93,185,0,79,136,332,43,40,57,71,265,2014
Jeff Adrien,53,961,143,275,0,76,119,306,38,24,36,39,362,2014
Arron Afflalo,73,2552,464,1011,128,274,336,262,248,35,3,146,1330,2014
Alexis Ajinça,56,951,136,249,0,56,67,277,40,23,46,63,328,2014
Cole Aldrich,46,330,33,61,0,26,30,129,14,8,30,18,92,2014
LaMarcus Aldridge,69,2498,652,1423,3,296,360,765,178,63,68,123,1603,2014
Lavoy Allen,65,1072,134,300,2,33,50,311,71,24,33,44,303,2014
Ray Allen*,73,1936,240,543,116,105,116,205,143,54,8,84,701,2014
Tony Allen,55,1278,204,413,11,76,121,208,94,90,19,90,495,2014
Al-Farouq Aminu,80,2045,234,494,13,91,137,496,114,82,38,88,572,2014
Lou Amundson,19,185,16,32,0,6,24,55,6,9,11,14,38,2014
Chris Andersen,72,1396,177,275,3,120,169,379,19,32,97,53,477,2014
Alan Anderson,78,1773,194,485,84,92,118,175,81,48,11,62,564,2014
James Anderson,80,2309,309,717,115,77,106,300,149,74,28,106,810,2014
Ryan Anderson,22,795,155,354,67,59,62,142,17,10,7,20,436,2014
Giannis Antetokounmpo,77,1897,173,418,41,138,202,339,150,60,61,122,525,2014
Carmelo Anthony,77,2982,743,1643,167,459,541,622,242,95,51,198,2112,2014
Joel Anthony,33,186,12,32,0,4,8,38,2,3,12,3,28,2014
Pero Antić,50,925,123,294,56,50,66,209,58,19,12,55,352,2014
Trevor Ariza,77,2723,389,853,180,149,193,475,191,126,20,132,1107,2014
Hilton Armstrong,15,97,9,19,0,7,16,47,5,4,4,6,25,2014
Darrell Arthur,68,1161,162,410,24,53,62,210,61,39,47,58,401,2014
Ömer Aşık,48,968,101,190,0,78,126,378,25,14,37,59,280,2014
D.J. Augustin,71,1939,298,718,133,201,227,130,313,53,3,125,930,2014
Gustavo Ayón,26,429,52,102,0,8,20,125,28,25,10,29,112,2014
Jeff Ayres,73,952,101,174,0,38,55,258,60,13,25,63,240,2014
Chris Babb,14,132,8,30,6,0,0,17,3,6,0,3,22,2014
Luke Babbitt,27,473,60,154,36,14,18,88,29,7,11,15,170,2014
Leandro Barbosa,20,368,56,131,7,31,39,37,32,7,4,19,150,2014
J.J. Barea,79,1471,254,656,73,79,100,154,303,26,0,125,660,2014
Andrea Bargnani,42,1257,222,502,30,84,102,222,45,14,52,58,558,2014
Harrison Barnes,78,2204,271,679,66,130,181,311,116,65,20,84,738,2014
Matt Barnes,63,1735,231,527,97,66,90,292,125,56,28,85,625,2014
Will Barton,41,387,65,156,10,26,32,74,33,9,7,18,166,2014
Brandon Bass,82,2266,352,725,2,205,239,470,87,36,71,102,911,2014
Shane Battier,73,1468,105,275,73,15,23,138,63,50,39,21,298,2014
Nicolas Batum,82,2956,381,819,145,163,203,611,420,75,57,208,1070,2014
Jerryd Bayless,72,1686,248,617,76,94,118,145,194,60,9,82,666,2014
Aron Baynes,53,491,71,163,0,19,21,145,34,2,5,36,161,2014
Kent Bazemore,67,911,147,343,43,66,109,117,91,43,13,79,403,2014
Bradley Beal,73,2530,481,1149,138,149,189,273,243,71,18,128,1249,2014
Michael Beasley,55,831,177,355,21,61,79,172,42,23,21,57,436,2014
Marco Belinelli,80,2016,337,695,126,111,131,226,179,50,7,95,911,2014
Anthony Bennett,52,663,80,225,13,44,69,155,17,21,8,47,217,2014
Patrick Beverley,56,1751,199,481,92,83,102,196,151,77,23,66,573,2014
Andris Biedriņš,6,45,1,1,0,1,6,17,0,0,0,2,3,2014
Chauncey Billups,19,309,24,79,14,10,12,28,42,8,1,25,72,2014
Bismack Biyombo,77,1072,88,144,0,46,89,366,8,7,86,40,222,2014
DeJuan Blair,78,1214,210,393,0,77,121,368,70,60,21,77,497,2014
Steve Blake,55,1498,133,353,79,33,43,159,307,54,8,102,378,2014
Andray Blatche,73,1618,321,674,15,164,221,390,112,75,38,110,821,2014
Eric Bledsoe,43,1416,265,556,50,183,237,202,235,69,14,143,763,2014
Vander Blue,3,15,2,4,0,1,5,3,1,0,0,2,5,2014
Keith Bogans,6,55,3,6,3,3,3,3,3,1,0,1,12,2014
Andrew Bogut,67,1769,235,375,0,22,64,671,112,47,121,97,492,2014
Matt Bonner,61,690,73,164,42,9,12,130,31,15,11,16,197,2014
Trevor Booker,72,1553,222,403,0,47,76,379,64,41,45,58,491,2014
Carlos Boozer,76,2141,447,980,0,148,193,632,118,53,22,154,1042,2014
Chris Bosh,79,2531,492,953,74,223,272,522,87,80,78,125,1281,2014
Avery Bradley,60,1855,361,825,79,90,112,226,85,63,11,96,891,2014
Elton Brand,73,1414,179,332,0,61,94,361,74,40,88,60,419,2014
Corey Brewer,81,2609,388,807,59,163,227,207,135,151,30,105,998,2014
Ronnie Brewer,24,160,3,15,1,0,2,14,10,6,1,2,7,2014
Aaron Brooks,72,1557,233,581,96,83,95,140,233,52,13,117,645,2014
MarShon Brooks,35,316,57,125,13,32,44,54,25,14,4,24,159,2014
Lorenzo Brown,26,224,26,86,3,9,13,28,41,13,3,16,64,2014
Shannon Brown,29,251,24,66,0,15,21,28,9,13,0,18,63,2014
Kobe Bryant*,6,177,31,73,3,18,21,26,38,7,1,34,83,2014
Chase Budinger,41,751,100,254,42,32,39,103,31,19,2,24,274,2014
Reggie Bullock,43,395,43,121,22,7,9,54,12,9,1,13,115,2014
Trey Burke,70,2262,341,897,111,102,113,208,396,42,6,131,895,2014
Alec Burks,78,2193,380,831,50,279,373,257,212,69,14,149,1089,2014
Caron Butler,56,1419,213,540,98,63,75,229,82,47,17,60,587,2014
Jimmy Butler,67,2591,275,693,68,260,338,330,175,127,36,102,878,2014
Rasual Butler,50,378,51,110,26,8,14,41,17,7,9,11,136,2014
