name,games,minutes,fg,fga,3p,ft,fta,reb,ast,stl,blk,to,pts,year
Alex Acker,25,199,30,76,7,5,10,24,12,5,4,7,72,2009
Hassan Adams,12,52,4,13,0,3,6,7,1,1,1,4,11,2009
Arron Afflalo,74,1234,131,300,43,58,71,134,44,28,13,43,363,2009
Maurice Ager,20,97,15,43,0,4,8,10,3,1,2,4,34,2009
Blake Ahearn,3,19,2,6,2,2,2,1,2,1,0,1,8,2009
Alexis Ajinça,31,182,25,69,0,20,28,30,3,7,6,12,70,2009
LaMarcus Aldridge,81,3004,601,1243,7,261,334,605,157,77,77,121,1470,2009
Joe Alexander,59,716,102,245,16,58,83,115,42,15,29,52,278,2009
Malik Allen,49,579,73,170,0,10,21,103,35,7,12,20,156,2009
Ray Allen*,79,2876,499,1040,199,237,249,278,218,69,13,134,1434,2009
Tony Allen,46,887,137,284,6,79,109,104,66,54,23,77,359,2009
Morris Almond,25,255,33,81,5,21,26,36,7,4,4,16,92,2009
Rafer Alston,77,2447,316,820,112,156,208,227,406,108,10,140,900,2009
Lou Amundson,76,1044,134,250,0,53,120,270,28,32,65,56,321,2009
Chris Andersen,71,1460,160,292,2,130,181,442,31,41,175,69,452,2009
Ryan Anderson,66,1312,160,407,69,98,116,311,52,44,20,63,487,2009
Carmelo Anthony,66,2277,535,1207,63,371,468,450,222,75,24,199,1504,2009
Joel Anthony,65,1048,57,118,0,30,46,197,27,20,93,41,144,2009
Gilbert Arenas,2,63,6,23,2,12,16,9,20,0,1,1,26,2009
Trevor Ariza,82,1999,274,596,61,120,169,352,145,137,24,87,729,2009
Hilton Armstrong,70,1092,138,246,0,62,98,195,29,26,45,80,338,2009
Darrell Arthur,76,1464,191,436,0,40,60,346,43,52,52,47,422,2009
Chucky Atkins,33,412,34,113,15,15,16,24,59,10,2,23,98,2009
D.J. Augustin,72,1908,267,621,108,208,233,133,250,42,2,119,850,2009
Kelenna Azubuike,74,2375,392,845,94,185,229,370,117,57,50,95,1063,2009
Renaldo Balkman,53,780,110,197,2,42,65,203,34,47,23,35,264,2009
Marcus Banks,22,206,21,57,3,11,18,18,28,11,2,14,56,2009
Leandro Barbosa,70,1705,366,759,90,171,194,181,162,82,7,93,993,2009
J.J. Barea,79,1600,246,557,55,70,93,177,269,37,5,105,617,2009
Andrea Bargnani,78,2453,431,958,119,221,266,416,94,34,97,135,1202,2009
Matt Barnes,77,2082,285,674,117,101,136,421,212,52,26,130,788,2009
