name,games,minutes,fg,fga,3p,ft,fta,reb,ast,stl,blk,to,pts,year
Jeff Adrien,23,196,23,54,0,11,19,58,10,4,5,9,57,2011
Arron Afflalo,69,2324,312,627,105,138,163,251,168,34,31,71,867,2011
Maurice Ager,4,29,6,11,3,0,0,2,1,1,0,4,15,2011
Alexis Ajinça,34,340,59,133,12,13,18,78,10,11,19,18,143,2011
Solomon Alabi,12,59,3,15,0,0,2,14,2,2,2,3,6,2011
Cole Aldrich,18,142,8,15,0,2,4,35,4,5,7,8,18,2011
LaMarcus Aldridge,81,3211,707,1415,4,351,444,709,170,82,94,153,1769,2011
Malik Allen,18,178,11,31,0,1,2,32,4,1,4,3,23,2011
Ray Allen*,80,2890,480,978,168,193,219,274,219,77,16,117,1321,2011
Tony Allen,72,1494,251,492,4,137,182,193,104,129,44,86,643,2011
Al-Farouq Aminu,81,1452,160,406,45,92,119,267,60,59,25,103,457,2011
Lou Amundson,46,691,83,183,0,34,87,185,17,14,33,24,200,2011
Chris Andersen,45,732,82,137,0,86,135,219,20,23,58,25,250,2011
David Andersen,40,373,56,121,8,14,22,84,13,5,9,22,134,2011
James Anderson,26,286,31,81,18,14,18,23,18,3,6,13,94,2011
Ryan Anderson,64,1424,226,525,134,95,117,355,52,30,38,49,681,2011
Carmelo Anthony,77,2751,684,1503,95,507,605,563,221,68,46,206,1970,2011
Joel Anthony,75,1463,53,99,0,47,73,266,24,10,93,36,153,2011
Gilbert Arenas,70,1796,269,734,97,120,153,189,274,74,21,177,755,2011
Trevor Ariza,75,2600,303,762,82,138,197,408,162,120,31,118,826,2011
Hilton Armstrong,53,488,37,76,2,16,33,131,14,18,21,28,92,2011
Carlos Arroyo,64,1185,120,273,31,39,47,103,125,21,1,60,310,2011
Darrell Arthur,80,1609,310,624,0,109,134,342,53,52,63,88,729,2011
Ömer Aşık,82,989,78,141,0,73,145,306,32,20,56,64,229,2011
D.J. Augustin,82,2757,399,958,111,269,297,225,498,54,3,155,1178,2011
Luke Babbitt,24,137,15,55,3,3,9,30,6,2,2,8,36,2011
Renaldo Balkman,8,62,6,13,1,3,4,7,2,4,2,1,16,2011
Marcus Banks,3,22,0,2,0,6,8,1,3,1,0,2,6,2011
Leandro Barbosa,58,1395,294,653,72,109,137,99,119,50,6,84,769,2011
J.J. Barea,81,1669,285,649,66,133,157,159,317,30,1,136,769,2011
Andrea Bargnani,66,2353,525,1173,77,287,350,343,119,34,46,152,1414,2011
Matt Barnes,53,1020,131,279,34,60,77,228,71,39,22,58,356,2011
Earl Barron,21,305,32,99,0,15,24,76,11,8,6,16,79,2011
Brandon Bass,76,1980,332,645,0,190,233,424,57,27,52,97,854,2011
Tony Battie,38,377,45,96,2,8,14,99,12,5,15,12,100,2011
Shane Battier,82,2375,229,509,102,64,93,373,185,69,81,79,624,2011
Nicolas Batum,80,2522,367,807,118,138,164,361,123,68,49,83,990,2011
Jerryd Bayless,71,1496,218,517,49,166,206,165,266,38,5,127,651,2011
Michael Beasley,73,2361,561,1246,60,219,291,409,158,54,52,195,1401,2011
Rodrigue Beaubois,28,496,94,223,25,23,30,52,64,20,8,47,236,2011
Marco Belinelli,80,1957,302,691,134,98,125,151,92,38,6,77,836,2011
Charlie Bell,19,171,12,43,6,2,4,18,13,6,1,6,32,2011
Raja Bell,68,2097,191,467,68,91,102,176,118,56,14,63,541,2011
Mike Bibby,80,2285,248,576,153,39,62,195,265,50,9,101,688,2011
Andris Biedriņš,59,1397,142,266,0,10,31,426,60,52,52,57,294,2011
Chauncey Billups,72,2310,339,794,146,384,419,190,387,71,14,177,1208,2011
DeJuan Blair,81,1734,292,583,0,90,137,565,77,95,42,113,674,2011
Steve Blake,79,1581,110,306,73,26,30,156,170,40,3,73,319,2011
Andray Blatche,64,2172,426,957,4,220,283,526,144,98,51,172,1076,2011
Eric Bledsoe,81,1841,206,486,32,99,133,223,289,92,26,194,543,2011
Keith Bogans,82,1461,124,307,90,21,32,148,101,38,9,41,359,2011
Andrew Bogut,65,2297,367,742,0,96,217,720,131,47,168,125,830,2011
Matt Bonner,66,1432,172,371,105,32,43,239,60,26,21,27,481,2011
Trevor Booker,65,1063,139,253,0,68,101,251,35,29,42,38,346,2011
Carlos Boozer,59,1882,431,845,0,171,244,565,145,45,18,149,1033,2011
Chris Bosh,77,2795,524,1056,6,384,471,641,144,59,49,138,1438,2011
Earl Boykins,57,862,156,352,27,69,82,55,141,38,3,52,408,2011
Craig Brackins,3,33,4,16,0,0,0,4,1,1,0,0,8,2011
Avery Bradley,31,162,23,67,0,6,12,17,12,9,0,16,52,2011
Elton Brand,81,2809,502,981,0,213,273,676,120,92,106,101,1217,2011
Corey Brewer,69,1510,193,488,30,136,192,175,89,100,16,87,552,2011
Ronnie Brewer,81,1781,205,427,6,87,133,262,140,106,22,55,503,2011
Jon Brockman,63,677,48,94,0,40,59,184,18,14,3,24,136,2011
Aaron Brooks,59,1284,220,587,70,124,140,78,233,34,3,99,634,2011
Derrick Brown,49,576,74,131,5,32,60,99,33,20,10,35,185,2011
Kwame Brown,66,1714,194,375,0,136,231,450,43,26,39,69,524,2011
Shannon Brown,82,1568,273,643,74,92,101,157,96,67,16,75,712,2011
Kobe Bryant*,82,2779,740,1639,115,483,583,419,388,99,12,243,2078,2011
Chase Budinger,78,1738,279,656,89,118,138,281,127,41,18,67,765,2011
Caron Butler,29,867,170,378,28,68,88,118,46,28,8,49,436,2011
Rasual Butler,47,770,79,237,46,18,27,77,27,8,15,24,222,2011
Andrew Bynum,54,1500,237,413,0,138,209,508,73,19,106,74,612,2011
Will Bynum,61,1125,182,406,16,102,122,74,195,52,4,83,482,2011
José Calderón,68,2102,262,596,57,88,103,202,605,81,7,148,669,2011
Marcus Camby,59,1540,117,294,0,43,70,606,121,40,92,62,277,2011
Derrick Caracter,41,215,32,66,0,17,23,43,7,4,10,19,81,2011
Brian Cardinal,56,618,43,100,42,17,18,59,40,24,7,17,145,2011
Rodney Carney,27,336,46,110,17,18,27,48,11,12,5,16,127,2011
DeMarre Carroll,12,50,4,12,0,2,2,8,4,1,1,0,10,2011
Matt Carroll,54,582,89,199,17,40,52,68,23,17,6,23,235,2011
Anthony Carter,33,463,45,106,12,8,8,51,69,27,6,39,110,2011
Vince Carter,73,2051,389,891,116,128,173,275,146,67,20,90,1022,2011
Omri Casspi,71,1702,225,546,92,68,101,307,74,54,13,68,610,2011
Mario Chalmers,70,1579,155,388,83,54,62,146,177,76,7,91,447,2011
Tyson Chandler,74,2059,266,407,0,216,295,692,32,36,80,88,748,2011
Wilson Chandler,72,2401,429,953,112,130,161,408,120,48,94,104,1100,2011
Josh Childress,54,894,121,214,1,29,59,155,42,33,23,44,272,2011
Earl Clark,42,464,68,158,0,27,47,101,9,8,18,28,163,2011
Jarron Collins,28,181,6,21,0,7,10,24,2,4,1,7,19,2011
Jason Collins,49,593,34,71,1,27,41,102,22,9,9,26,96,2011
Sherron Collins,20,66,7,25,2,1,1,5,8,2,0,4,17,2011
Darren Collison,79,2360,398,870,41,202,232,225,403,87,14,194,1039,2011
Nick Collison,71,1524,137,242,0,55,73,316,69,42,31,55,329,2011
Mike Conley,81,2872,423,953,80,181,247,247,528,144,18,176,1107,2011
Brian Cook,40,447,72,170,34,15,24,96,15,12,11,25,193,2011
Daequan Cook,43,598,79,181,65,16,20,72,20,14,1,17,239,2011
Marcus Cousin,4,18,2,3,0,0,0,3,0,0,1,1,4,2011
DeMarcus Cousins,81,2309,432,1004,3,276,402,699,204,85,68,268,1143,2011
Jamal Crawford,76,2297,368,874,119,222,260,130,241,57,14,145,1077,2011
Jordan Crawford,42,1027,192,500,33,73,84,105,117,39,3,83,490,2011
Dante Cunningham,78,1637,218,472,1,45,62,277,43,54,43,51,482,2011
Stephen Curry,74,2489,505,1053,151,212,227,286,432,109,20,226,1373,2011
Samuel Dalembert,80,1938,268,567,0,108,148,657,67,36,116,132,644,2011
Erick Dampier,51,815,52,89,0,24,44,177,22,14,47,32,128,2011
Antonio Daniels,4,35,2,5,0,2,2,5,2,0,0,1,6,2011
Marquis Daniels,49,938,114,232,4,39,57,113,64,39,22,38,271,2011
Baron Davis,58,1649,289,693,81,101,131,156,391,78,28,146,760,2011
Ed Davis,65,1602,215,373,0,71,128,462,40,39,67,48,501,2011
Glen Davis,78,2298,359,801,2,195,265,425,92,78,30,85,915,2011
Austin Daye,72,1446,193,471,69,82,108,274,78,39,39,59,537,2011
Carlos Delfino,49,1590,200,513,105,60,75,200,112,76,8,57,565,2011
Luol Deng,82,3208,531,1155,115,253,336,476,230,78,48,156,1430,2011
DeMar DeRozan,82,2851,539,1154,5,327,402,315,148,85,31,144,1410,2011
Boris Diaw,82,2778,381,774,78,84,123,414,337,74,46,166,924,2011
Ike Diogu,36,470,83,148,0,41,62,115,2,3,3,22,207,2011
DeSagana Diop,16,181,8,24,0,4,11,40,7,4,15,11,20,2011
Keyon Dooling,80,1757,206,519,81,78,94,117,243,54,4,91,571,2011
Joey Dorsey,43,522,52,99,0,31,65,190,27,24,17,39,135,2011
Toney Douglas,81,1971,314,755,143,85,107,244,244,89,4,89,856,2011
Chris Douglas-Roberts,44,884,117,273,15,74,89,88,50,29,13,35,323,2011
Zabian Dowdell,24,292,51,125,3,16,17,20,51,20,2,29,121,2011
Goran Dragić,70,1234,192,441,56,83,133,142,204,50,10,117,523,2011
Jared Dudley,82,2140,300,629,105,162,218,318,108,87,20,77,867,2011
Chris Duhon,51,774,49,129,13,14,25,52,118,16,2,61,125,2011
Tim Duncan*,76,2156,419,838,0,184,257,678,203,50,146,122,1022,2011
Mike Dunleavy,61,1683,240,520,102,100,125,276,105,40,30,69,682,2011
Ronald Dupree,3,13,1,4,0,0,0,3,1,0,0,0,2,2011
Kevin Durant,78,3038,711,1538,145,594,675,533,214,88,76,218,2161,2011
Devin Ebanks,20,118,21,51,2,18,23,27,2,4,5,6,62,2011
Wayne Ellington,62,1181,160,397,48,42,53,108,72,28,3,53,410,2011
Monta Ellis,80,3227,726,1611,137,340,431,281,450,168,23,252,1929,2011
Francisco Elson,62,610,54,113,0,26,31,115,33,21,14,32,134,2011
Melvin Ely,30,366,28,51,0,13,21,74,14,4,11,14,69,2011
Semih Erden,41,595,62,111,0,39,60,118,20,15,24,34,163,2011
Jeremy Evans,49,463,76,115,0,26,37,97,24,17,17,19,178,2011
Maurice Evans,73,1549,177,424,55,52,58,156,45,34,14,33,461,2011
Reggie Evans,30,798,42,103,0,48,88,345,38,29,6,39,132,2011
Tyreke Evans,57,2107,382,933,43,205,266,275,319,85,30,184,1012,2011
Patrick Ewing,7,19,0,5,0,3,4,2,2,0,1,1,3,2011
Christian Eyenga,44,947,130,306,25,18,28,123,35,34,28,47,303,2011
Jordan Farmar,73,1796,255,651,109,82,100,173,368,62,6,139,701,2011
Derrick Favors,78,1535,215,416,0,103,173,412,39,29,68,77,533,2011
Raymond Felton,75,2737,427,1005,116,194,241,269,625,125,11,221,1164,2011
Rudy Fernández,78,1821,213,575,116,126,146,172,193,87,14,88,668,2011
Kyrylo Fesenko,53,456,44,100,0,18,46,108,18,4,16,25,106,2011
Landry Fields,82,2541,299,602,86,113,147,521,155,80,17,107,797,2011
Derek Fisher,82,2297,206,529,63,83,103,152,224,99,8,70,558,2011
Jonny Flynn,53,983,108,296,31,32,42,77,182,34,3,113,279,2011
Gary Forbes,63,791,124,273,19,59,87,116,49,23,6,46,326,2011
T.J. Ford,41,773,91,236,6,35,48,81,141,35,8,63,223,2011
Jeff Foster,56,940,80,167,0,27,48,350,46,24,31,26,187,2011
Randy Foye,63,1551,206,531,71,133,149,103,170,47,21,95,616,2011
Channing Frye,77,2541,358,829,171,89,107,513,96,46,79,73,976,2011
Dan Gadzuric,42,463,54,129,0,10,27,135,14,13,29,29,118,2011
Sundiata Gaines,24,301,42,105,9,18,36,38,42,16,1,27,111,2011
Danilo Gallinari,62,2104,265,640,103,337,391,305,104,51,27,83,970,2011
Francisco García,58,1386,207,475,81,65,76,133,71,51,49,45,560,2011
Kevin Garnett*,71,2220,434,822,1,187,217,631,171,95,57,115,1056,2011
Marc Gasol,81,2586,364,691,3,220,294,569,200,74,136,146,951,2011
Pau Gasol,82,3037,593,1120,1,354,430,836,273,48,130,142,1541,2011
Rudy Gay,54,2152,409,869,57,194,241,336,153,91,58,135,1069,2011
Alonzo Gee,56,1118,121,264,17,72,92,182,38,40,18,55,331,2011
Paul George,61,1265,179,395,41,77,101,224,65,62,26,70,476,2011
Daniel Gibson,67,1865,264,660,118,134,163,177,201,48,21,80,780,2011
Taj Gibson,80,1742,234,502,1,100,148,458,58,39,106,71,569,2011
Manu Ginóbili,80,2426,441,1018,154,357,410,295,393,123,28,174,1393,2011
Ryan Gomes,76,2095,207,505,72,61,85,254,118,62,12,55,547,2011
Drew Gooden,35,860,156,362,3,81,102,238,47,21,18,46,396,2011
Ben Gordon,82,2131,339,770,107,136,160,195,171,48,16,141,921,2011
Eric Gordon,56,2112,427,949,106,287,348,164,244,71,18,151,1247,2011
Marcin Gortat,80,2032,338,603,1,140,193,631,70,36,91,81,817,2011
Joey Graham,39,586,82,179,9,29,36,84,18,6,7,28,202,2011
Stephen Graham,59,959,81,200,5,31,38,123,40,14,1,38,198,2011
Danny Granger,79,2763,535,1260,157,395,466,425,203,89,62,206,1622,2011
Aaron Gray,41,531,56,99,0,17,34,171,16,11,12,32,129,2011
Danny Green,8,92,17,35,7,0,0,15,2,2,1,5,41,2011
Jeff Green,75,2427,368,820,64,198,244,360,108,53,37,99,998,2011
Willie Green,77,1674,270,609,54,78,100,161,74,36,13,67,672,2011
Donté Greene,69,1127,156,386,45,43,65,147,48,36,20,60,400,2011
Orien Greene,3,5,1,2,0,1,2,0,1,1,0,0,3,2011
Blake Griffin,82,3112,696,1376,7,446,695,989,312,63,45,223,1845,2011
Hamed Haddadi,31,168,30,58,0,15,23,68,5,2,13,11,75,2011
Richard Hamilton,55,1498,288,671,55,146,172,126,171,39,4,88,777,2011
Tyler Hansbrough,70,1535,285,613,0,197,253,366,41,37,15,76,767,2011
Luke Harangody,49,640,79,206,16,19,26,143,30,15,17,16,193,2011
James Harden,82,2189,298,684,113,289,343,255,176,92,24,106,998,2011
Al Harrington,73,1665,281,675,117,86,117,332,101,39,10,106,765,2011
Devin Harris,71,2254,343,813,58,335,402,169,503,70,7,207,1079,2011
Manny Harris,54,933,108,289,34,71,93,140,85,31,7,63,321,2011
Mike Harris,4,16,3,6,0,2,4,5,1,0,1,1,8,2011
Udonis Haslem,13,345,44,86,0,16,20,106,6,7,3,14,104,2011
Spencer Hawes,81,1718,264,568,9,47,88,465,121,29,71,97,584,2011
Chuck Hayes,74,2079,244,463,0,94,142,599,202,79,49,86,582,2011
Gordon Hayward,72,1218,142,293,35,69,97,139,81,30,19,70,388,2011
Lazar Hayward,42,419,55,154,17,33,42,70,28,12,7,19,160,2011
Brendan Haywood,72,1331,128,223,0,64,177,376,19,16,74,51,320,2011
Luther Head,36,586,68,164,25,39,50,60,70,10,9,32,200,2011
Gerald Henderson,68,1661,259,570,7,128,163,207,101,50,32,64,653,2011
Xavier Henry,38,527,65,160,2,33,52,37,18,11,3,13,165,2011
Roy Hibbert,81,2244,410,890,0,205,275,610,166,33,142,185,1025,2011
J.J. Hickson,80,2256,429,936,0,247,367,695,91,48,54,173,1105,2011
Nenê,75,2291,402,654,1,286,402,571,149,84,73,134,1091,2011
George Hill,76,2148,287,633,77,233,270,199,193,66,21,99,884,2011
Grant Hill*,80,2409,399,825,45,213,257,338,200,64,35,134,1056,2011
Jordan Hill,72,1125,173,352,0,60,85,306,29,14,52,62,406,2011
Kirk Hinrich,72,2157,278,623,75,106,126,182,288,75,17,121,737,2011
Jrue Holiday,82,2901,446,999,81,172,209,332,531,120,29,218,1145,2011
Ryan Hollins,70,1182,131,219,0,111,163,186,26,22,42,67,373,2011
Al Horford,77,2704,513,921,2,150,188,718,266,59,80,119,1178,2011
Eddie House,56,978,128,321,68,38,40,92,62,32,3,29,362,2011
Dwight Howard,78,2935,619,1044,0,546,916,1098,107,107,186,279,1784,2011
Josh Howard,18,409,58,162,7,29,47,74,24,13,5,20,152,2011
Juwan Howard,57,592,55,125,0,29,35,122,23,10,4,25,139,2011
Lester Hudson,11,73,6,24,4,2,4,5,17,4,1,7,18,2011
Kris Humphries,74,2061,307,583,0,127,191,771,84,33,80,103,741,2011
Serge Ibaka,82,2216,335,617,0,138,184,622,22,31,198,71,808,2011
