name,games,minutes,fg,fga,3p,ft,fta,reb,ast,stl,blk,to,pts,year
Shareef Abdur-Rahim,85,2684,501,1054,9,373,429,639,174,68,37,184,1384,2004
Malik Allen,45,616,83,198,0,25,33,119,16,12,28,27,191,2004
Ray Allen*,56,2152,447,1017,148,245,271,286,268,71,11,156,1287,2004
Rafer Alston,82,2581,287,764,161,103,134,226,372,114,18,128,838,2004
Chris Andersen,71,1029,90,203,0,63,107,298,35,34,114,48,243,2004
Derek Anderson,51,1810,230,612,79,155,188,182,228,66,3,90,694,2004
Kenny Anderson,44,905,113,256,1,35,48,81,125,26,5,50,262,2004
Shandon Anderson,80,1974,238,564,36,123,161,222,122,68,17,118,635,2004
Carmelo Anthony,82,2995,624,1465,69,408,525,498,227,97,41,247,1725,2004
Robert Archibald,32,256,9,33,0,14,31,52,13,14,3,10,32,2004
Gilbert Arenas,55,2066,358,914,125,237,317,254,275,103,12,226,1078,2004
Brandon Armstrong,56,434,65,175,19,2,4,43,14,12,2,24,151,2004
Darrell Armstrong,79,2247,291,736,135,123,144,226,311,133,16,155,840,2004
Carlos Arroyo,71,2008,339,768,38,181,225,185,355,63,5,156,897,2004
Chucky Atkins,64,1544,192,484,81,73,97,93,223,45,2,92,538,2004
Stacey Augmon,69,1416,143,347,1,110,139,174,85,55,15,76,397,2004
Vin Baker,54,1313,208,432,1,114,157,280,66,29,32,77,531,2004
Marcus Banks,81,1385,177,442,27,99,131,133,175,88,13,125,480,2004
Leandro Barbosa,70,1500,210,470,83,47,61,123,165,93,7,120,550,2004
Matt Barnes,38,724,63,138,2,43,61,151,48,27,3,44,171,2004
Dana Barros,1,11,2,3,0,2,2,0,0,0,0,0,6,2004
Brent Barry,59,1803,215,427,114,91,110,204,342,85,16,139,635,2004
Jon Barry,57,1101,120,297,51,60,71,123,147,57,8,53,351,2004
Mengke Bateer,7,40,4,7,0,0,0,8,1,1,0,2,8,2004
Tony Battie,73,1478,170,384,2,66,89,359,58,26,67,63,408,2004
Shane Battier,79,1947,242,543,65,120,164,303,101,101,58,56,669,2004
Lonny Baxter,62,766,103,209,1,44,76,187,20,17,29,38,251,2004
Jerome Beasley,2,5,1,3,0,0,0,1,0,0,0,0,2,2004
Raja Bell,82,2020,329,805,62,195,248,241,107,63,13,111,915,2004
Troy Bell,6,34,4,18,0,3,3,4,4,1,0,6,11,2004
Jonathan Bender,21,271,50,106,9,39,47,40,9,5,11,33,148,2004
Travis Best,61,762,64,172,3,40,46,68,112,31,4,33,171,2004
Mike Bibby,82,2980,527,1170,148,304,373,277,444,112,18,175,1506,2004
Chauncey Billups,78,2758,392,996,130,404,460,276,446,84,8,189,1318,2004
Steve Blake,75,1392,157,407,75,55,67,117,209,57,7,128,444,2004
Corie Blount,62,1050,115,253,0,15,27,275,55,49,24,43,245,2004
Mark Blount,82,2402,342,604,0,159,221,589,75,80,106,150,843,2004
Keith Bogans,73,1787,183,454,67,65,103,317,98,46,10,75,498,2004
Calvin Booth,71,1206,135,290,0,75,94,280,28,17,101,45,345,2004
Carlos Boozer,75,2592,471,900,1,219,285,857,148,74,55,134,1162,2004
Curtis Borchardt,16,258,22,56,0,14,18,54,15,4,14,18,58,2004
Chris Bosh,75,2510,327,712,5,202,288,557,78,59,106,107,861,2004
Ruben Boumtje-Boumtje,9,26,1,5,0,2,2,1,1,0,1,0,4,2004
Bruce Bowen,82,2624,211,502,77,66,114,253,113,84,33,90,565,2004
Ryan Bowen,52,392,18,53,0,10,12,87,18,18,16,6,46,2004
Earl Boykins,82,1849,321,766,55,142,162,143,295,51,3,100,839,2004
Michael Bradley,16,98,7,15,0,1,2,23,1,3,0,7,15,2004
Shawn Bradley,66,773,89,188,0,41,49,173,20,33,74,17,219,2004
Torraye Braggs,15,154,16,33,0,8,12,39,7,4,2,13,40,2004
Elton Brand,69,2670,484,982,0,411,532,714,227,64,154,193,1379,2004
J.R. Bremer,36,443,43,158,19,13,20,36,51,18,4,24,118,2004
Jamison Brewer,13,160,13,35,5,1,6,11,17,7,0,10,32,2004
Primož Brezec,18,72,12,26,0,4,6,15,3,0,3,6,28,2004
Damone Brown,3,17,1,10,0,1,2,5,0,2,0,1,3,2004
Devin Brown,58,627,85,196,4,60,74,130,33,15,4,38,234,2004
Kedrick Brown,55,969,117,254,38,17,27,146,64,30,7,29,289,2004
Kwame Brown,74,2239,288,589,1,228,334,550,112,66,52,140,805,2004
P.J. Brown,80,2753,339,712,0,158,185,690,155,78,73,101,836,2004
Tierre Brown,3,17,2,4,0,2,4,1,2,0,0,7,6,2004
Rick Brunson,40,412,40,105,11,27,31,37,82,25,3,33,118,2004
Kobe Bryant*,65,2447,516,1178,71,454,533,359,330,112,28,171,1557,2004
Greg Buckner,53,703,66,175,12,20,27,103,45,21,4,34,164,2004
Rodney Buford,22,141,19,56,0,3,6,15,7,6,1,4,41,2004
Caron Butler,68,2030,240,631,10,133,176,326,126,75,13,91,623,2004
Mitchell Butler,41,552,54,124,11,15,24,71,32,22,4,24,134,2004
Rasual Butler,45,675,119,250,50,16,21,61,23,10,13,28,304,2004
Žarko Čabarkapa,49,570,81,197,6,35,53,99,40,10,13,54,203,2004
Marcus Camby,72,2162,262,549,0,98,136,727,132,86,187,98,622,2004
Elden Campbell,65,892,138,314,0,85,124,209,45,21,50,63,361,2004
Brian Cardinal,76,1634,220,466,55,238,271,317,103,66,20,84,733,2004
Matt Carroll,16,70,7,16,1,4,6,6,2,1,0,6,19,2004
Anthony Carter,5,87,11,37,0,0,0,11,12,4,0,12,22,2004
Maurice Carter,10,110,11,35,4,16,20,11,4,0,0,9,42,2004
Vince Carter,73,2785,608,1457,93,336,417,349,348,88,65,223,1645,2004
Sam Cassell,81,2838,620,1270,74,289,331,271,592,102,18,220,1603,2004
Kelvin Cato,69,1743,161,360,0,96,142,472,72,52,96,84,418,2004
Tyson Chandler,35,782,67,158,0,79,118,270,23,17,43,38,213,2004
Calbert Cheaney,79,2067,278,578,0,47,77,260,136,60,12,85,603,2004
Doug Christie,82,2780,317,688,49,148,172,329,347,151,41,155,831,2004
Keon Clark,2,27,2,6,0,0,0,7,1,1,0,0,4,2004
Speedy Claxton,60,1595,224,524,4,182,224,156,267,97,9,102,634,2004
Mateen Cleaves,4,92,7,23,0,1,2,7,19,4,2,5,15,2004
Derrick Coleman,34,843,107,259,8,49,65,192,46,23,26,57,271,2004
Bimbo Coles,22,170,12,34,0,4,6,10,15,3,0,9,28,2004
Jason Collier,20,545,79,165,1,67,85,111,17,11,11,31,226,2004
Jarron Collins,81,1732,147,295,0,188,262,316,77,26,18,79,482,2004
Jason Collins,78,2220,163,384,0,136,184,400,153,67,56,97,462,2004
Brian Cook,35,442,67,141,0,21,28,101,20,16,16,17,155,2004
Omar Cook,17,139,7,27,0,0,0,6,24,10,0,10,14,2004
Chris Crawford,56,1207,211,471,44,103,119,175,45,37,20,55,569,2004
Jamal Crawford,80,2811,509,1318,165,200,240,283,405,111,29,193,1383,2004
Austin Croshere,77,1051,119,307,56,93,104,243,52,24,14,55,387,2004
Eddy Curry,73,2154,417,840,1,235,350,451,68,24,83,177,1070,2004
Michael Curry,70,1229,76,196,3,49,58,87,53,23,5,48,204,2004
Samuel Dalembert,82,2197,270,499,0,112,174,626,21,44,189,86,652,2004
Erick Dampier,74,2403,348,650,0,217,332,887,60,33,137,131,913,2004
Antonio Daniels,71,1512,187,398,42,155,184,142,298,45,6,61,571,2004
Marquis Daniels,56,1039,203,411,11,60,78,146,116,53,12,44,477,2004
Antonio Davis,80,2570,266,660,0,176,230,671,137,37,65,114,708,2004
Baron Davis,67,2686,554,1402,187,237,352,287,501,158,27,215,1532,2004
Dale Davis,76,1682,133,281,0,65,106,398,72,43,62,40,331,2004
Hubert Davis,17,78,1,11,0,2,2,8,4,2,0,3,4,2004
Josh Davis,4,23,2,5,0,1,1,5,0,0,0,2,5,2004
Ricky Davis,79,2474,446,950,52,196,273,358,259,96,22,189,1140,2004
Andrew DeClercq,71,1211,93,195,0,44,54,317,44,47,32,54,230,2004
Tony Delk,33,509,70,184,20,37,44,59,28,27,7,17,197,2004
Derrick Dial,9,86,9,28,2,6,8,13,2,6,0,1,26,2004
Boris Diaw,76,1919,140,313,6,56,93,342,182,59,37,126,342,2004
Dan Dickau,43,294,37,98,10,11,14,26,38,17,0,26,95,2004
Kaniel Dickens,3,12,3,3,0,1,2,2,0,0,0,1,7,2004
DeSagana Diop,56,730,57,147,0,12,20,199,34,26,51,29,126,2004
Vlade Divac*,81,2317,314,668,2,170,260,463,432,57,77,173,800,2004
Juan Dixon,71,1478,247,637,59,111,139,148,137,82,4,104,664,2004
Michael Doleac,72,1029,140,322,0,45,52,265,44,23,36,48,325,2004
Keyon Dooling,58,1137,137,352,8,78,94,79,130,45,6,65,360,2004
Bryce Drew,15,78,4,18,1,3,3,6,13,4,0,8,12,2004
Predrag Drobnjak,61,949,149,379,11,73,86,196,39,22,24,48,382,2004
Tim Duncan*,69,2527,592,1181,2,352,588,859,213,62,185,183,1538,2004
Mike Dunleavy,75,2336,323,720,94,137,185,442,220,68,13,143,877,2004
Ronald Dupree,47,893,111,282,4,66,105,167,55,32,18,51,292,2004
Ndudi Ebi,17,32,6,14,0,1,4,3,3,0,4,3,13,2004
Howard Eisley,67,1457,166,451,52,76,89,129,273,56,5,98,460,2004
Francisco Elson,62,875,94,199,0,30,45,203,32,35,39,35,218,2004
Melvin Ely,42,510,66,153,0,25,42,101,22,9,17,20,157,2004
Reggie Evans,75,1280,67,165,0,83,148,408,33,54,10,65,217,2004
Desmond Ferguson,7,32,5,12,3,0,2,4,1,0,0,1,13,2004
Michael Finley,72,2778,514,1159,150,164,193,325,212,84,39,83,1342,2004
Derek Fisher,82,1769,203,576,52,122,153,152,187,103,4,79,580,2004
Marcus Fizer,46,738,134,350,2,90,120,202,43,16,8,51,360,2004
Alton Ford,9,41,6,11,0,3,6,11,3,0,1,3,15,2004
T.J. Ford,55,1472,153,398,5,80,98,177,356,60,3,139,391,2004
Danny Fortson,56,625,71,139,0,75,92,250,9,12,11,37,217,2004
Jeff Foster,82,1961,197,362,0,103,154,610,64,71,27,60,497,2004
Tremaine Fowlkes,36,261,15,48,1,13,18,53,14,9,3,12,44,2004
Rick Fox,38,846,73,186,15,22,30,102,98,29,4,48,183,2004
Adonal Foyle,44,572,59,130,0,19,35,167,17,6,46,21,137,2004
Richie Frahm,54,469,63,139,34,23,26,56,24,16,4,7,183,2004
Steve Francis,79,3194,450,1117,73,337,435,433,493,139,35,294,1310,2004
Hiram Fuller,4,43,3,8,0,2,6,11,2,0,1,4,8,2004
Dan Gadzuric,75,1260,183,349,0,58,118,346,28,51,105,45,424,2004
Reece Gaines,38,364,25,86,3,16,25,39,40,11,2,18,69,2004
Alex Garcia,2,13,1,7,0,1,2,0,0,2,0,1,3,2004
Kevin Garnett*,82,3231,804,1611,11,368,465,1139,409,120,178,212,1987,2004
Pat Garrity,2,22,1,3,0,0,0,0,1,0,0,0,2,2004
Pau Gasol,78,2458,506,1049,4,365,511,600,198,44,132,187,1381,2004
Devean George,82,1951,233,571,65,73,96,332,112,81,38,88,604,2004
Eddie Gill,22,157,15,36,3,17,20,17,16,9,1,12,50,2004
Kendall Gill,56,1411,215,548,9,100,136,190,89,65,16,83,539,2004
Manu Ginóbili,77,2260,330,789,88,239,298,344,291,136,16,161,987,2004
Gordan Giriček,73,2041,316,724,60,135,158,226,122,56,15,103,827,2004
Dion Glover,69,1643,230,589,40,120,156,266,130,50,19,102,620,2004
Anthony Goldwire,11,85,7,22,2,1,1,7,11,5,0,3,17,2004
Drew Gooden,79,2134,369,829,9,167,262,516,89,62,72,126,914,2004
Brian Grant,76,2303,289,613,0,86,110,524,69,51,35,82,664,2004
Horace Grant,55,1106,92,224,0,39,54,233,71,24,21,29,223,2004
Paul Grant,10,98,11,23,0,3,8,17,3,1,1,7,25,2004
Willie Green,53,767,143,357,19,59,81,65,53,26,5,59,364,2004
Adrian Griffin,19,133,5,18,1,0,4,19,10,7,2,3,11,2004
Tom Gugliotta,55,819,70,203,1,20,28,187,63,31,12,39,161,2004
Marcus Haislip,31,263,36,74,1,20,28,53,4,6,12,9,93,2004
Darvin Ham,54,484,37,75,1,21,35,93,16,13,8,31,96,2004
Richard Hamilton,78,2772,530,1166,18,297,342,279,310,103,17,210,1375,2004
Zendon Hamilton,46,473,51,95,0,67,96,146,13,8,8,27,169,2004
Ben Handlogten,17,172,25,47,0,18,27,55,6,3,4,10,68,2004
Travis Hansen,41,507,46,130,9,22,27,70,19,10,9,15,123,2004
Anfernee Hardaway,76,2095,279,679,30,111,138,287,176,70,20,107,699,2004
Matt Harpring,31,1134,193,410,8,108,157,247,63,22,2,65,502,2004
Al Harrington,79,2441,421,909,21,185,252,508,131,80,22,163,1048,2004
Othella Harrington,56,872,100,202,0,58,78,177,29,12,14,65,258,2004
Lucious Harris,69,1504,187,463,38,66,78,140,135,41,2,53,478,2004
Jason Hart,53,660,71,159,2,33,43,79,81,28,5,29,177,2004
Donnell Harvey,60,783,89,201,0,61,83,164,21,24,27,45,239,2004
Udonis Haslem,75,1795,205,447,0,140,183,473,51,33,24,74,550,2004
Trenton Hassell,81,2264,177,381,4,48,61,257,133,36,54,46,406,2004
Jarvis Hayes,70,2044,278,695,40,77,98,264,106,71,11,110,673,2004
Brendan Haywood,77,1484,200,388,0,137,234,387,43,32,100,80,537,2004
Shane Heal,6,72,7,24,4,4,5,4,5,1,0,5,22,2004
Alan Henderson,6,68,10,21,0,4,6,21,2,1,2,3,24,2004
Nenê,77,2504,334,630,0,240,352,503,168,116,41,183,908,2004
Tyrone Hill,5,38,3,5,0,3,4,8,0,0,1,2,9,2004
Kirk Hinrich,76,2706,318,823,144,135,168,259,517,101,21,204,915,2004
Fred Hoiberg,79,1804,178,383,76,98,116,268,109,66,10,44,530,2004
Robert Horry,81,1290,141,348,41,69,107,272,101,48,49,55,392,2004
Eddie House,60,1188,161,449,51,36,45,138,148,65,4,63,409,2004
Allan Houston,50,1799,340,781,87,157,172,121,99,38,2,102,924,2004
Josh Howard,67,1589,229,532,20,97,138,368,97,69,54,67,575,2004
Juwan Howard,81,2877,529,1169,0,318,393,570,158,54,22,178,1376,2004
Troy Hudson,29,503,80,207,31,27,33,35,70,7,0,34,218,2004
Larry Hughes,61,2061,401,1009,79,267,335,326,148,95,26,152,1148,2004
