name,games,minutes,fg,fga,3p,ft,fta,reb,ast,stl,blk,to,pts,year
Precious Achiuwa,61,737,124,228,0,56,110,208,29,20,28,43,304,2021
Jaylen Adams,7,18,1,8,0,0,0,3,2,0,0,0,2,2021
Steven Adams,58,1605,189,308,0,60,135,514,111,54,38,78,438,2021
Bam Adebayo,64,2143,456,800,2,283,354,573,346,75,66,169,1197,2021
LaMarcus Aldridge,26,674,140,296,31,41,47,118,49,11,29,27,352,2021
Ty-Shon Alexander,15,47,3,12,2,1,2,10,6,0,1,3,9,2021
Nickeil Alexander-Walker,46,1007,192,458,76,48,66,144,102,47,22,69,508,2021
Grayson Allen,50,1259,173,414,107,79,91,160,108,46,8,48,532,2021
Jarrett Allen,63,1864,298,482,6,204,290,631,106,32,90,100,806,2021
Al-Farouq Aminu,23,434,38,99,8,18,22,110,31,19,9,28,102,2021
Kyle Anderson,69,1887,308,658,94,144,184,396,250,84,57,86,854,2021
Giannis Antetokounmpo,61,2013,626,1100,67,398,581,671,357,72,73,207,1717,2021
Kostas Antetokounmpo,15,56,3,10,0,6,13,19,1,2,4,11,12,2021
Thanasis Antetokounmpo,57,551,67,137,7,25,49,124,46,22,10,43,166,2021
Carmelo Anthony,69,1690,327,777,133,137,154,214,104,46,38,61,924,2021
Cole Anthony,47,1273,219,552,58,109,131,221,192,30,18,106,605,2021
OG Anunoby,43,1433,249,519,104,80,102,237,94,66,32,75,682,2021
Ryan Arcidiacono,44,450,49,117,25,13,20,67,56,9,0,10,136,2021
Trevor Ariza,30,841,99,241,50,34,44,144,55,31,18,21,282,2021
D.J. Augustin,57,1129,135,343,83,85,94,94,188,28,1,65,438,2021
Deni Avdija,54,1257,130,312,53,29,45,262,63,32,15,33,342,2021
Deandre Ayton,69,2115,430,687,4,133,173,727,99,41,81,103,997,2021
Udoka Azubuike,15,57,4,9,0,8,10,13,0,1,4,3,16,2021
Dwayne Bacon,72,1853,292,726,59,145,176,224,93,45,5,46,788,2021
Marvin Bagley III,43,1112,247,490,37,77,134,318,43,21,21,59,608,2021
LaMelo Ball,51,1469,293,672,92,125,165,302,313,81,18,145,803,2021
Lonzo Ball,55,1747,290,700,172,50,64,263,316,82,31,123,802,2021
Mo Bamba,46,725,142,301,38,45,66,265,35,14,58,36,367,2021
Desmond Bane,68,1519,234,499,117,40,49,210,118,41,16,59,625,2021
Harrison Barnes,58,2102,319,642,100,195,235,385,201,43,11,93,933,2021
RJ Barrett,72,2511,467,1060,124,206,276,414,217,53,20,139,1264,2021
Will Barton,56,1736,259,608,98,95,121,226,181,50,23,96,711,2021
Keita Bates-Diop,30,245,30,67,5,14,21,49,12,11,5,7,79,2021
Nicolas Batum,67,1835,191,412,110,48,58,316,148,69,37,53,540,2021
Aron Baynes,53,980,134,304,27,29,41,273,47,17,23,46,324,2021
Kent Bazemore,67,1333,176,392,75,54,78,229,108,69,33,82,481,2021
Darius Bazley,55,1714,273,690,83,125,178,396,99,29,25,122,754,2021
Bradley Beal,60,2147,670,1382,130,408,459,283,265,69,22,187,1878,2021
Malik Beasley,37,1214,264,600,128,68,80,162,88,30,7,60,724,2021
Jordan Bell,6,82,7,22,0,1,2,24,7,3,5,4,15,2021
DeAndre' Bembry,51,972,117,228,14,45,66,146,107,53,18,71,293,2021
Dāvis Bertāns,57,1464,193,478,169,100,115,168,49,33,13,33,655,2021
Patrick Beverley,37,832,93,220,56,36,45,119,76,29,28,34,278,2021
Saddiq Bey,70,1909,279,691,175,124,147,318,95,52,14,60,857,2021
Tyler Bey,18,71,7,22,1,3,5,19,3,0,1,3,18,2021
Khem Birch,67,1529,189,380,13,91,129,387,89,48,50,44,482,2021
Goga Bitadze,45,561,83,194,20,45,61,150,37,9,60,17,231,2021
Bismack Biyombo,66,1349,142,242,0,47,105,347,81,17,74,71,331,2021
Nemanja Bjelica,37,595,89,196,27,37,51,127,69,15,5,33,242,2021
Eric Bledsoe,71,2111,307,730,121,134,195,244,268,55,24,114,869,2021
Keljin Blevins,17,75,5,20,2,0,0,10,4,2,0,5,12,2021
Bogdan Bogdanović,44,1305,267,565,146,40,44,160,147,49,13,54,720,2021
Bojan Bogdanović,72,2216,406,925,180,233,265,281,136,45,4,128,1225,2021
Bol Bol,32,160,25,58,9,10,15,24,7,3,10,13,69,2021
Marques Bolden,6,29,1,3,0,5,8,6,0,2,2,2,7,2021
