name,games,minutes,fg,fga,3p,ft,fta,reb,ast,stl,blk,to,pts,year
Quincy Acy,59,876,119,214,19,50,68,188,27,29,24,27,307,2016
Jordan Adams,2,15,2,6,0,3,5,2,3,3,0,2,7,2016
Steven Adams,80,2014,261,426,0,114,196,533,62,42,89,84,636,2016
Arron Afflalo,71,2371,354,799,91,110,131,266,144,25,10,82,909,2016
Alexis Ajinça,59,861,150,315,0,52,62,269,31,19,36,54,352,2016
Cole Aldrich,60,800,134,225,0,60,84,288,50,47,68,64,328,2016
LaMarcus Aldridge,74,2261,536,1045,0,259,302,632,110,38,81,99,1331,2016
Cliff Alexander,8,36,5,10,0,0,0,6,0,1,2,1,10,2016
Lavoy Allen,79,1599,191,370,0,46,73,424,76,26,42,69,428,2016
Tony Allen,64,1620,215,469,15,90,138,296,70,110,18,78,535,2016
Al-Farouq Aminu,82,2341,299,719,126,115,156,499,138,72,53,120,839,2016
Lou Amundson,29,204,19,53,0,14,27,49,12,6,7,15,52,2016
Chris Andersen,27,402,38,72,4,25,36,98,12,15,13,9,105,2016
Alan Anderson,13,192,21,59,12,11,15,27,14,4,1,2,65,2016
James Anderson,51,721,67,178,23,22,29,86,41,21,14,42,179,2016
Justin Anderson,55,647,71,175,22,44,55,132,29,19,25,24,208,2016
Kyle Anderson,78,1245,138,295,12,62,83,244,123,60,29,59,350,2016
Ryan Anderson,66,2008,397,929,131,199,228,396,73,38,25,90,1124,2016
Giannis Antetokounmpo,80,2823,513,1013,28,296,409,612,345,94,113,208,1350,2016
Thanasis Antetokounmpo,2,6,3,4,0,0,0,1,0,0,0,0,6,2016
Carmelo Anthony,72,2530,567,1307,105,334,403,556,299,62,38,176,1573,2016
Joel Anthony,19,96,6,10,0,6,8,21,1,2,12,2,18,2016
Keith Appling,5,27,2,8,0,2,2,1,1,1,0,3,6,2016
Trevor Ariza,81,2859,357,859,185,126,161,366,188,160,26,113,1025,2016
Darrell Arthur,70,1516,221,489,45,40,53,293,96,53,48,66,527,2016
Ömer Aşık,68,1178,104,195,0,61,112,414,26,21,23,60,269,2016
D.J. Augustin,62,1178,148,350,68,103,128,95,198,38,4,84,467,2016
Jeff Ayres,17,107,12,23,0,6,6,22,5,0,3,6,30,2016
Luke Babbitt,47,845,122,289,44,39,50,148,53,11,7,23,327,2016
Cameron Bairstow,18,103,13,40,1,7,8,28,6,2,3,4,34,2016
Leandro Barbosa,68,1079,171,370,39,52,62,117,82,44,10,53,433,2016
J.J. Barea,74,1667,317,711,100,74,96,152,302,26,2,113,808,2016
Andrea Bargnani,46,634,127,279,3,47,57,97,18,4,9,26,304,2016
Harrison Barnes,66,2042,295,633,82,102,134,325,117,41,10,57,774,2016
Matt Barnes,76,2190,264,693,119,111,138,420,163,78,57,121,758,2016
Will Barton,82,2353,425,983,112,216,268,476,203,71,39,139,1178,2016
Brandon Bass,66,1342,174,317,0,125,148,285,74,33,55,42,473,2016
Nicolas Batum,70,2448,372,873,139,163,192,428,403,65,43,205,1046,2016
Jerryd Bayless,52,1505,185,437,101,70,90,141,163,47,11,73,541,2016
Aron Baynes,81,1233,194,384,0,126,165,384,51,21,52,67,514,2016
Kent Bazemore,75,2083,320,725,109,123,151,379,171,98,38,138,872,2016
Bradley Beal,55,1708,359,799,105,135,176,188,162,54,11,112,958,2016
Michael Beasley,20,363,107,205,3,38,49,98,16,11,9,24,255,2016
Marco Belinelli,68,1672,245,635,91,115,138,117,127,37,2,80,696,2016
Anthony Bennett,19,84,8,27,3,9,10,23,0,5,0,4,28,2016
Patrick Beverley,71,2041,258,594,124,60,88,250,239,94,26,91,700,2016
Bismack Biyombo,82,1808,156,288,0,142,226,655,29,19,133,71,454,2016
Nemanja Bjelica,60,1075,110,235,48,40,55,210,83,26,21,47,308,2016
Tarik Black,39,496,57,104,0,19,45,157,16,14,18,22,133,2016
DeJuan Blair,29,218,28,68,0,5,13,57,11,8,2,15,61,2016
Steve Blake,58,986,93,240,52,16,20,89,200,24,5,81,254,2016
Eric Bledsoe,31,1059,223,492,48,138,172,125,190,63,19,110,632,2016
Bojan Bogdanović,79,2115,324,749,129,110,132,255,99,29,5,115,887,2016
Andrew Bogut,70,1451,175,279,1,24,50,492,162,33,114,83,375,2016
Matt Bonner,30,206,29,57,15,3,4,27,9,6,1,3,76,2016
Devin Booker,76,2108,367,867,99,215,256,187,200,44,20,160,1048,2016
Trevor Booker,79,1632,190,388,12,71,106,452,84,59,41,81,463,2016
Chris Bosh,53,1778,358,767,81,213,268,390,128,36,34,78,1010,2016
Avery Bradley,76,2536,456,1019,147,96,123,220,158,117,19,109,1155,2016
Elton Brand,17,225,31,72,0,8,9,63,18,9,8,11,70,2016
Corey Brewer,82,1669,212,552,61,105,140,199,109,84,19,78,590,2016
Aaron Brooks,69,1108,188,469,66,49,64,101,180,30,10,82,491,2016
Anthony Brown,29,599,39,126,20,17,20,70,19,14,5,15,115,2016
Lorenzo Brown,8,61,8,25,1,3,4,7,11,3,1,9,20,2016
Markel Brown,62,982,127,322,38,71,94,122,91,38,15,54,363,2016
Kobe Bryant*,66,1863,398,1113,133,232,281,247,184,62,13,129,1161,2016
Chase Budinger,66,929,104,239,24,39,56,150,64,32,10,44,271,2016
Reggie Bullock,37,429,43,98,22,14,15,68,27,10,2,8,122,2016
Trey Burke,64,1366,262,634,88,67,82,112,148,35,6,80,679,2016
Alec Burks,31,797,137,334,32,106,141,109,63,18,4,51,412,2016
Caron Butler,17,176,25,59,3,10,12,22,10,9,1,3,63,2016
Jimmy Butler,67,2474,470,1035,64,395,475,358,321,110,43,132,1399,2016
Rasual Butler,46,432,49,104,15,11,16,56,24,13,23,8,124,2016
Bruno Caboclo,6,43,1,12,1,0,0,2,1,2,1,4,3,2016
José Calderón,72,2024,209,455,84,42,48,229,298,63,7,87,544,2016
Kentavious Caldwell-Pope,76,2789,403,960,114,185,228,282,138,110,17,105,1105,2016
Isaiah Canaan,77,1966,260,722,176,150,180,174,137,56,12,91,846,2016
Clint Capela,77,1471,231,397,0,80,211,494,47,59,92,60,542,2016
DeMarre Carroll,26,786,105,270,46,30,50,122,27,44,6,28,286,2016
Vince Carter,60,1005,133,343,59,70,84,146,56,38,16,35,395,2016
Michael Carter-Williams,54,1649,251,555,15,106,162,276,281,80,41,153,623,2016
Omri Casspi,69,1880,299,622,112,103,159,410,95,56,17,94,813,2016
Willie Cauley-Stein,66,1412,191,339,0,81,125,352,37,48,66,46,463,2016
Mario Chalmers,61,1373,182,444,46,218,262,157,230,88,13,110,628,2016
Tyson Chandler,66,1618,183,314,0,106,171,576,64,36,44,93,472,2016
Rakeem Christmas,1,6,2,2,0,0,0,1,0,0,0,0,4,2016
Ian Clark,66,578,89,202,30,28,34,68,64,17,13,43,236,2016
Coty Clarke,3,6,2,4,2,0,0,1,0,0,0,1,6,2016
Jordan Clarkson,79,2552,475,1098,111,164,204,313,192,88,7,135,1225,2016
Norris Cole,45,1198,196,484,33,52,65,151,167,37,5,75,477,2016
Darren Collison,74,2219,377,776,87,194,226,169,318,76,4,130,1035,2016
Nick Collison,59,699,50,109,0,23,33,171,52,15,16,50,123,2016
Mike Conley,56,1761,294,696,78,191,229,164,342,67,16,84,857,2016
Pat Connaughton,34,143,13,49,5,5,5,32,10,2,0,10,36,2016
Chris Copeland,24,156,17,51,10,6,7,10,11,2,0,6,50,2016
Bryce Cotton,8,39,4,10,0,0,0,0,3,3,0,5,8,2016
DeMarcus Cousins,65,2246,601,1332,70,476,663,747,214,101,92,249,1748,2016
Robert Covington,67,1903,274,712,170,140,177,419,97,105,40,143,858,2016
Allen Crabbe,81,2105,311,678,112,98,113,216,99,63,16,64,832,2016
Jamal Crawford,79,2126,379,939,117,245,271,145,183,52,12,113,1120,2016
Jae Crowder,73,2308,360,813,122,196,239,373,135,126,35,83,1038,2016
Dante Cunningham,80,1971,186,412,55,57,82,236,77,42,33,41,484,2016
Jared Cunningham,44,410,36,105,12,36,55,38,20,14,2,21,120,2016
Seth Curry,44,692,102,224,50,45,54,60,67,22,3,36,299,2016
Stephen Curry,79,2700,805,1598,402,363,400,430,527,169,15,262,2375,2016
Troy Daniels,43,476,89,187,59,5,9,57,21,11,3,24,242,2016
Anthony Davis,61,2164,560,1136,35,326,430,627,116,78,125,121,1481,2016
Ed Davis,81,1684,206,337,0,114,204,599,88,57,72,64,526,2016
Branden Dawson,6,29,2,5,0,1,1,4,0,0,1,0,5,2016
Dewayne Dedmon,58,705,99,177,0,57,76,228,13,22,46,32,255,2016
Bryce Dejean-Jones,14,279,28,69,12,11,21,48,15,10,2,11,79,2016
Matthew Dellavedova,76,1867,207,511,98,57,66,162,337,44,9,116,569,2016
Luol Deng,74,2394,339,745,88,145,192,443,140,74,29,81,911,2016
DeMar DeRozan,78,2804,614,1377,47,555,653,349,315,81,21,175,1830,2016
Boris Diaw,76,1386,202,383,25,56,76,233,176,26,21,97,485,2016
Gorgui Dieng,82,2220,308,579,6,205,248,585,143,94,96,140,827,2016
Spencer Dinwiddie,12,159,19,54,1,19,33,17,22,3,0,7,58,2016
Toney Douglas,61,1262,183,445,81,84,99,143,157,70,5,64,531,2016
Goran Dragić,72,2363,417,875,64,120,165,277,419,71,17,185,1018,2016
Andre Drummond,81,2666,552,1060,2,208,586,1198,67,119,112,155,1314,2016
Jared Dudley,81,2098,233,487,100,72,98,286,170,75,18,80,638,2016
Duje Dukan,1,24,2,10,2,0,0,4,1,1,0,0,6,2016
Tim Duncan*,61,1536,215,441,0,92,131,447,163,47,78,90,522,2016
Mike Dunleavy,31,703,77,188,39,29,37,83,39,14,10,26,222,2016
Kevin Durant,72,2578,698,1381,186,447,498,589,361,69,85,250,2029,2016
Cleanthony Early,17,154,12,40,4,3,4,26,6,2,3,9,31,2016
Jarell Eddie,26,147,20,65,15,8,8,23,5,5,1,1,63,2016
Wayne Ellington,76,1615,218,561,96,54,63,174,83,48,5,45,586,2016
Monta Ellis,81,2734,436,1021,87,162,206,271,383,150,37,203,1121,2016
James Ennis,22,329,54,113,26,25,34,42,21,16,5,19,159,2016
Tyler Ennis,46,654,84,187,13,25,34,75,95,25,1,46,206,2016
Jeremy Evans,30,251,26,48,4,15,21,54,2,6,9,7,71,2016
Tyreke Evans,25,765,136,314,33,74,93,129,164,32,8,73,379,2016
Festus Ezeli,46,770,125,228,0,70,132,257,32,18,50,38,320,2016
Kenneth Faried,67,1694,349,626,1,136,222,581,79,32,60,91,835,2016
Jordan Farmar,12,291,42,100,16,10,10,25,37,15,2,18,110,2016
Derrick Favors,62,1983,418,811,0,180,254,503,94,74,91,104,1016,2016
Cristiano Felício,31,321,40,72,0,25,35,102,26,6,13,13,105,2016
Raymond Felton,80,2192,277,682,60,149,176,258,284,68,15,121,763,2016
Evan Fournier,79,2566,429,929,156,199,238,225,213,96,2,133,1213,2016
Randy Foye,81,1642,169,482,75,61,74,156,161,39,29,86,474,2016
Tim Frazier,51,741,96,229,16,53,74,110,162,33,2,65,261,2016
Jimmer Fredette,6,18,2,5,1,4,5,0,1,1,0,2,9,2016
Channing Frye,70,1200,152,347,91,30,35,234,71,29,28,43,425,2016
Danilo Gallinari,53,1839,287,700,87,375,432,281,135,42,19,77,1036,2016
Langston Galloway,82,2033,231,588,77,86,114,288,207,77,22,61,625,2016
Kevin Garnett*,38,556,54,115,0,14,21,150,62,28,10,16,122,2016
Marc Gasol,52,1791,328,707,2,203,245,362,196,50,70,118,861,2016
Pau Gasol,72,2291,467,995,24,229,289,793,294,42,146,164,1187,2016
Rudy Gay,70,2379,466,1007,74,198,254,456,120,100,51,139,1204,2016
Alonzo Gee,73,1632,132,255,17,44,66,245,72,63,13,55,325,2016
Paul George,81,2819,605,1449,210,454,528,563,329,152,29,265,1874,2016
Taj Gibson,73,1936,263,500,0,101,146,504,106,47,77,78,627,2016
Manu Ginóbili,58,1134,197,435,70,91,112,146,177,66,11,99,555,2016
Rudy Gobert,61,1932,198,354,0,161,283,668,91,45,135,114,557,2016
Drew Gooden,30,305,33,103,7,9,14,85,13,8,11,13,82,2016
Archie Goodwin,57,1114,176,422,23,130,193,142,118,27,13,100,505,2016
Aaron Gordon,78,1863,274,579,42,129,193,507,128,59,55,66,719,2016
Eric Gordon,45,1481,231,552,113,111,125,99,121,43,14,73,686,2016
Marcin Gortat,75,2256,433,764,0,146,207,741,106,47,96,121,1012,2016
Andrew Goudelock,8,50,9,20,1,3,4,2,4,6,2,7,22,2016
Jerami Grant,77,2066,251,599,35,212,322,361,135,54,127,110,749,2016
Jerian Grant,76,1265,154,391,22,96,123,143,177,50,10,87,426,2016
Danny Green,79,2062,211,561,116,34,46,303,141,79,64,75,572,2016
Draymond Green,81,2808,401,819,100,229,329,769,598,119,113,259,1131,2016
Erick Green,9,42,5,13,1,2,2,6,3,1,0,0,13,2016
Gerald Green,69,1557,230,587,84,72,92,163,56,38,19,46,616,2016
JaMychal Green,78,1446,230,495,15,103,137,373,67,46,33,83,578,2016
Jeff Green,80,2253,354,824,67,164,220,332,138,58,40,93,939,2016
Blake Griffin,35,1170,301,603,6,141,194,294,170,28,17,83,749,2016
Jorge Gutiérrez,12,63,6,11,0,10,11,7,17,3,0,6,22,2016
P.J. Hairston,66,1313,145,408,70,50,64,174,38,32,11,41,410,2016
Jordan Hamilton,11,304,49,116,13,14,21,62,25,8,3,17,125,2016
Tyler Hansbrough,44,343,32,71,2,38,65,89,8,12,7,12,104,2016
Tim Hardaway Jr.,51,864,114,265,48,50,56,86,51,21,7,23,326,2016
James Harden,82,3125,710,1617,236,720,837,501,612,139,51,374,2376,2016
Maurice Harkless,78,1457,195,411,39,69,111,280,67,49,35,62,498,2016
Justin Harper,5,35,4,10,4,1,2,1,0,1,0,2,13,2016
Montrezl Harrell,39,379,58,90,0,24,46,65,17,11,11,17,140,2016
Devin Harris,64,1280,167,374,52,101,140,138,118,60,13,66,487,2016
Gary Harris,76,2439,359,765,105,109,133,220,147,97,18,98,932,2016
Joe Harris,5,15,1,4,1,0,0,3,2,0,0,1,3,2016
Tobias Harris,76,2513,417,889,80,202,243,510,169,65,40,108,1116,2016
Aaron Harrison,21,93,5,19,3,5,12,15,2,6,0,4,18,2016
Udonis Haslem,37,260,23,61,1,12,16,75,14,5,2,5,59,2016
Spencer Hawes,57,1035,124,306,38,54,65,244,109,22,27,58,340,2016
