name,games,minutes,fg,fga,3p,ft,fta,reb,ast,stl,blk,to,pts,year
Mahmoud Abdul-Rauf,57,2029,414,955,121,146,157,138,389,64,3,115,1095,1996
Michael Adams,21,329,37,83,14,26,35,22,67,21,4,25,114,1996
Rafael Addison,53,516,77,165,0,17,22,90,30,9,9,27,171,1996
Cory Alexander,60,560,63,155,26,16,25,42,121,27,2,68,168,1996
Jerome Allen,41,362,36,105,10,26,36,25,49,21,5,34,108,1996
Derrick Alston,73,1614,198,387,1,55,112,302,61,56,52,59,452,1996
John Amaechi,28,357,29,70,0,19,33,52,9,6,11,34,77,1996
Ashraf Amaya,54,1104,121,252,0,97,149,303,33,22,10,57,339,1996
Greg Anderson,46,344,24,47,0,6,25,100,10,9,24,22,54,1996
Kenny Anderson,69,2344,349,834,92,260,338,203,575,111,14,146,1050,1996
Nick Anderson,77,2717,400,904,168,166,240,415,279,121,46,141,1134,1996
Willie Anderson,76,2060,288,660,34,132,163,246,197,75,59,143,742,1996
Greg Anthony,69,2096,324,781,90,229,297,174,476,116,11,160,967,1996
B.J. Armstrong,82,2262,340,727,98,234,279,184,401,68,6,128,1012,1996
Darrell Armstrong,13,41,16,32,6,4,4,2,5,6,0,6,42,1996
Vincent Askew,69,1725,215,436,29,123,161,218,163,47,15,96,582,1996
Keith Askins,75,1897,157,391,99,45,57,324,121,48,61,82,458,1996
Stacey Augmon,77,2294,362,738,1,251,317,304,137,106,31,138,976,1996
Anthony Avent,71,1586,179,466,0,57,77,355,69,30,42,107,415,1996
Vin Baker,82,3319,699,1429,10,321,479,808,212,68,91,216,1729,1996
Steve Bardo,9,123,9,23,0,4,6,22,15,4,1,5,22,1996
Charles Barkley*,71,2632,580,1160,49,440,566,821,262,114,56,218,1649,1996
Dana Barros,80,2328,379,806,150,130,147,192,306,58,3,120,1038,1996
Brent Barry,79,1898,283,597,123,111,137,168,230,95,22,120,800,1996
Jon Barry,68,712,91,185,44,31,37,63,85,33,11,42,257,1996
Corey Beck,5,33,2,8,0,1,2,7,5,1,0,4,5,1996
Benoit Benjamin,83,1896,294,590,0,140,194,539,64,45,85,144,728,1996
Elmer Bennett,8,66,4,17,0,3,4,5,8,1,1,7,11,1996
Mario Bennett,19,230,29,64,0,27,42,49,6,11,11,11,85,1996
David Benoit,81,1961,255,581,64,87,112,383,82,43,49,71,661,1996
Travis Best,59,571,69,163,8,75,90,44,97,20,3,63,221,1996
