name,games,minutes,fg,fga,3p,ft,fta,reb,ast,stl,blk,to,pts,year
Alaa Abdelnaby,54,506,118,231,0,20,35,114,13,15,12,45,256,1995
Mahmoud Abdul-Rauf,73,2082,472,1005,83,138,156,137,263,77,9,119,1165,1995
Michael Adams,29,443,67,148,29,25,30,29,95,23,1,26,188,1995
Rafael Addison,79,1776,279,586,24,74,99,242,109,53,25,76,656,1995
Danny Ainge,74,1374,194,422,78,105,130,109,210,46,7,79,571,1995
Victor Alexander,50,1237,230,447,6,36,60,291,60,28,29,76,502,1995
Derrick Alston,64,1032,120,258,0,59,120,219,33,39,35,53,299,1995
Greg Anderson,51,622,57,104,0,34,71,188,17,23,32,32,148,1995
Kenny Anderson,72,2689,411,1031,97,348,414,250,680,103,14,225,1267,1995
Nick Anderson,76,2588,439,923,179,143,203,335,314,125,22,141,1200,1995
Willie Anderson,38,556,76,162,3,30,41,55,52,26,10,38,185,1995
Greg Anthony,61,943,128,293,56,60,76,64,160,50,7,57,372,1995
B.J. Armstrong,82,2577,418,894,108,206,233,186,244,84,8,103,1150,1995
Darrell Armstrong,3,8,3,8,2,2,2,1,3,1,0,1,10,1995
Vincent Askew,71,1721,248,504,31,176,238,181,176,49,13,85,703,1995
Keith Askins,50,854,81,207,21,46,57,198,39,35,17,25,229,1995
Stacey Augmon,76,2362,397,876,7,252,346,368,197,100,47,152,1053,1995
Anthony Avent,71,1066,105,244,0,48,75,293,41,28,50,53,258,1995
Vin Baker,82,3361,594,1229,7,256,432,846,296,86,116,221,1451,1995
Charles Barkley*,68,2382,554,1141,74,379,507,756,276,110,45,150,1561,1995
Dana Barros,82,3318,571,1165,197,347,386,274,619,149,4,242,1686,1995
Jon Barry,52,602,57,134,16,61,80,49,85,30,4,41,191,1995
John Battle,28,280,43,114,11,19,26,11,37,8,1,17,116,1995
Sergei Bazarevich,10,74,11,22,1,7,9,7,14,1,1,7,30,1995
Benoit Benjamin,61,1598,271,531,0,133,175,440,38,23,64,125,675,1995
Elmer Bennett,4,18,6,11,0,3,4,1,3,4,0,3,15,1995
Tony Bennett,3,46,6,13,2,0,0,2,4,0,0,3,14,1995
David Benoit,71,1841,285,587,38,132,157,368,58,45,47,75,740,1995
James Blackwell,13,80,8,13,0,2,3,11,11,4,0,5,18,1995
Mookie Blaylock,80,3069,509,1198,199,156,214,393,616,200,26,242,1373,1995
Corie Blount,68,889,100,210,0,38,67,240,60,26,33,59,238,1995
Muggsy Bogues,78,2629,348,730,6,160,180,257,675,103,0,132,862,1995
Manute Bol,5,81,6,10,3,0,0,12,0,0,9,1,15,1995
Walter Bond,23,290,39,84,15,14,20,32,24,6,4,17,107,1995
Anthony Bonner,58,1126,88,193,1,44,67,262,80,48,23,79,221,1995
Anthony Bowie,77,1261,177,369,12,61,73,139,159,47,21,86,427,1995
Sam Bowie,67,1225,118,267,2,68,89,288,118,21,80,91,306,1995
Shawn Bradley,82,2365,315,693,0,148,232,659,53,54,274,142,778,1995
Terrell Brandon,67,1961,341,762,48,159,186,186,363,107,14,144,889,1995
Tim Breaux,42,340,45,121,6,32,49,34,15,11,4,16,128,1995
Scott Brooks,59,808,126,275,25,64,79,66,116,34,4,47,341,1995
Chucky Brown,41,814,105,174,1,38,62,189,30,11,14,29,249,1995
Dee Brown,79,2792,437,977,126,236,277,249,301,110,49,146,1236,1995
Mike Brown,27,213,10,40,0,15,27,45,10,7,0,16,35,1995
P.J. Brown,80,2466,254,570,4,139,207,487,135,69,135,80,651,1995
Randy Brown,67,1086,124,287,14,55,82,108,133,99,19,78,317,1995
Mark Bryant,49,658,101,192,1,41,63,161,28,19,16,39,244,1995
Jud Buechler,57,605,90,183,15,22,39,98,50,24,12,30,217,1995
Scott Burrell,65,2014,277,593,96,100,144,368,161,75,40,85,750,1995
Willie Burton,53,1564,243,606,106,220,267,164,96,32,19,122,812,1995
Mitchell Butler,76,1554,214,508,46,123,185,170,91,61,10,106,597,1995
Michael Cage,82,2040,177,340,0,53,88,564,56,61,67,56,407,1995
Adrian Caldwell,7,30,1,4,0,3,6,10,0,1,0,1,5,1995
Elden Campbell,73,2076,360,785,0,193,290,445,92,69,132,98,913,1995
Tony Campbell,78,1128,161,392,15,132,159,153,69,32,8,65,469,1995
Antoine Carr,78,1677,290,546,1,165,201,265,67,24,68,87,746,1995
Bill Cartwright,29,430,27,69,0,15,24,87,10,6,3,18,69,1995
Sam Cassell,82,1882,253,593,63,214,254,211,405,94,14,167,783,1995
Duane Causwell,58,820,76,147,0,57,98,174,15,14,80,33,209,1995
Cedric Ceballos,58,2029,497,977,58,209,292,464,105,60,19,143,1261,1995
Tom Chambers,81,1240,195,427,4,109,135,213,73,25,30,52,503,1995
Rex Chapman,45,1468,254,639,86,137,159,113,128,67,15,62,731,1995
Calbert Cheaney,78,2651,512,1129,96,173,213,321,177,80,21,151,1293,1995
Pete Chilcutt,68,1347,146,328,35,31,42,317,66,25,43,61,358,1995
Chris Childs,53,1021,106,279,41,55,73,69,219,42,3,76,308,1995
Doug Christie,12,79,5,22,1,4,5,13,8,2,1,13,15,1995
Derrick Coleman,56,2103,371,875,28,376,490,591,187,35,94,172,1146,1995
Bimbo Coles,68,2207,261,607,16,141,174,191,416,99,13,156,679,1995
Steve Colter,57,752,67,169,8,54,71,59,101,30,6,36,196,1995
Marty Conlon,82,2064,344,647,8,119,194,426,110,42,18,123,815,1995
Tyrone Corbin,81,1389,205,464,14,78,114,262,67,55,16,74,502,1995
John Crotty,80,1019,93,231,11,98,121,97,205,39,6,70,295,1995
Corey Crowder,7,29,2,10,0,2,6,3,1,1,0,2,6,1995
Terry Cummings,76,1273,224,464,0,72,123,378,59,36,19,95,520,1995
Bill Curley,53,595,58,134,0,27,36,124,25,21,21,25,143,1995
Dell Curry,69,1718,343,778,154,95,111,168,113,55,18,98,935,1995
Lloyd Daniels,30,604,80,209,26,22,27,63,40,22,10,31,208,1995
Yinka Dare,1,3,0,1,0,0,0,1,0,0,0,1,0,1995
Antonio Davis,44,1030,109,245,0,117,174,280,25,19,29,64,335,1995
Dale Davis,74,2346,324,576,0,138,259,696,58,72,116,124,786,1995
Hubert Davis,82,1697,296,617,131,97,120,110,150,35,11,87,820,1995
Terry Davis,46,580,49,113,0,42,66,156,10,6,3,30,140,1995
Johnny Dawkins,50,1170,125,270,25,50,55,113,205,52,1,86,325,1995
Tony Dawson,2,13,3,8,1,1,1,3,1,0,0,2,8,1995
Todd Day,82,2717,445,1049,163,257,341,322,134,104,63,157,1310,1995
Terry Dehere,80,1774,279,685,48,229,292,152,225,45,7,157,835,1995
Vinny Del Negro,75,2360,372,766,66,128,162,192,226,61,14,56,938,1995
