name,games,minutes,fg,fga,3p,ft,fta,reb,ast,stl,blk,to,pts,year
Shareef Abdur-Rahim,80,2015,310,654,3,170,234,398,109,53,40,116,793,2007
Hassan Adams,61,495,75,135,0,24,36,77,13,17,4,22,174,2007
Maurice Ager,32,214,22,70,5,20,33,21,7,4,3,15,69,2007
LaMarcus Aldridge,63,1392,241,479,0,83,115,312,24,22,73,43,565,2007
Malik Allen,60,638,107,258,0,28,34,119,16,17,16,21,242,2007
Ray Allen*,55,2219,505,1153,165,279,309,247,228,82,11,154,1454,2007
Tony Allen,33,805,133,259,8,105,134,124,56,49,12,75,379,2007
Rafer Alston,82,3040,383,1020,192,130,177,282,444,129,10,170,1088,2007
Lou Amundson,11,89,6,15,0,4,10,28,1,1,8,5,16,2007
Alan Anderson,17,256,37,81,5,19,23,32,21,7,0,22,98,2007
Derek Anderson,50,1190,126,294,54,93,106,113,133,52,7,56,399,2007
Carmelo Anthony,65,2486,691,1453,40,459,568,391,249,77,23,234,1881,2007
Rafael Araújo,28,248,27,65,0,18,29,66,10,6,2,17,72,2007
Gilbert Arenas,74,2942,647,1548,205,606,718,338,443,139,13,236,2105,2007
Trevor Ariza,57,1278,200,371,0,106,171,249,65,59,19,84,506,2007
Darrell Armstrong,81,1275,156,377,72,73,93,135,191,70,6,76,457,2007
Hilton Armstrong,56,634,68,125,0,40,67,149,10,12,26,35,176,2007
Carlos Arroyo,72,1304,203,478,14,132,166,134,202,39,2,90,552,2007
Chucky Atkins,75,2064,310,715,116,252,311,139,346,50,4,127,988,2007
James Augustine,2,7,1,3,0,0,0,3,2,0,0,0,2,2007
Kelenna Azubuike,41,669,98,220,34,61,78,94,28,22,10,39,291,2007
Renaldo Balkman,68,1064,139,275,5,51,90,294,44,57,44,49,334,2007
Marcus Banks,45,503,84,196,5,48,60,38,60,23,3,40,221,2007
Leandro Barbosa,80,2613,529,1111,190,196,232,214,317,96,15,146,1444,2007
J.J. Barea,33,191,28,78,6,16,24,25,24,1,1,14,78,2007
Andrea Bargnani,65,1629,267,625,100,117,142,255,50,32,53,107,751,2007
Matt Barnes,76,1813,275,628,106,90,123,350,156,73,41,105,746,2007
Andre Barrett,6,29,4,8,0,0,0,5,7,0,0,4,8,2007
