name,games,minutes,fg,fga,3p,ft,fta,reb,ast,stl,blk,to,pts,year
Álex Abrines,68,1055,134,341,94,44,49,86,40,37,8,33,406,2017
Quincy Acy,38,558,70,170,37,45,60,115,18,14,15,21,222,2017
Steven Adams,80,2389,374,655,0,157,257,613,86,89,78,146,905,2017
Arron Afflalo,61,1580,185,420,62,83,93,125,78,21,6,42,515,2017
Alexis Ajinça,39,584,89,178,0,29,40,177,12,20,22,31,207,2017
Cole Aldrich,62,531,45,86,0,15,22,158,25,25,23,17,105,2017
LaMarcus Aldridge,72,2335,500,1049,23,220,271,523,139,46,88,98,1243,2017
Lavoy Allen,61,871,77,168,0,23,33,219,57,18,24,29,177,2017
Tony Allen,71,1914,274,595,15,80,130,391,98,115,29,100,643,2017
Al-Farouq Aminu,61,1773,183,466,70,96,136,451,99,60,44,94,532,2017
Chris Andersen,12,114,9,22,0,10,14,31,5,5,7,5,28,2017
Alan Anderson,30,308,30,80,14,12,16,24,11,3,0,7,86,2017
Justin Anderson,75,1228,186,439,58,102,129,245,66,41,23,66,532,2017
Kyle Anderson,72,1020,93,209,15,45,57,208,91,51,26,39,246,2017
Ryan Anderson,72,2116,323,773,204,129,150,330,68,31,14,55,979,2017
Giannis Antetokounmpo,80,2845,656,1259,49,471,612,700,434,131,151,234,1832,2017
Carmelo Anthony,74,2538,602,1389,151,304,365,438,213,60,34,153,1659,2017
Joel Anthony,19,122,10,16,0,5,8,31,3,2,6,4,25,2017
Trevor Ariza,80,2773,326,798,191,93,126,458,175,147,20,73,936,2017
Darrell Arthur,41,639,95,215,53,19,22,112,42,19,21,36,262,2017
Ömer Aşık,31,482,31,65,0,23,39,163,15,5,10,14,85,2017
D.J. Augustin,78,1538,195,517,95,131,161,117,209,31,1,90,616,2017
Luke Babbitt,68,1065,113,281,87,11,15,141,36,20,11,25,324,2017
Ron Baker,52,857,82,217,23,28,43,98,107,34,8,56,215,2017
Wade Baldwin,33,405,36,115,3,31,37,46,61,18,7,39,106,2017
Leandro Barbosa,67,963,172,392,35,40,45,104,81,31,8,48,419,2017
J.J. Barea,35,771,142,343,53,44,51,84,193,14,1,63,381,2017
Harrison Barnes,79,2803,599,1280,78,242,281,394,116,65,15,102,1518,2017
Matt Barnes,74,1777,185,473,87,70,89,384,195,48,26,107,527,2017
Will Barton,60,1705,295,666,87,143,190,259,206,48,28,97,820,2017
Brandon Bass,52,577,107,186,1,77,88,129,21,14,11,29,292,2017
Nicolas Batum,77,2617,393,975,135,243,284,481,456,86,29,194,1164,2017
Jerryd Bayless,3,71,11,32,2,9,10,12,13,0,0,9,33,2017
Aron Baynes,75,1163,143,279,0,79,94,333,32,17,39,50,365,2017
Kent Bazemore,73,1963,295,721,92,119,168,231,177,91,52,125,801,2017
Bradley Beal,77,2684,637,1322,223,282,342,240,267,83,21,156,1779,2017
Malik Beasley,22,165,33,73,9,8,10,17,11,7,0,8,83,2017
Michael Beasley,56,935,216,406,18,78,105,193,53,27,27,66,528,2017
Marco Belinelli,74,1778,264,615,102,150,168,178,147,44,9,70,780,2017
DeAndre' Bembry,38,371,47,98,1,6,16,59,28,8,5,16,101,2017
Dragan Bender,43,574,57,161,28,4,11,103,23,10,22,32,146,2017
Anthony Bennett,23,264,38,92,13,26,36,78,12,5,3,12,115,2017
Ben Bentil,3,10,0,3,0,0,0,2,0,0,0,1,0,2017
Dāvis Bertāns,67,808,103,234,69,28,34,98,46,20,28,32,303,2017
Patrick Beverley,67,2058,228,543,110,73,95,393,281,99,25,100,639,2017
Bismack Biyombo,81,1793,179,339,0,125,234,567,74,25,91,95,483,2017
Nemanja Bjelica,65,1190,151,356,56,45,61,244,79,40,20,59,403,2017
Tarik Black,67,1091,150,294,1,82,109,343,39,29,44,58,383,2017
Eric Bledsoe,66,2176,449,1034,104,388,458,320,418,91,31,224,1390,2017
Bojan Bogdanović,81,2083,376,845,144,217,243,277,111,34,7,131,1113,2017
Andrew Bogut,27,583,38,81,0,3,11,218,49,13,25,43,79,2017
Joel Bolomboy,12,53,9,16,1,3,6,17,2,1,2,2,22,2017
Devin Booker,78,2730,606,1431,147,367,441,249,268,72,21,241,1726,2017
Trevor Booker,71,1754,305,591,25,74,110,571,138,75,28,127,709,2017
Avery Bradley,55,1835,359,775,108,68,93,334,122,68,11,88,894,2017
Corey Brewer,82,1281,147,348,27,50,68,166,97,61,20,55,371,2017
Malcolm Brogdon,75,1982,290,635,78,109,126,213,317,84,12,113,767,2017
Aaron Brooks,65,894,121,300,48,32,40,69,125,25,9,66,322,2017
Anthony Brown,11,159,18,50,7,0,0,33,8,5,1,6,43,2017
Bobby Brown,25,123,23,60,14,2,2,6,14,1,0,5,62,2017
Jaylen Brown,78,1341,192,423,46,85,124,220,64,35,18,68,515,2017
Nicolás Brussino,54,521,52,141,29,17,22,95,47,17,8,26,150,2017
Reggie Bullock,31,467,54,128,28,5,7,64,29,18,3,10,141,2017
Trey Burke,57,703,116,255,31,22,29,47,100,11,5,48,285,2017
Alec Burks,42,653,99,248,25,60,78,120,30,18,5,35,283,2017
Jimmy Butler,76,2809,570,1252,91,585,676,470,417,143,32,159,1816,2017
Bruno Caboclo,9,40,6,16,2,0,0,10,4,2,1,2,14,2017
José Calderón,41,539,55,134,20,11,12,74,88,11,1,41,141,2017
Kentavious Caldwell-Pope,76,2529,370,928,153,154,185,248,193,89,12,86,1047,2017
Isaiah Canaan,39,592,63,173,25,30,33,50,37,22,1,21,181,2017
Clint Capela,65,1551,362,563,0,94,177,526,63,34,79,87,818,2017
DeMarre Carroll,72,1882,220,550,109,89,117,275,74,81,27,54,638,2017
Vince Carter,73,1799,193,490,112,88,115,227,133,60,36,50,586,2017
