name,games,minutes,fg,fga,3p,ft,fta,reb,ast,stl,blk,to,pts,year
Quincy Acy,29,342,42,75,1,31,38,77,11,13,15,17,116,2013
Jeff Adrien,52,713,72,168,0,65,100,196,36,18,27,32,209,2013
Arron Afflalo,64,2307,397,905,72,191,223,239,206,40,11,138,1057,2013
Josh Akognon,3,9,2,4,1,0,0,1,1,0,0,0,5,2013
Cole Aldrich,45,388,44,80,0,12,20,120,9,5,23,23,100,2013
LaMarcus Aldridge,74,2790,638,1318,2,282,348,670,192,62,91,143,1560,2013
Lavoy Allen,79,1669,206,454,0,43,60,395,73,24,55,55,455,2013
Ray Allen*,79,2035,292,651,139,140,158,217,135,67,15,103,863,2013
Tony Allen,79,2109,284,638,3,134,187,363,98,119,44,94,705,2013
Al-Farouq Aminu,76,2066,225,474,4,101,137,585,103,92,51,116,555,2013
Lou Amundson,39,372,32,81,0,12,36,106,11,16,12,19,76,2013
Chris Andersen,42,624,71,123,2,63,93,172,17,16,44,24,207,2013
Alan Anderson,65,1495,236,616,95,126,147,148,103,48,7,80,693,2013
James Anderson,39,401,52,126,21,24,28,72,42,15,5,25,149,2013
Ryan Anderson,81,2503,472,1115,213,152,180,519,97,42,31,97,1309,2013
Carmelo Anthony,67,2482,669,1489,157,425,512,460,171,52,32,175,1920,2013
Joel Anthony,62,566,35,68,0,17,28,115,13,13,42,22,87,2013
Trevor Ariza,56,1471,188,451,76,78,95,266,113,72,20,84,530,2013
Darrell Arthur,59,970,162,359,5,33,46,169,33,24,33,43,362,2013
Ömer Aşık,82,2464,332,614,0,168,299,956,75,46,87,173,832,2013
D.J. Augustin,76,1226,103,294,67,83,99,91,170,34,3,68,356,2013
Gustavo Ayón,55,734,92,167,0,20,50,199,71,22,17,47,204,2013
Jeff Ayres,37,369,61,126,2,21,23,104,15,6,12,23,145,2013
Luke Babbitt,62,730,86,234,62,10,13,137,29,14,5,22,244,2013
Leandro Barbosa,41,513,83,193,18,31,41,46,58,17,6,21,215,2013
J.J. Barea,74,1713,316,758,97,105,134,207,294,32,0,145,834,2013
Andrea Bargnani,35,1003,170,426,38,65,77,128,38,21,23,54,443,2013
Harrison Barnes,81,2058,276,628,52,144,190,333,98,52,14,101,748,2013
Matt Barnes,80,2058,312,675,111,87,117,366,123,82,63,90,822,2013
Earl Barron,12,159,18,51,0,3,7,61,5,5,6,11,39,2013
Will Barton,73,894,118,309,9,50,65,145,58,34,9,60,295,2013
Brandon Bass,81,2239,286,589,0,129,150,425,84,44,64,80,701,2013
Shane Battier,72,1786,152,362,136,32,38,165,72,41,55,34,472,2013
Nicolas Batum,73,2807,352,833,165,178,210,412,360,91,83,190,1047,2013
Jerryd Bayless,80,1765,260,621,71,102,122,176,264,59,17,120,693,2013
Aron Baynes,16,141,18,36,0,7,12,32,5,1,6,11,43,2013
Kent Bazemore,61,267,43,116,10,27,44,22,22,17,4,18,123,2013
Bradley Beal,56,1745,282,687,91,125,159,211,137,50,29,90,780,2013
Michael Beasley,75,1554,310,766,45,94,126,282,111,31,34,144,759,2013
Rodrigue Beaubois,45,549,65,176,21,30,38,57,84,19,4,33,181,2013
Marco Belinelli,73,1882,241,610,79,141,168,140,148,44,6,82,702,2013
Patrick Beverley,41,713,79,189,36,34,41,109,117,37,21,44,228,2013
Andris Biedriņš,53,495,10,21,0,4,13,153,14,15,42,14,24,2013
Chauncey Billups,22,418,53,132,33,45,48,32,49,12,1,26,184,2013
Bismack Biyombo,80,2186,156,346,0,74,142,582,35,28,143,82,386,2013
DeJuan Blair,61,851,142,271,0,44,70,230,45,37,10,49,328,2013
Steve Blake,45,1175,114,270,72,27,35,132,173,34,6,62,327,2013
Andray Blatche,82,1555,346,676,3,148,216,417,85,86,54,123,843,2013
Eric Bledsoe,76,1553,253,568,31,106,134,225,233,109,55,137,643,2013
Keith Bogans,74,1408,108,284,84,11,17,120,76,28,4,49,311,2013
Andrew Bogut,32,786,83,184,1,19,38,245,67,20,55,35,186,2013
Matt Bonner,68,909,112,230,53,11,15,129,36,17,19,16,288,2013
Trevor Booker,48,887,108,220,0,40,72,239,40,32,16,31,256,2013
Carlos Boozer,79,2546,544,1140,0,193,264,771,179,66,28,176,1281,2013
Chris Bosh,74,2454,485,907,21,241,302,501,123,66,101,128,1232,2013
Avery Bradley,50,1435,192,478,40,37,49,111,104,64,19,72,461,2013
Elton Brand,72,1527,226,478,0,66,93,430,70,50,90,57,518,2013
Corey Brewer,82,2003,375,883,91,149,216,235,124,118,23,102,990,2013
Ronnie Brewer,60,853,70,198,23,16,39,140,50,43,6,18,179,2013
Aaron Brooks,53,997,143,316,50,40,52,80,114,30,10,67,376,2013
MarShon Brooks,73,912,155,335,15,69,94,104,76,34,16,69,394,2013
Kwame Brown,22,269,17,37,0,7,19,74,9,6,10,8,41,2013
Shannon Brown,59,1402,240,571,39,98,125,149,108,59,15,74,617,2013
Kobe Bryant*,78,3013,738,1595,132,525,626,433,469,106,25,287,2133,2013
Chase Budinger,23,508,79,191,26,32,42,71,25,14,7,23,216,2013
Alec Burks,64,1137,163,388,33,92,129,145,92,35,13,74,451,2013
Caron Butler,78,1879,305,720,128,75,90,223,78,51,11,72,813,2013
Jimmy Butler,82,2134,239,512,40,187,233,328,115,78,31,62,705,2013
Will Bynum,65,1219,253,540,24,106,131,97,231,45,5,125,636,2013
José Calderón,73,2160,312,635,130,72,80,176,518,58,8,126,826,2013
