name,games,minutes,fg,fga,3p,ft,fta,reb,ast,stl,blk,to,pts,year
Tariq Abdul-Wahad,49,1205,177,407,6,94,136,186,50,50,16,70,454,1999
Shareef Abdur-Rahim,50,2021,386,893,11,369,439,374,172,69,55,186,1152,1999
Cory Alexander,36,778,97,260,30,37,44,74,119,35,5,69,261,1999
Ray Allen*,50,1719,303,673,74,176,195,212,178,53,7,122,856,1999
Peter Aluma,2,5,1,2,0,0,0,2,0,1,1,2,2,1999
Derek Anderson,38,978,125,314,21,138,165,109,145,48,4,82,409,1999
Kenny Anderson,34,1010,161,357,6,84,101,103,193,33,2,71,412,1999
Nick Anderson,47,1581,253,640,96,99,162,277,91,64,15,83,701,1999
Shandon Anderson,50,1072,162,363,14,89,125,132,56,39,10,66,427,1999
Chris Anstey,41,470,50,139,0,34,48,97,27,18,13,26,134,1999
Greg Anthony,50,806,104,251,49,62,89,63,100,66,3,55,319,1999
B.J. Armstrong,32,358,40,88,7,18,21,39,61,12,0,25,105,1999
Darrell Armstrong,50,1502,230,522,69,161,178,180,335,108,4,158,690,1999
Keith Askins,33,415,20,62,8,5,8,44,10,17,3,13,53,1999
Stacey Augmon,48,874,78,174,0,52,76,125,58,57,18,30,208,1999
Isaac Austin,49,1259,185,453,2,105,157,237,89,47,35,114,477,1999
Anthony Avent,5,44,4,13,0,1,2,12,1,2,0,7,9,1999
Thurl Bailey,43,543,78,175,0,25,34,94,26,9,28,27,181,1999
Toby Bailey,27,249,34,86,1,9,13,54,13,9,2,11,78,1999
Mark Baker,1,2,0,1,0,0,0,0,0,0,0,1,0,1999
Vin Baker,34,1162,198,437,0,72,160,211,56,32,34,76,468,1999
Charles Barkley*,42,1526,240,502,4,192,267,516,192,43,13,100,676,1999
Dana Barros,50,1156,168,371,64,64,73,105,208,52,5,88,464,1999
Brent Barry,37,1181,141,356,52,78,101,144,116,42,11,72,412,1999
Drew Barry,17,183,10,32,8,9,13,20,29,7,1,12,37,1999
Jon Barry,43,736,59,138,24,71,84,96,112,53,5,47,213,1999
Tony Battie,50,1121,147,283,0,41,61,300,53,29,71,45,335,1999
Corey Beck,24,180,18,39,1,8,15,28,20,9,2,13,45,1999
Benoit Benjamin,6,33,2,7,0,0,0,8,1,0,0,3,4,1999
Corey Benjamin,31,320,44,117,3,27,40,40,10,11,8,21,118,1999
Mario Bennett,3,19,2,6,0,3,4,5,0,1,0,1,7,1999
Travis Best,49,1043,127,305,22,70,83,80,169,42,4,62,346,1999
Mike Bibby,50,1758,260,605,15,127,169,136,325,78,5,146,662,1999
Chauncey Billups,45,1488,191,495,85,157,172,96,173,58,14,98,624,1999
Mookie Blaylock,48,1763,247,651,77,69,91,224,278,99,9,115,640,1999
Corie Blount,34,530,36,100,0,28,54,151,12,19,16,21,100,1999
Muggsy Bogues,36,714,76,154,0,31,36,73,134,43,1,47,183,1999
Keith Booth,39,432,49,151,1,21,42,93,38,22,11,39,120,1999
