measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,1,Global,3,Both,22,All Ages,459,Malignant skin melanoma,1,Number,1990,33082.96204881566,43093.7857135287,27827.116749691802
1,Deaths,1,Global,3,Both,22,All Ages,462,Non-melanoma skin cancer,1,Number,1990,23222.10962013672,24436.24278470137,21440.589127278385
1,Deaths,1,Global,3,Both,22,All Ages,465,Ovarian cancer,1,Number,1990,97363.29862746538,109760.79148850069,89702.93899518992
1,Deaths,1,Global,3,Both,22,All Ages,297,Tuberculosis,1,Number,1990,1777469.2681994701,1921928.1931990911,1625544.4444911825
1,Deaths,1,Global,3,Both,22,All Ages,298,HIV/AIDS,1,Number,1990,336386.61084085016,452193.6225527856,255683.18516561078
1,Deaths,1,Global,3,Both,22,All Ages,302,Diarrheal diseases,1,Number,1990,2896268.452417815,3644587.3874266217,2222662.8624388925
1,Deaths,1,Global,3,Both,22,All Ages,321,Other intestinal infectious diseases,1,Number,1990,3730.9660589580244,4849.530939884744,2770.0712038677475
1,Deaths,1,Global,3,Both,22,All Ages,322,Lower respiratory infections,1,Number,1990,3320007.6705808206,3715056.996747572,3018493.3769938783
1,Deaths,1,Global,3,Both,22,All Ages,328,Upper respiratory infections,1,Number,1990,34403.52848095149,68309.44481492667,7130.007209494337
1,Deaths,1,Global,3,Both,22,All Ages,329,Otitis media,1,Number,1990,3139.9663400149957,5112.881605414408,1736.681568743114
1,Deaths,1,Global,3,Both,22,All Ages,332,Meningitis,1,Number,1990,432523.8407244017,494074.06576188595,376418.8576952463
1,Deaths,1,Global,3,Both,22,All Ages,337,Encephalitis,1,Number,1990,117804.3994839071,138249.83878320036,95315.37142379399
1,Deaths,1,Global,3,Both,22,All Ages,338,Diphtheria,1,Number,1990,18771.949810154973,26080.49644772656,13745.250502361047
1,Deaths,1,Global,3,Both,22,All Ages,339,Whooping cough,1,Number,1990,256638.11694674118,516721.79349739733,105977.72185928682
1,Deaths,1,Global,3,Both,22,All Ages,340,Tetanus,1,Number,1990,275379.38371396303,322379.5624283408,240545.33182296556
1,Deaths,1,Global,3,Both,22,All Ages,341,Measles,1,Number,1990,801683.031079184,1666352.3362937963,277674.85621810734
1,Deaths,1,Global,3,Both,22,All Ages,342,Varicella and herpes zoster,1,Number,1990,17707.801234764556,19864.157551677665,15795.448616113667
1,Deaths,1,Global,3,Both,22,All Ages,487,Leukemia,1,Number,1990,263262.92917909427,298696.12407353544,233664.13961184
1,Deaths,1,Global,3,Both,22,All Ages,490,Other neoplasms,1,Number,1990,22703.91748010003,32071.971526178168,19009.566540827607
1,Deaths,1,Global,3,Both,22,All Ages,492,Rheumatic heart disease,1,Number,1990,362160.14918121847,408222.0672504616,326259.0957600392
1,Deaths,1,Global,3,Both,22,All Ages,493,Ischemic heart disease,1,Number,1990,5695890.10589351,5895398.089965995,5405191.10598292
1,Deaths,1,Global,3,Both,22,All Ages,494,Stroke,1,Number,1990,4574084.801543005,4892808.356634715,4295925.78539621
1,Deaths,1,Global,3,Both,22,All Ages,468,Testicular cancer,1,Number,1990,7224.173429266253,7905.952435109373,6792.1931406350595
1,Deaths,1,Global,3,Both,22,All Ages,471,Kidney cancer,1,Number,1990,72099.90619741869,74673.61140783552,68876.24567262524
1,Deaths,1,Global,3,Both,22,All Ages,474,Bladder cancer,1,Number,1990,121499.53156349133,127170.94235078964,114751.3645340184
1,Deaths,1,Global,3,Both,22,All Ages,477,Brain and central nervous system cancer,1,Number,1990,139632.31051802027,182291.07396668842,119904.90932112097
1,Deaths,1,Global,3,Both,22,All Ages,480,Thyroid cancer,1,Number,1990,22966.37779723683,25227.701695447668,21553.75622052853
1,Deaths,1,Global,3,Both,22,All Ages,483,Mesothelioma,1,Number,1990,15385.420688064267,17017.09239224862,13815.00254606037
1,Deaths,1,Global,3,Both,22,All Ages,484,Hodgkin lymphoma,1,Number,1990,27602.09542362298,30234.964536336338,21663.390014275694
1,Deaths,1,Global,3,Both,22,All Ages,485,Non-Hodgkin lymphoma,1,Number,1990,126082.15255991637,131976.19276644467,119768.26697651166
1,Deaths,1,Global,3,Both,22,All Ages,486,Multiple myeloma,1,Number,1990,51862.29111392137,58979.91251971835,47709.88754810117
1,Deaths,1,Global,3,Both,22,All Ages,594,Urinary diseases and male infertility,1,Number,1990,133740.63130602438,141825.90378619672,118721.49823934674
1,Deaths,1,Global,3,Both,22,All Ages,603,Gynecological diseases,1,Number,1990,7289.950208349676,10713.779747879793,4037.7046607829834
1,Deaths,1,Global,3,Both,22,All Ages,498,Hypertensive heart disease,1,Number,1990,654905.6433501379,732728.9868660968,530566.2845968807
1,Deaths,1,Global,3,Both,22,All Ages,499,Cardiomyopathy and myocarditis,1,Number,1990,238280.3472536371,256683.56468382129,212408.17584279177
1,Deaths,1,Global,3,Both,22,All Ages,500,Atrial fibrillation and flutter,1,Number,1990,117037.99385238683,138452.30691432534,103695.26762571288
1,Deaths,1,Global,3,Both,22,All Ages,501,Aortic aneurysm,1,Number,1990,94698.37244715817,102684.78388854393,87008.88448066064
1,Deaths,1,Global,3,Both,22,All Ages,502,Peripheral artery disease,1,Number,1990,30168.460490748806,52436.20987247229,16181.008665990208
